"id","region","year","storage_capacity","charging_power","fixed_cost","variable_cost","investment_cost","operational_life_time","mileage","occupancy_rate","market_share","charging_efficiency","feed_in_efficiency","energy_conversion_efficiency","emission_factor_gasoline","emission_factor_diesel","bandwidth_type","version","method","source","comment"
1,"DE",2021,35.0,4.0,0.027,0.044,35000.0,"[9.0, 11.0, 12.0]",12127.0,1.6,"[1.0, 10.0]",100.0,90.25,12.0,"all_emission_factors.gasoline","all_emission_factors.diesel","{'market_share': 'range', 'operational_life_time': 'values'}","v1","{'storage_capacity': 'Own analysis based on 8deTena2018'}","{'storage_capacity': '8deTena2018', 'charging_power': '8deTena2018', 'fixed_cost': '8ADAC2023', 'variable_cost': '8ADAC2023', 'investment_cost': '8ADAC2023', 'operational_life_time': '8deTena2018a, 8Miller2019, 8Ace2020', 'mileage': '8motointegrator2023', 'occupancy_rate': '8Mueller2013', 'market_share': 'ownAssumptions', 'charging_efficiency': 'ownAssumptions', 'feed_in_efficiency': 'ownAssumptions', 'energy_conversion_efficiency': '8deTena2018'}",""
2,"DE",2024,35.0,4.0,0.027,0.044,35000.0,"[9.0, 11.0, 12.0]",12127.0,1.6,"[1.0, 10.0]",100.0,90.25,11.5,"all_emission_factors.gasoline","all_emission_factors.diesel","{'market_share': 'range', 'operational_life_time': 'values'}","v1","{'storage_capacity': 'Own analysis based on 8deTena2018'}","{'storage_capacity': '8deTena2018', 'charging_power': '8deTena2018', 'fixed_cost': '8ADAC2023', 'variable_cost': '8ADAC2023', 'investment_cost': '8ADAC2023', 'operational_life_time': '8deTena2018a, 8Miller2019, 8Ace2020', 'mileage': '8motointegrator2023', 'occupancy_rate': '8Mueller2013', 'market_share': 'ownAssumptions', 'charging_efficiency': 'ownAssumptions', 'feed_in_efficiency': 'ownAssumptions', 'energy_conversion_efficiency': '8deTena2018'}",""
3,"DE",2027,35.0,5.5,0.03,0.044,32000.0,"[9.0, 11.0, 12.0]",12127.0,1.6,"[1.0, 10.0]",100.0,90.25,11.0,"all_emission_factors.gasoline","all_emission_factors.diesel","{'market_share': 'range', 'operational_life_time': 'values'}","v1","{'storage_capacity': 'Own analysis based on 8deTena2018'}","{'storage_capacity': '8deTena2018', 'charging_power': '8deTena2018', 'fixed_cost': '8ADAC2023', 'variable_cost': '8ADAC2023', 'investment_cost': '8ADAC2023', 'operational_life_time': '8deTena2018a, 8Miller2019, 8Ace2020', 'mileage': '8motointegrator2023', 'occupancy_rate': '8Mueller2013', 'market_share': 'ownAssumptions', 'charging_efficiency': 'ownAssumptions', 'feed_in_efficiency': 'ownAssumptions', 'energy_conversion_efficiency': '8deTena2018'}",""
4,"DE",2030,38.0,5.5,0.032,0.044,30000.0,"[15.0]",12127.0,1.6,"[1.0, 10.0]",100.0,90.25,10.5,"all_emission_factors.gasoline","all_emission_factors.diesel","{'market_share': 'range'}","v1","{'storage_capacity': 'Own analysis based on 8deTena2018'}","{'storage_capacity': '8deTena2018', 'charging_power': '8deTena2018', 'fixed_cost': '8ADAC2023', 'variable_cost': '8ADAC2023', 'investment_cost': '8ADAC2023', 'operational_life_time': '8deTena2018', 'mileage': '8motointegrator2023', 'occupancy_rate': '8Mueller2013', 'market_share': 'ownAssumptions', 'charging_efficiency': 'ownAssumptions', 'feed_in_efficiency': 'ownAssumptions', 'energy_conversion_efficiency': '8deTena2018'}",""
5,"DE",2035,38.0,7.0,0.034,0.044,28000.0,"[15.0]",12127.0,1.6,"[1.0, 10.0]",100.0,90.25,10.0,"all_emission_factors.gasoline","all_emission_factors.diesel","{'market_share': 'range'}","v1","{'storage_capacity': 'Own analysis based on 8deTena2018'}","{'storage_capacity': '8deTena2018', 'charging_power': '8deTena2018', 'fixed_cost': '8ADAC2023', 'variable_cost': '8ADAC2023', 'investment_cost': '8ADAC2023', 'operational_life_time': '8deTena2018', 'mileage': '8motointegrator2023', 'occupancy_rate': '8Mueller2013', 'market_share': 'ownAssumptions', 'charging_efficiency': 'ownAssumptions', 'feed_in_efficiency': 'ownAssumptions', 'energy_conversion_efficiency': '8deTena2018'}",""
6,"DE",2040,40.0,7.0,0.038,0.044,25000.0,"[15.0]",12127.0,1.6,"[1.0, 10.0]",100.0,90.25,9.0,"all_emission_factors.gasoline","all_emission_factors.diesel","{'market_share': 'range'}","v1","{'storage_capacity': 'Own analysis based on 8deTena2018'}","{'storage_capacity': '8deTena2018', 'charging_power': '8deTena2018', 'fixed_cost': '8ADAC2023', 'variable_cost': '8ADAC2023', 'investment_cost': '8ADAC2023', 'operational_life_time': '8deTena2018', 'mileage': '8motointegrator2023', 'occupancy_rate': '8Mueller2013', 'market_share': 'ownAssumptions', 'charging_efficiency': 'ownAssumptions', 'feed_in_efficiency': 'ownAssumptions', 'energy_conversion_efficiency': '8deTena2018'}",""
7,"DE",2045,40.0,8.5,0.038,0.044,25000.0,"[15.0]",12127.0,1.6,"[1.0, 10.0]",100.0,90.25,8.0,"all_emission_factors.gasoline","all_emission_factors.diesel","{'market_share': 'range'}","v1","{'storage_capacity': 'Own analysis based on 8deTena2018'}","{'storage_capacity': '8deTena2018', 'charging_power': '8deTena2018', 'fixed_cost': '8ADAC2023', 'variable_cost': '8ADAC2023', 'investment_cost': '8ADAC2023', 'operational_life_time': '8deTena2018', 'mileage': '8motointegrator2023', 'occupancy_rate': '8Mueller2013', 'market_share': 'ownAssumptions', 'charging_efficiency': 'ownAssumptions', 'feed_in_efficiency': 'ownAssumptions', 'energy_conversion_efficiency': '8deTena2018'}",""
8,"DE",2050,40.0,8.5,0.038,0.044,25000.0,"[15.0]",12127.0,1.6,"[1.0, 10.0]",100.0,90.25,8.0,"all_emission_factors.gasoline","all_emission_factors.diesel","{'market_share': 'range'}","v1","{'storage_capacity': 'Own analysis based on 8deTena2018'}","{'storage_capacity': '8deTena2018', 'charging_power': '8deTena2018', 'fixed_cost': '8ADAC2023', 'variable_cost': '8ADAC2023', 'investment_cost': '8ADAC2023', 'operational_life_time': '8deTena2018', 'mileage': '8motointegrator2023', 'occupancy_rate': '8Mueller2013', 'market_share': 'ownAssumptions', 'charging_efficiency': 'ownAssumptions', 'feed_in_efficiency': 'ownAssumptions', 'energy_conversion_efficiency': '8deTena2018'}",""
9,"DE",2060,40.0,8.5,0.038,0.044,25000.0,"[15.0]",12127.0,1.6,"[1.0, 10.0]",100.0,90.25,8.0,"all_emission_factors.gasoline","all_emission_factors.diesel","{'market_share': 'range'}","v1","{'storage_capacity': 'Own analysis based on 8deTena2018'}","{'storage_capacity': '8deTena2018', 'charging_power': '8deTena2018', 'fixed_cost': '8ADAC2023', 'variable_cost': '8ADAC2023', 'investment_cost': '8ADAC2023', 'operational_life_time': '8deTena2018', 'mileage': '8motointegrator2023', 'occupancy_rate': '8Mueller2013', 'market_share': 'ownAssumptions', 'charging_efficiency': 'ownAssumptions', 'feed_in_efficiency': 'ownAssumptions', 'energy_conversion_efficiency': '8deTena2018'}",""
10,"DE",2070,40.0,8.5,0.038,0.044,25000.0,"[15.0]",12127.0,1.6,"[1.0, 10.0]",100.0,90.25,8.0,"all_emission_factors.gasoline","all_emission_factors.diesel","{'market_share': 'range'}","v1","{'storage_capacity': 'Own analysis based on 8deTena2018'}","{'storage_capacity': '8deTena2018', 'charging_power': '8deTena2018', 'fixed_cost': '8ADAC2023', 'variable_cost': '8ADAC2023', 'investment_cost': '8ADAC2023', 'operational_life_time': '8deTena2018', 'mileage': '8motointegrator2023', 'occupancy_rate': '8Mueller2013', 'market_share': 'ownAssumptions', 'charging_efficiency': 'ownAssumptions', 'feed_in_efficiency': 'ownAssumptions', 'energy_conversion_efficiency': '8deTena2018'}",""
