"id","version","csv_name","year","carrier","region"
1,"v3","excess_co2.csv",2021,"emi_co2_f_ind","De"
2,"v3","excess_co2.csv",2024,"emi_co2_f_ind","De"
3,"v3","excess_co2.csv",2027,"emi_co2_f_ind","De"
4,"v3","excess_co2.csv",2030,"emi_co2_f_ind","De"
5,"v3","excess_co2.csv",2035,"emi_co2_f_ind","De"
6,"v3","excess_co2.csv",2040,"emi_co2_f_ind","De"
7,"v3","excess_co2.csv",2045,"emi_co2_f_ind","De"
8,"v3","excess_co2.csv",2050,"emi_co2_f_ind","De"
9,"v3","excess_co2.csv",2060,"emi_co2_f_ind","De"
10,"v3","excess_co2.csv",2070,"emi_co2_f_ind","De"
