"id","version","csv_name","year","carrier","region"
1,"v3","excess_n2o.csv",2021,"emi_N2O_f_ind","De"
2,"v3","excess_n2o.csv",2024,"emi_N2O_f_ind","De"
3,"v3","excess_n2o.csv",2027,"emi_N2O_f_ind","De"
4,"v3","excess_n2o.csv",2030,"emi_N2O_f_ind","De"
5,"v3","excess_n2o.csv",2035,"emi_N2O_f_ind","De"
6,"v3","excess_n2o.csv",2040,"emi_N2O_f_ind","De"
7,"v3","excess_n2o.csv",2045,"emi_N2O_f_ind","De"
8,"v3","excess_n2o.csv",2050,"emi_N2O_f_ind","De"
9,"v3","excess_n2o.csv",2060,"emi_N2O_f_ind","De"
10,"v3","excess_n2o.csv",2070,"emi_N2O_f_ind","De"
