"id","region","year","type","availability_constant","efficiency","cost_fix_p","cost_inv_p","lifetime","cost_var_e","starting_year","flow_share_fix_pri_envir_heat","flow_share_fix_pri_geoth_heat","flow_share_fix_iip_cooling","flow_share_fix_pri_solar_radiation","flow_share_fix_iip_heat_high","flow_share_fix_exo_space_heat","flow_share_fix_sec_elec_ind","flow_share_up_sec_methane","capacity_p_inst_0","potential_annual_max","flow_share_min_sec_methane","flow_share_min_sec_elec_ind","flow_share_fix_iip_hot_water","flow_share_fix_iip_steam","flow_share_fix_iip_process_heat","flow_share_fix_iip_machine_drive","flow_share_fix_iip_electro_chemicals","flow_share_fix_iip_other_processes","flow_share_fix_exo_cooling_normal","flow_share_fix_iip_pump_fans_compression","flow_share_fix_iip_lighting","flow_share_fix_iip_heat_kiln","flow_share_fix_iip_other_sugar_ind_heat","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_other_boiler_hot_water_bio_1",0.15,0.465,1.0,40.0,20.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2,"DE",2024,"ind_other_boiler_hot_water_bio_1",0.15,0.465,1.0,40.0,20.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3,"DE",2027,"ind_other_boiler_hot_water_bio_1",0.15,0.465,1.0,40.0,20.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,"DE",2030,"ind_other_boiler_hot_water_bio_1",0.15,0.465,1.0,40.0,20.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5,"DE",2035,"ind_other_boiler_hot_water_bio_1",0.15,0.465,1.0,40.0,20.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6,"DE",2040,"ind_other_boiler_hot_water_bio_1",0.15,0.465,1.0,40.0,20.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7,"DE",2045,"ind_other_boiler_hot_water_bio_1",0.15,0.465,1.0,40.0,20.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8,"DE",2050,"ind_other_boiler_hot_water_bio_1",0.15,0.465,1.0,40.0,20.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9,"DE",2060,"ind_other_boiler_hot_water_bio_1",0.15,0.465,1.0,40.0,20.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10,"DE",2070,"ind_other_boiler_hot_water_bio_1",0.15,0.465,1.0,40.0,20.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11,"DE",2021,"ind_other_boiler_hot_water_gas_0","",0.72,"","",20.0,"","","","","","","","","","",2.172435312,"","","","","","","","","","","","","","","","","","",""
12,"DE",2024,"ind_other_boiler_hot_water_gas_0","",0.72,"","",20.0,"","","","","","","","","","",2.172435312,"","","","","","","","","","","","","","","","","","",""
13,"DE",2027,"ind_other_boiler_hot_water_gas_0","",0.72,"","",20.0,"","","","","","","","","","",2.172435312,"","","","","","","","","","","","","","","","","","",""
14,"DE",2030,"ind_other_boiler_hot_water_gas_0","",0.72,"","",20.0,"","","","","","","","","","",2.172435312,"","","","","","","","","","","","","","","","","","",""
15,"DE",2035,"ind_other_boiler_hot_water_gas_0","",0.72,"","",20.0,"","","","","","","","","","",2.172435312,"","","","","","","","","","","","","","","","","","",""
16,"DE",2040,"ind_other_boiler_hot_water_gas_0","",0.72,"","",20.0,"","","","","","","","","","",2.172435312,"","","","","","","","","","","","","","","","","","",""
17,"DE",2045,"ind_other_boiler_hot_water_gas_0","",0.72,"","",20.0,"","","","","","","","","","",2.172435312,"","","","","","","","","","","","","","","","","","",""
18,"DE",2050,"ind_other_boiler_hot_water_gas_0","",0.72,"","",20.0,"","","","","","","","","","",2.172435312,"","","","","","","","","","","","","","","","","","",""
19,"DE",2060,"ind_other_boiler_hot_water_gas_0","",0.72,"","",20.0,"","","","","","","","","","",2.172435312,"","","","","","","","","","","","","","","","","","",""
20,"DE",2070,"ind_other_boiler_hot_water_gas_0","",0.72,"","",20.0,"","","","","","","","","","",2.172435312,"","","","","","","","","","","","","","","","","","",""
21,"DE",2021,"ind_other_boiler_hot_water_gas_1",0.15,0.9,0.38,29.4,17.5,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
22,"DE",2024,"ind_other_boiler_hot_water_gas_1",0.15,0.9,0.38,29.4,17.5,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
23,"DE",2027,"ind_other_boiler_hot_water_gas_1",0.15,0.913705584,0.38,27.97,17.5,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24,"DE",2030,"ind_other_boiler_hot_water_gas_1",0.15,0.913705584,0.38,27.97,17.5,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25,"DE",2035,"ind_other_boiler_hot_water_gas_1",0.15,0.913705584,0.38,27.97,17.5,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
26,"DE",2040,"ind_other_boiler_hot_water_gas_1",0.15,0.922934933,0.38,27.97,17.5,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
27,"DE",2045,"ind_other_boiler_hot_water_gas_1",0.15,0.922934933,0.38,27.97,17.5,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
28,"DE",2050,"ind_other_boiler_hot_water_gas_1",0.15,0.932258,0.38,27.97,17.5,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
29,"DE",2060,"ind_other_boiler_hot_water_gas_1",0.15,0.932258,0.38,27.97,17.5,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
30,"DE",2070,"ind_other_boiler_hot_water_gas_1",0.15,0.932258,0.38,27.97,17.5,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
31,"DE",2021,"ind_other_boiler_hot_water_heating_oil_0","",0.65,"","",20.0,"","","","","","","","","","",0.922586728,"","","","","","","","","","","","","","","","","","",""
32,"DE",2024,"ind_other_boiler_hot_water_heating_oil_0","",0.65,"","",20.0,"","","","","","","","","","",0.922586728,"","","","","","","","","","","","","","","","","","",""
33,"DE",2027,"ind_other_boiler_hot_water_heating_oil_0","",0.65,"","",20.0,"","","","","","","","","","",0.922586728,"","","","","","","","","","","","","","","","","","",""
34,"DE",2030,"ind_other_boiler_hot_water_heating_oil_0","",0.65,"","",20.0,"","","","","","","","","","",0.922586728,"","","","","","","","","","","","","","","","","","",""
35,"DE",2035,"ind_other_boiler_hot_water_heating_oil_0","",0.65,"","",20.0,"","","","","","","","","","",0.922586728,"","","","","","","","","","","","","","","","","","",""
36,"DE",2040,"ind_other_boiler_hot_water_heating_oil_0","",0.65,"","",20.0,"","","","","","","","","","",0.922586728,"","","","","","","","","","","","","","","","","","",""
37,"DE",2045,"ind_other_boiler_hot_water_heating_oil_0","",0.65,"","",20.0,"","","","","","","","","","",0.922586728,"","","","","","","","","","","","","","","","","","",""
38,"DE",2050,"ind_other_boiler_hot_water_heating_oil_0","",0.65,"","",20.0,"","","","","","","","","","",0.922586728,"","","","","","","","","","","","","","","","","","",""
39,"DE",2060,"ind_other_boiler_hot_water_heating_oil_0","",0.65,"","",20.0,"","","","","","","","","","",0.922586728,"","","","","","","","","","","","","","","","","","",""
40,"DE",2070,"ind_other_boiler_hot_water_heating_oil_0","",0.65,"","",20.0,"","","","","","","","","","",0.922586728,"","","","","","","","","","","","","","","","","","",""
41,"DE",2021,"ind_other_boiler_hot_water_heating_oil_1",0.15,0.65,0.2,19.0,15.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
123,"DE",2040,"ind_other_cool_elec_1",1.0,4.482240435,5.0,210.0,20.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
42,"DE",2024,"ind_other_boiler_hot_water_heating_oil_1",0.15,0.65,0.2,19.0,15.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
43,"DE",2027,"ind_other_boiler_hot_water_heating_oil_1",0.15,0.65,0.2,19.0,15.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
44,"DE",2030,"ind_other_boiler_hot_water_heating_oil_1",0.15,0.65,0.2,19.0,15.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
45,"DE",2035,"ind_other_boiler_hot_water_heating_oil_1",0.15,0.65,0.2,19.0,15.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
46,"DE",2040,"ind_other_boiler_hot_water_heating_oil_1",0.15,0.65,0.2,19.0,15.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
47,"DE",2045,"ind_other_boiler_hot_water_heating_oil_1",0.15,0.65,0.2,19.0,15.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
48,"DE",2050,"ind_other_boiler_hot_water_heating_oil_1",0.15,0.65,0.2,19.0,15.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
49,"DE",2060,"ind_other_boiler_hot_water_heating_oil_1",0.15,0.65,0.2,19.0,15.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
50,"DE",2070,"ind_other_boiler_hot_water_heating_oil_1",0.15,0.65,0.2,19.0,15.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
51,"DE",2030,"ind_other_boiler_hot_water_hydrogen_1",0.15,0.91,0.38,31.0,17.5,"",2030.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
52,"DE",2035,"ind_other_boiler_hot_water_hydrogen_1",0.15,0.91,0.38,31.0,17.5,"",2030.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
53,"DE",2040,"ind_other_boiler_hot_water_hydrogen_1",0.15,0.91,0.38,31.0,17.5,"",2030.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
54,"DE",2045,"ind_other_boiler_hot_water_hydrogen_1",0.15,0.91,0.38,31.0,17.5,"",2030.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
55,"DE",2050,"ind_other_boiler_hot_water_hydrogen_1",0.15,0.91,0.38,31.0,17.5,"",2030.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
56,"DE",2060,"ind_other_boiler_hot_water_hydrogen_1",0.15,0.91,0.38,31.0,17.5,"",2030.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
57,"DE",2070,"ind_other_boiler_hot_water_hydrogen_1",0.15,0.91,0.38,31.0,17.5,"",2030.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
58,"DE",2021,"ind_other_boiler_hot_water_lpg_0","",0.65,"","",20.0,"","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","","",""
59,"DE",2024,"ind_other_boiler_hot_water_lpg_0","",0.65,"","",20.0,"","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","","",""
60,"DE",2027,"ind_other_boiler_hot_water_lpg_0","",0.65,"","",20.0,"","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","","",""
61,"DE",2030,"ind_other_boiler_hot_water_lpg_0","",0.65,"","",20.0,"","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","","",""
62,"DE",2035,"ind_other_boiler_hot_water_lpg_0","",0.65,"","",20.0,"","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","","",""
63,"DE",2040,"ind_other_boiler_hot_water_lpg_0","",0.65,"","",20.0,"","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","","",""
64,"DE",2045,"ind_other_boiler_hot_water_lpg_0","",0.65,"","",20.0,"","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","","",""
65,"DE",2050,"ind_other_boiler_hot_water_lpg_0","",0.65,"","",20.0,"","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","","",""
66,"DE",2060,"ind_other_boiler_hot_water_lpg_0","",0.65,"","",20.0,"","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","","",""
67,"DE",2070,"ind_other_boiler_hot_water_lpg_0","",0.65,"","",20.0,"","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","","",""
68,"DE",2021,"ind_other_boiler_hot_water_lpg_1",0.15,0.65,0.3,19.0,15.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
69,"DE",2024,"ind_other_boiler_hot_water_lpg_1",0.15,0.65,0.3,19.0,15.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
70,"DE",2027,"ind_other_boiler_hot_water_lpg_1",0.15,0.65,0.3,19.0,15.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
71,"DE",2030,"ind_other_boiler_hot_water_lpg_1",0.15,0.65,0.3,19.0,15.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
72,"DE",2035,"ind_other_boiler_hot_water_lpg_1",0.15,0.65,0.3,19.0,15.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
73,"DE",2040,"ind_other_boiler_hot_water_lpg_1",0.15,0.65,0.3,19.0,15.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
74,"DE",2045,"ind_other_boiler_hot_water_lpg_1",0.15,0.65,0.3,19.0,15.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
75,"DE",2050,"ind_other_boiler_hot_water_lpg_1",0.15,0.65,0.3,19.0,15.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
76,"DE",2060,"ind_other_boiler_hot_water_lpg_1",0.15,0.65,0.3,19.0,15.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
77,"DE",2070,"ind_other_boiler_hot_water_lpg_1",0.15,0.65,0.3,19.0,15.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
78,"DE",2021,"ind_other_cool_abs_1",1.0,0.76,7.5,300.0,20.0,"",2021.0,0.05,"","","",0.9,"","","","","","","","","","","","","","","","","","","","","","",""
79,"DE",2024,"ind_other_cool_abs_1",1.0,0.8,7.5,300.0,20.0,"",2021.0,0.05,"","","",0.9,"","","","","","","","","","","","","","","","","","","","","","",""
80,"DE",2027,"ind_other_cool_abs_1",1.0,0.842105263,7.5,300.0,20.0,"",2021.0,0.05,"","","",0.9,"","","","","","","","","","","","","","","","","","","","","","",""
81,"DE",2030,"ind_other_cool_abs_1",1.0,0.863697706,7.5,300.0,20.0,"",2021.0,0.05,"","","",0.9,"","","","","","","","","","","","","","","","","","","","","","",""
1123,"DE",2035,"ind_other_light_elc_0","",1.0,"","",5.0,"","","","","","","","","","",3.16,"","","","","","","","","","","","","","","","","","",""
82,"DE",2035,"ind_other_cool_abs_1",1.0,0.863697706,7.5,300.0,20.0,"",2021.0,0.05,"","","",0.9,"","","","","","","","","","","","","","","","","","","","","","",""
83,"DE",2040,"ind_other_cool_abs_1",1.0,0.863697706,7.5,285.0,20.0,"",2021.0,0.05,"","","",0.9,"","","","","","","","","","","","","","","","","","","","","","",""
84,"DE",2045,"ind_other_cool_abs_1",1.0,0.863697706,7.5,285.0,20.0,"",2021.0,0.05,"","","",0.9,"","","","","","","","","","","","","","","","","","","","","","",""
85,"DE",2050,"ind_other_cool_abs_1",1.0,0.863698,7.5,270.75,20.0,"",2021.0,0.05,"","","",0.9,"","","","","","","","","","","","","","","","","","","","","","",""
86,"DE",2060,"ind_other_cool_abs_1",1.0,0.863698,7.5,270.75,20.0,"",2021.0,0.05,"","","",0.9,"","","","","","","","","","","","","","","","","","","","","","",""
87,"DE",2070,"ind_other_cool_abs_1",1.0,0.863698,7.5,270.75,20.0,"",2021.0,0.05,"","","",0.9,"","","","","","","","","","","","","","","","","","","","","","",""
88,"DE",2021,"ind_other_cool_abs_heat_pump_large_1",1.0,1.15,5.0,243.0,18.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
89,"DE",2024,"ind_other_cool_abs_heat_pump_large_1",1.0,1.15,5.0,243.0,18.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
90,"DE",2027,"ind_other_cool_abs_heat_pump_large_1",1.0,1.15,5.0,243.0,18.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
91,"DE",2030,"ind_other_cool_abs_heat_pump_large_1",1.0,1.15,5.0,243.0,18.0,"",2021.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
