"id","region","year","type","availability_constant","efficiency","cost_fix_p","cost_inv_p","lifetime","conversion_factor_t2e_space_heating","conversion_factor_t2e_hot_water","conversion_factor_t2e_space_cooling","flow_share_fix_t2e_space_heating","flow_share_fix_t2e_hot_water","flow_share_fix_t2e_space_cooling","flow_share_fix_sec_elec","flow_share_fix_pri_solar_radiation","flow_share_fix_pri_envir_heat","flow_share_fix_pri_geoth_heat","starting_year","bandwidth_type","version","method","source","comment"
1,"DE",2015,"hea_cts_t2e_cooling_aircon_room_1",1.0,2.76,10.0,276.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
2,"DE",2015,"hea_cts_t2e_cooling_fan_1",1.0,2.76,10.0,405.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
3,"DE",2015,"hea_cts_t2e_cooling_hp_abs_gas_1",1.0,0.75,5.0,243.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
4,"DE",2015,"hea_cts_t2e_cooling_hp_abs_hth_1",1.0,1.2,5.0,243.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
5,"DE",2015,"hea_cts_t2e_cooling_hp_abs_lth_1",1.0,1.15,5.0,243.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
6,"DE",2015,"hea_cts_t2e_cooling_hp_abs_solar_1",1.0,0.9,10.0,1050.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,2020.0,"","","","",""
7,"DE",2015,"hea_cts_t2e_heat_exchanger_hth_0",1.0,1.0,2.032240505,67.74135018,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
8,"DE",2020,"hea_cts_t2e_heat_exchanger_hth_0",1.0,1.0,2.196817478,73.22724926,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
9,"DE",2025,"hea_cts_t2e_heat_exchanger_hth_0",1.0,1.0,2.410715533,80.35718443,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
10,"DE",2030,"hea_cts_t2e_heat_exchanger_hth_0",1.0,1.0,2.605147965,86.83826551,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
11,"DE",2035,"hea_cts_t2e_heat_exchanger_hth_0",1.0,1.0,2.749861052,91.66203506,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
12,"DE",2040,"hea_cts_t2e_heat_exchanger_hth_0",1.0,1.0,2.87936173,95.97872434,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
13,"DE",2045,"hea_cts_t2e_heat_exchanger_hth_0",1.0,1.0,2.912693065,97.08976882,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
14,"DE",2050,"hea_cts_t2e_heat_exchanger_hth_0",1.0,1.0,2.920017942,97.33393141,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
15,"DE",2060,"hea_cts_t2e_heat_exchanger_hth_0",1.0,1.0,2.920017942,97.33393141,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
16,"DE",2070,"hea_cts_t2e_heat_exchanger_hth_0",1.0,1.0,2.920017942,97.33393141,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
17,"DE",2015,"hea_cts_t2e_heat_exchanger_lth_0",1.0,1.0,2.071092377,69.03641256,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
18,"DE",2020,"hea_cts_t2e_heat_exchanger_lth_0",1.0,1.0,2.233412566,74.44708554,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
19,"DE",2025,"hea_cts_t2e_heat_exchanger_lth_0",1.0,1.0,2.443817888,81.46059628,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
20,"DE",2030,"hea_cts_t2e_heat_exchanger_lth_0",1.0,1.0,2.634571511,87.81905038,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
21,"DE",2035,"hea_cts_t2e_heat_exchanger_lth_0",1.0,1.0,2.776257991,92.54193305,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
22,"DE",2040,"hea_cts_t2e_heat_exchanger_lth_0",1.0,1.0,2.902853765,96.76179215,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
23,"DE",2045,"hea_cts_t2e_heat_exchanger_lth_0",1.0,1.0,2.93540852,97.84695066,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
24,"DE",2050,"hea_cts_t2e_heat_exchanger_lth_0",1.0,1.0,2.942561183,98.08537277,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
25,"DE",2060,"hea_cts_t2e_heat_exchanger_lth_0",1.0,1.0,2.942561183,98.08537277,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
26,"DE",2070,"hea_cts_t2e_heat_exchanger_lth_0",1.0,1.0,2.942561183,98.08537277,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
27,"DE",2015,"hea_cts_t2e_heater_boil_cd_gas_0",1.0,0.985,5.075530761,169.1843587,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
28,"DE",2020,"hea_cts_t2e_heater_boil_cd_gas_0",1.0,0.985,5.354257823,178.4752608,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
29,"DE",2025,"hea_cts_t2e_heater_boil_cd_gas_0",1.0,0.985,5.713024131,190.4341377,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
30,"DE",2030,"hea_cts_t2e_heater_boil_cd_gas_0",1.0,0.985,6.036476576,201.2158859,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
31,"DE",2035,"hea_cts_t2e_heater_boil_cd_gas_0",1.0,0.985,6.275936528,209.1978843,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
32,"DE",2040,"hea_cts_t2e_heater_boil_cd_gas_0",1.0,0.985,6.489483145,216.3161048,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
33,"DE",2045,"hea_cts_t2e_heater_boil_cd_gas_0",1.0,0.985,6.544349538,218.1449846,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
34,"DE",2050,"hea_cts_t2e_heater_boil_cd_gas_0",1.0,0.985,6.556402084,218.5467361,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
35,"DE",2060,"hea_cts_t2e_heater_boil_cd_gas_0",1.0,0.985,6.556402084,218.5467361,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
36,"DE",2070,"hea_cts_t2e_heater_boil_cd_gas_0",1.0,0.985,6.556402084,218.5467361,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
37,"DE",2030,"hea_cts_t2e_heater_boil_hydrogen_1",1.0,0.95,14.08748736,469.582912,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2030.0,"","","","",""
38,"DE",2035,"hea_cts_t2e_heater_boil_hydrogen_1",1.0,0.95,14.87692024,495.8973413,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2030.0,"","","","",""
