"id","region","year","type","conversion_factor_t2e_space_heating","conversion_factor_t2e_hot_water","conversion_factor_t2e_space_cooling","flow_share_fix_envir_heat","flow_share_fix_geoth_heat","flow_share_fix_exo_cts_t2e_space_heating","capacity_p_inst_0","lifetime","cost_fix_p","availability_constant","bandwidth_type","version","method","source","comment"
1,"Germany",2021,"hea_cts_t2e_heater_boil_cd_oil_0",0.75,0.6,"","","",0.760435198,4.042815334,20.0,"",0.25,"","","","",""
2,"Germany",2021,"hea_cts_t2e_heater_boil_cd_gas_0",1.0,0.8,"","","",0.760435198,3.859050738,20.0,"",0.15,"","","","",""
3,"Germany",2021,"hea_cts_t2e_heater_hp_ads_gas_0",1.0,"",0.8,0.142857143,"",0.670584742,0.0,20.0,"",0.15,"","","","",""
4,"Germany",2021,"hea_cts_t2e_heater_hp_gro_0",1.0,0.8,"","",0.545454545,0.670584742,0.0,20.0,"",0.15,"","","","",""
5,"Germany",2021,"hea_cts_t2e_heater_hp_air_0",1.0,0.8,"",0.479166667,"",0.666242806,0.0,20.0,"",0.15,"","","","",""
6,"Germany",2021,"hea_cts_t2e_heater_boil_et_dual_0",0.9,0.736,"","","",0.760435198,0.316350192,20.0,"",0.25,"","","","",""
7,"Germany",2021,"hea_cts_t2e_heat_exchanger_lth_0","","","","","","",1.112606161,25.0,"",0.15,"","","","",""
8,"Germany",2021,"hea_cts_t2e_heat_exchanger_hth_0","","","","","","",5.583937933,25.0,"",0.15,"","","","",""
9,"Germany",2021,"hea_cts_t2e_cooling_fan_0","","",2.38,"","","",16.23731034,12.0,"",0.15,"","","","",""
10,"Germany",2021,"hea_cts_t2e_cooling_hp_ads_gas_0","","",0.933333333,"","","",0.0,20.0,"",0.15,"","","","",""
