"id","region","year","type","availability_constant","efficiency","cost_fix_p","cost_inv_p","lifetime","conversion_factor_t2n_space_heating","conversion_factor_t2n_hot_water","conversion_factor_t2n_space_cooling","flow_share_fix_t2n_space_heating","flow_share_fix_t2n_hot_water","flow_share_fix_t2n_space_cooling","flow_share_fix_sec_elec","flow_share_fix_pri_solar_radiation","flow_share_fix_pri_envir_heat","flow_share_fix_pri_geoth_heat","starting_year","bandwidth_type","version","method","source","comment"
1,"DE",2015,"hea_cts_t2n_cooling_aircon_room_1",1.0,2.76,10.0,276.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
2,"DE",2015,"hea_cts_t2n_cooling_fan_1",1.0,2.76,10.0,405.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
3,"DE",2015,"hea_cts_t2n_cooling_hp_abs_gas_1",1.0,0.75,5.0,243.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
4,"DE",2015,"hea_cts_t2n_cooling_hp_abs_hth_1",1.0,1.2,5.0,243.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
5,"DE",2015,"hea_cts_t2n_cooling_hp_abs_lth_1",1.0,1.15,5.0,243.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
6,"DE",2015,"hea_cts_t2n_cooling_hp_abs_solar_1",1.0,0.9,10.0,1050.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,2020.0,"","","","",""
7,"DE",2015,"hea_cts_t2n_heat_exchanger_hth_0",1.0,1.0,4.009311142,133.6437047,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
8,"DE",2020,"hea_cts_t2n_heat_exchanger_hth_0",1.0,1.0,4.009311142,133.6437047,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
9,"DE",2025,"hea_cts_t2n_heat_exchanger_hth_0",1.0,1.0,4.009311142,133.6437047,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
10,"DE",2030,"hea_cts_t2n_heat_exchanger_hth_0",1.0,1.0,4.009311142,133.6437047,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
11,"DE",2035,"hea_cts_t2n_heat_exchanger_hth_0",1.0,1.0,4.009311142,133.6437047,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
12,"DE",2040,"hea_cts_t2n_heat_exchanger_hth_0",1.0,1.0,4.009311142,133.6437047,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
13,"DE",2045,"hea_cts_t2n_heat_exchanger_hth_0",1.0,1.0,4.009311142,133.6437047,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
14,"DE",2050,"hea_cts_t2n_heat_exchanger_hth_0",1.0,1.0,4.009311142,133.6437047,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
15,"DE",2060,"hea_cts_t2n_heat_exchanger_hth_0",1.0,1.0,4.009311142,133.6437047,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
16,"DE",2070,"hea_cts_t2n_heat_exchanger_hth_0",1.0,1.0,4.009311142,133.6437047,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
17,"DE",2015,"hea_cts_t2n_heat_exchanger_lth_0",1.0,1.0,4.000713512,133.3571171,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
18,"DE",2020,"hea_cts_t2n_heat_exchanger_lth_0",1.0,1.0,4.000713512,133.3571171,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
19,"DE",2025,"hea_cts_t2n_heat_exchanger_lth_0",1.0,1.0,4.000713512,133.3571171,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
20,"DE",2030,"hea_cts_t2n_heat_exchanger_lth_0",1.0,1.0,4.000713512,133.3571171,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
21,"DE",2035,"hea_cts_t2n_heat_exchanger_lth_0",1.0,1.0,4.000713512,133.3571171,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
22,"DE",2040,"hea_cts_t2n_heat_exchanger_lth_0",1.0,1.0,4.000713512,133.3571171,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
23,"DE",2045,"hea_cts_t2n_heat_exchanger_lth_0",1.0,1.0,4.000713512,133.3571171,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
24,"DE",2050,"hea_cts_t2n_heat_exchanger_lth_0",1.0,1.0,4.000713512,133.3571171,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
25,"DE",2060,"hea_cts_t2n_heat_exchanger_lth_0",1.0,1.0,4.000713512,133.3571171,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
26,"DE",2070,"hea_cts_t2n_heat_exchanger_lth_0",1.0,1.0,4.000713512,133.3571171,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
27,"DE",2015,"hea_cts_t2n_heater_boil_cd_gas_0",1.0,0.985,8.338393884,277.9464628,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
28,"DE",2020,"hea_cts_t2n_heater_boil_cd_gas_0",1.0,0.985,8.338393884,277.9464628,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
29,"DE",2025,"hea_cts_t2n_heater_boil_cd_gas_0",1.0,0.985,8.338393884,277.9464628,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
30,"DE",2030,"hea_cts_t2n_heater_boil_cd_gas_0",1.0,0.985,8.338393884,277.9464628,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
31,"DE",2035,"hea_cts_t2n_heater_boil_cd_gas_0",1.0,0.985,8.338393884,277.9464628,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
32,"DE",2040,"hea_cts_t2n_heater_boil_cd_gas_0",1.0,0.985,8.338393884,277.9464628,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
33,"DE",2045,"hea_cts_t2n_heater_boil_cd_gas_0",1.0,0.985,8.338393884,277.9464628,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
34,"DE",2050,"hea_cts_t2n_heater_boil_cd_gas_0",1.0,0.985,8.338393884,277.9464628,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
35,"DE",2060,"hea_cts_t2n_heater_boil_cd_gas_0",1.0,0.985,8.338393884,277.9464628,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
36,"DE",2070,"hea_cts_t2n_heater_boil_cd_gas_0",1.0,0.985,8.338393884,277.9464628,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
37,"DE",2030,"hea_cts_t2n_heater_boil_hydrogen_1",1.0,0.95,14.08748736,469.582912,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2030.0,"","","","",""
38,"DE",2035,"hea_cts_t2n_heater_boil_hydrogen_1",1.0,0.95,14.87692024,495.8973413,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2030.0,"","","","",""
39,"DE",2040,"hea_cts_t2n_heater_boil_hydrogen_1",1.0,0.95,15.59001569,519.6671896,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2030.0,"","","","",""
40,"DE",2045,"hea_cts_t2n_heater_boil_hydrogen_1",1.0,0.95,15.77456762,525.8189208,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2030.0,"","","","",""
41,"DE",2050,"hea_cts_t2n_heater_boil_hydrogen_1",1.0,0.95,15.81518013,527.1726711,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2030.0,"","","","",""
42,"DE",2060,"hea_cts_t2n_heater_boil_hydrogen_1",1.0,0.95,15.81518013,527.1726711,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2030.0,"","","","",""
43,"DE",2070,"hea_cts_t2n_heater_boil_hydrogen_1",1.0,0.95,15.81518013,527.1726711,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2030.0,"","","","",""
44,"DE",2015,"hea_cts_t2n_heater_hp_ads_gas_0",1.0,1.2,29.59092918,986.364306,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857143,0.0,2020.0,"","","","",""
45,"DE",2020,"hea_cts_t2n_heater_hp_ads_gas_0",1.0,1.2,29.59092918,986.364306,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857143,0.0,2020.0,"","","","",""
46,"DE",2025,"hea_cts_t2n_heater_hp_ads_gas_0",1.0,1.2,27.81547343,927.1824476,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857143,0.0,2020.0,"","","","",""
47,"DE",2030,"hea_cts_t2n_heater_hp_ads_gas_0",1.0,1.2,27.81547343,927.1824476,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857143,0.0,2020.0,"","","","",""
48,"DE",2035,"hea_cts_t2n_heater_hp_ads_gas_0",1.0,1.2,27.81547343,927.1824476,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857143,0.0,2020.0,"","","","",""
49,"DE",2040,"hea_cts_t2n_heater_hp_ads_gas_0",1.0,1.2,26.04001768,868.0005893,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857143,0.0,2020.0,"","","","",""
50,"DE",2045,"hea_cts_t2n_heater_hp_ads_gas_0",1.0,1.2,26.04001768,868.0005893,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857143,0.0,2020.0,"","","","",""
51,"DE",2050,"hea_cts_t2n_heater_hp_ads_gas_0",1.0,1.2,26.04001768,868.0005893,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857143,0.0,2020.0,"","","","",""
52,"DE",2060,"hea_cts_t2n_heater_hp_ads_gas_0",1.0,1.2,26.04001768,868.0005893,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857143,0.0,2020.0,"","","","",""
