"id","region","year","type","availability_constant","efficiency","cost_fix_p","cost_inv_p","lifetime","conversion_factor_me1_space_heating","conversion_factor_me1_hot_water","conversion_factor_me1_space_cooling","flow_share_fix_me1_space_heating","flow_share_fix_me1_hot_water","flow_share_fix_me1_space_cooling","flow_share_fix_sec_elec","flow_share_fix_pri_solar_radiation","flow_share_fix_pri_envir_heat","flow_share_fix_pri_geoth_heat","flow_share_fix_pri_natural_gas","flow_share_fix_sec_heating_oil","starting_year","bandwidth_type","version","method","source","comment"
1,"DE",2015,"hea_hh_me1_combustion_fuelcell_sofc_gas_1",0.0,0.410713875,120.129557,3861.593354,15.0,0.0,0.0,0.0,0.0,0.499129421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
2,"DE",2020,"hea_hh_me1_combustion_fuelcell_sofc_gas_1",0.0,0.41777775,114.4091019,3677.707956,15.0,0.0,0.0,0.0,0.0,0.490514939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
3,"DE",2030,"hea_hh_me1_combustion_fuelcell_sofc_gas_1",0.0,0.432399971,104.0082744,3343.370869,15.0,0.0,0.0,0.0,0.0,0.472682962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
4,"DE",2040,"hea_hh_me1_combustion_fuelcell_sofc_gas_1",0.0,0.44753397,94.55297675,3039.428063,15.0,0.0,0.0,0.0,0.0,0.454226866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
5,"DE",2050,"hea_hh_me1_combustion_fuelcell_sofc_gas_1",0.0,0.463197659,85.95725159,2763.116421,15.0,0.0,0.0,0.0,0.0,0.454226866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
6,"DE",2060,"hea_hh_me1_combustion_fuelcell_sofc_gas_1",0.0,0.463197659,85.95725159,2763.116421,15.0,0.0,0.0,0.0,0.0,0.454226866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
7,"DE",2070,"hea_hh_me1_combustion_fuelcell_sofc_gas_1",0.0,0.463197659,85.95725159,2763.116421,15.0,0.0,0.0,0.0,0.0,0.454226866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
8,"DE",2015,"hea_hh_me1_cooling_absorption_heatpump_cooling_gas_1",1.0,1.035,25.38,1228.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
9,"DE",2015,"hea_hh_me1_cooling_centralized_air_con_1",1.0,2.93,23.42,734.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
10,"DE",2015,"hea_hh_me1_cooling_room_air_con_1",1.0,2.025,19.4,1270.45,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
