"id","region","year","type","conversion_factor_emi_co2_stored","cost_var_w","conversion_factor_emi_co2_reusable","bandwidth_type","version","method","source","comment"
1,"DE",2021,"helper_co2_storage_permanent",1.0,3.495,1.0,"{}","v1","{}","{}","{}"
2,"DE",2024,"helper_co2_storage_permanent",1.0,3.495,1.0,"{}","v1","{}","{}","{}"
3,"DE",2027,"helper_co2_storage_permanent",1.0,3.495,1.0,"{}","v1","{}","{}","{}"
4,"DE",2030,"helper_co2_storage_permanent",1.0,3.495,1.0,"{}","v1","{}","{}","{}"
5,"DE",2035,"helper_co2_storage_permanent",1.0,3.495,1.0,"{}","v1","{}","{}","{}"
6,"DE",2040,"helper_co2_storage_permanent",1.0,3.495,1.0,"{}","v1","{}","{}","{}"
7,"DE",2045,"helper_co2_storage_permanent",1.0,3.495,1.0,"{}","v1","{}","{}","{}"
8,"DE",2050,"helper_co2_storage_permanent",1.0,3.495,1.0,"{}","v1","{}","{}","{}"
9,"DE",2060,"helper_co2_storage_permanent",1.0,3.495,1.0,"{}","v1","{}","{}","{}"
10,"DE",2070,"helper_co2_storage_permanent",1.0,3.495,1.0,"{}","v1","{}","{}","{}"
