"id","region","year","type","conversion_factor_iip_aluminum_crude","conversion_factor_sec_waste_heat_high_aluminum","conversion_factor_sec_elec_ind","conversion_factor_sec_heavy_fuel_oil","conversion_factor_iip_aluminum_alumina","ef_sec_methane_emi_ch4_f_ind","ef_sec_heavy_fuel_oil_emi_ch4_f_ind","ef_sec_methane_emi_co2_f_ind","ef_sec_heavy_fuel_oil_emi_co2_f_ind","ef_iip_aluminum_crude_emi_co2_p_ind","ef_sec_methane_emi_n2o_f_ind","ef_sec_heavy_fuel_oil_emi_n2o_f_ind","flow_share_max_sec_hydrogen","capacity_w_abs_new_max","lifetime","capacity_w_inst_0","conversion_factor_sec_methane","conversion_factor_sec_hydrogen","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_aluminum_pri_0",1.0,4.7,45.816,6.0,2.0,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",5264.1765,0.0006,0.0042,0.0,0.0,30.0,1.074,2.0,2.0,"{}","v1","{}","{}","{}"
2,"DE",2024,"ind_aluminum_pri_0",1.0,4.7,45.816,6.0,2.0,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",5264.1765,0.0006,0.0042,0.0,0.0,30.0,0.9944,2.0,2.0,"{}","v1","{}","{}","{}"
3,"DE",2027,"ind_aluminum_pri_0",1.0,4.7,45.816,6.0,2.0,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",5264.1765,0.0006,0.0042,0.0,0.0,30.0,0.7956,2.0,2.0,"{}","v1","{}","{}","{}"
4,"DE",2030,"ind_aluminum_pri_0",1.0,4.7,45.816,6.0,2.0,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",5264.1765,0.0006,0.0042,0.0,0.0,30.0,0.5967,2.0,2.0,"{}","v1","{}","{}","{}"
5,"DE",2035,"ind_aluminum_pri_0",1.0,4.7,45.816,6.0,2.0,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",5264.1765,0.0006,0.0042,20.0,0.0,30.0,0.3978,2.0,2.0,"{}","v1","{}","{}","{}"
6,"DE",2040,"ind_aluminum_pri_0",1.0,4.7,45.816,6.0,2.0,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",5264.1765,0.0006,0.0042,20.0,0.0,30.0,0.1989,2.0,2.0,"{}","v1","{}","{}","{}"
7,"DE",2045,"ind_aluminum_pri_0",1.0,4.7,45.816,6.0,2.0,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",5264.1765,0.0006,0.0042,20.0,0.0,30.0,0.0,2.0,2.0,"{}","v1","{}","{}","{}"
8,"DE",2050,"ind_aluminum_pri_0",1.0,4.7,45.816,6.0,2.0,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",5264.1765,0.0006,0.0042,20.0,0.0,30.0,0.0,2.0,2.0,"{}","v1","{}","{}","{}"
9,"DE",2060,"ind_aluminum_pri_0",1.0,4.7,45.816,6.0,2.0,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",5264.1765,0.0006,0.0042,20.0,0.0,30.0,0.0,2.0,2.0,"{}","v1","{}","{}","{}"
10,"DE",2070,"ind_aluminum_pri_0",1.0,4.7,45.816,6.0,2.0,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",5264.1765,0.0006,0.0042,20.0,0.0,30.0,0.0,2.0,2.0,"{}","v1","{}","{}","{}"
