"id","region","year","type","conversion_factor_iip_auto_hot_water","cost_var_e","conversion_factor_pri_biomass_stemwood","ef_pri_biomass_stemwood_emi_ch4_f_ind","ef_pri_biomass_stemwood_emi_co2_f_ind","ef_pri_biomass_stemwood_emi_n2o_f_ind","availability_constant","capacity_p_abs_new_max","cost_inv_p","cost_fix_p","lifetime","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_automobile_boiler_hot_water_bio_1","","","","","","","",0.0,"","","","{}","v1","{'conversion_factor': 'own calculation based on 7DanishEnergyAgency2022', 'cost_inv_p': 'own calculation based on 7DanishEnergyAgency2022', 'cost_fix_p': 'own calculation based on 7DanishEnergyAgency2022', 'cost_var_e': 'own calculation based on 7DanishEnergyAgency2022', 'availability_constant': '7AhanchianEtAl2020', 'ef': 'own calculation based on 7UBA2023a', 'capacity_p_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7DanishEnergyAgency2022', 'flow_share': 'own assumption based on7KanellopoulosEtAl2022'}","{'conversion_factor': '7DanishEnergyAgency2022', 'cost_inv_p': '7DanishEnergyAgency2022', 'cost_fix_p': '7DanishEnergyAgency2022', 'cost_var_e': '7DanishEnergyAgency2022', 'availability_constant': '7AhanchianEtAl2020', 'ef': '7UBA2023a', 'capacity_p_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7DanishEnergyAgency2022', 'flow_share': '7KanellopoulosEtAl2022'}","{'conversion_factor': 'assumed to be constant for all milestone year', 'cost_inv_p': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_fix_p': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_var_e': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'availability_constant': '7AhanchianEtAl2020', 'ef': 'own calculation based on 7UBA2023a', 'flow_share': 'assumed to be constant for all milestone year'}"
2,"DE",2024,"ind_automobile_boiler_hot_water_bio_1",1.0,0.315588,1.1111111111111112,0.00223,"global_emission_factors.pri_biomass_stemwood_co2",0.003,90.0,"",638.047956,34.783476,25.0,"{}","v1","{'conversion_factor': 'own calculation based on 7DanishEnergyAgency2022', 'cost_inv_p': 'own calculation based on 7DanishEnergyAgency2022', 'cost_fix_p': 'own calculation based on 7DanishEnergyAgency2022', 'cost_var_e': 'own calculation based on 7DanishEnergyAgency2022', 'availability_constant': '7AhanchianEtAl2020', 'ef': 'own calculation based on 7UBA2023a', 'capacity_p_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7DanishEnergyAgency2022', 'flow_share': 'own assumption based on7KanellopoulosEtAl2022'}","{'conversion_factor': '7DanishEnergyAgency2022', 'cost_inv_p': '7DanishEnergyAgency2022', 'cost_fix_p': '7DanishEnergyAgency2022', 'cost_var_e': '7DanishEnergyAgency2022', 'availability_constant': '7AhanchianEtAl2020', 'ef': '7UBA2023a', 'capacity_p_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7DanishEnergyAgency2022', 'flow_share': '7KanellopoulosEtAl2022'}","{'conversion_factor': 'assumed to be constant for all milestone year', 'cost_inv_p': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_fix_p': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_var_e': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'availability_constant': '7AhanchianEtAl2020', 'ef': 'own calculation based on 7UBA2023a', 'flow_share': 'assumed to be constant for all milestone year'}"
3,"DE",2027,"ind_automobile_boiler_hot_water_bio_1",1.0,0.315588,1.1111111111111112,0.00223,"global_emission_factors.pri_biomass_stemwood_co2",0.003,90.0,"",638.047956,34.783476,25.0,"{}","v1","{'conversion_factor': 'own calculation based on 7DanishEnergyAgency2022', 'cost_inv_p': 'own calculation based on 7DanishEnergyAgency2022', 'cost_fix_p': 'own calculation based on 7DanishEnergyAgency2022', 'cost_var_e': 'own calculation based on 7DanishEnergyAgency2022', 'availability_constant': '7AhanchianEtAl2020', 'ef': 'own calculation based on 7UBA2023a', 'capacity_p_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7DanishEnergyAgency2022', 'flow_share': 'own assumption based on7KanellopoulosEtAl2022'}","{'conversion_factor': '7DanishEnergyAgency2022', 'cost_inv_p': '7DanishEnergyAgency2022', 'cost_fix_p': '7DanishEnergyAgency2022', 'cost_var_e': '7DanishEnergyAgency2022', 'availability_constant': '7AhanchianEtAl2020', 'ef': '7UBA2023a', 'capacity_p_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7DanishEnergyAgency2022', 'flow_share': '7KanellopoulosEtAl2022'}","{'conversion_factor': 'assumed to be constant for all milestone year', 'cost_inv_p': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_fix_p': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_var_e': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'availability_constant': '7AhanchianEtAl2020', 'ef': 'own calculation based on 7UBA2023a', 'flow_share': 'assumed to be constant for all milestone year'}"
4,"DE",2030,"ind_automobile_boiler_hot_water_bio_1",1.0,0.315588,1.1111111111111112,0.00223,"global_emission_factors.pri_biomass_stemwood_co2",0.003,90.0,"",638.047956,34.783476,25.0,"{}","v1","{'conversion_factor': 'own calculation based on 7DanishEnergyAgency2022', 'cost_inv_p': 'own calculation based on 7DanishEnergyAgency2022', 'cost_fix_p': 'own calculation based on 7DanishEnergyAgency2022', 'cost_var_e': 'own calculation based on 7DanishEnergyAgency2022', 'availability_constant': '7AhanchianEtAl2020', 'ef': 'own calculation based on 7UBA2023a', 'capacity_p_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7DanishEnergyAgency2022', 'flow_share': 'own assumption based on7KanellopoulosEtAl2022'}","{'conversion_factor': '7DanishEnergyAgency2022', 'cost_inv_p': '7DanishEnergyAgency2022', 'cost_fix_p': '7DanishEnergyAgency2022', 'cost_var_e': '7DanishEnergyAgency2022', 'availability_constant': '7AhanchianEtAl2020', 'ef': '7UBA2023a', 'capacity_p_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7DanishEnergyAgency2022', 'flow_share': '7KanellopoulosEtAl2022'}","{'conversion_factor': 'assumed to be constant for all milestone year', 'cost_inv_p': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_fix_p': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_var_e': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'availability_constant': '7AhanchianEtAl2020', 'ef': 'own calculation based on 7UBA2023a', 'flow_share': 'assumed to be constant for all milestone year'}"
5,"DE",2035,"ind_automobile_boiler_hot_water_bio_1",1.0,0.315588,1.1111111111111112,0.00223,"global_emission_factors.pri_biomass_stemwood_co2",0.003,90.0,"",638.047956,34.783476,25.0,"{}","v1","{'conversion_factor': 'own calculation based on 7DanishEnergyAgency2022', 'cost_inv_p': 'own calculation based on 7DanishEnergyAgency2022', 'cost_fix_p': 'own calculation based on 7DanishEnergyAgency2022', 'cost_var_e': 'own calculation based on 7DanishEnergyAgency2022', 'availability_constant': '7AhanchianEtAl2020', 'ef': 'own calculation based on 7UBA2023a', 'capacity_p_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7DanishEnergyAgency2022', 'flow_share': 'own assumption based on7KanellopoulosEtAl2022'}","{'conversion_factor': '7DanishEnergyAgency2022', 'cost_inv_p': '7DanishEnergyAgency2022', 'cost_fix_p': '7DanishEnergyAgency2022', 'cost_var_e': '7DanishEnergyAgency2022', 'availability_constant': '7AhanchianEtAl2020', 'ef': '7UBA2023a', 'capacity_p_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7DanishEnergyAgency2022', 'flow_share': '7KanellopoulosEtAl2022'}","{'conversion_factor': 'assumed to be constant for all milestone year', 'cost_inv_p': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_fix_p': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_var_e': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'availability_constant': '7AhanchianEtAl2020', 'ef': 'own calculation based on 7UBA2023a', 'flow_share': 'assumed to be constant for all milestone year'}"
6,"DE",2040,"ind_automobile_boiler_hot_water_bio_1",1.0,0.315588,1.1111111111111112,0.00223,"global_emission_factors.pri_biomass_stemwood_co2",0.003,90.0,"",638.047956,34.783476,25.0,"{}","v1","{'conversion_factor': 'own calculation based on 7DanishEnergyAgency2022', 'cost_inv_p': 'own calculation based on 7DanishEnergyAgency2022', 'cost_fix_p': 'own calculation based on 7DanishEnergyAgency2022', 'cost_var_e': 'own calculation based on 7DanishEnergyAgency2022', 'availability_constant': '7AhanchianEtAl2020', 'ef': 'own calculation based on 7UBA2023a', 'capacity_p_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7DanishEnergyAgency2022', 'flow_share': 'own assumption based on7KanellopoulosEtAl2022'}","{'conversion_factor': '7DanishEnergyAgency2022', 'cost_inv_p': '7DanishEnergyAgency2022', 'cost_fix_p': '7DanishEnergyAgency2022', 'cost_var_e': '7DanishEnergyAgency2022', 'availability_constant': '7AhanchianEtAl2020', 'ef': '7UBA2023a', 'capacity_p_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7DanishEnergyAgency2022', 'flow_share': '7KanellopoulosEtAl2022'}","{'conversion_factor': 'assumed to be constant for all milestone year', 'cost_inv_p': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_fix_p': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_var_e': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'availability_constant': '7AhanchianEtAl2020', 'ef': 'own calculation based on 7UBA2023a', 'flow_share': 'assumed to be constant for all milestone year'}"
7,"DE",2045,"ind_automobile_boiler_hot_water_bio_1",1.0,0.315588,1.1111111111111112,0.00223,"global_emission_factors.pri_biomass_stemwood_co2",0.003,90.0,"",638.047956,34.783476,25.0,"{}","v1","{'conversion_factor': 'own calculation based on 7DanishEnergyAgency2022', 'cost_inv_p': 'own calculation based on 7DanishEnergyAgency2022', 'cost_fix_p': 'own calculation based on 7DanishEnergyAgency2022', 'cost_var_e': 'own calculation based on 7DanishEnergyAgency2022', 'availability_constant': '7AhanchianEtAl2020', 'ef': 'own calculation based on 7UBA2023a', 'capacity_p_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7DanishEnergyAgency2022', 'flow_share': 'own assumption based on7KanellopoulosEtAl2022'}","{'conversion_factor': '7DanishEnergyAgency2022', 'cost_inv_p': '7DanishEnergyAgency2022', 'cost_fix_p': '7DanishEnergyAgency2022', 'cost_var_e': '7DanishEnergyAgency2022', 'availability_constant': '7AhanchianEtAl2020', 'ef': '7UBA2023a', 'capacity_p_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7DanishEnergyAgency2022', 'flow_share': '7KanellopoulosEtAl2022'}","{'conversion_factor': 'assumed to be constant for all milestone year', 'cost_inv_p': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_fix_p': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_var_e': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'availability_constant': '7AhanchianEtAl2020', 'ef': 'own calculation based on 7UBA2023a', 'flow_share': 'assumed to be constant for all milestone year'}"
8,"DE",2050,"ind_automobile_boiler_hot_water_bio_1",1.0,0.315588,1.1111111111111112,0.00223,"global_emission_factors.pri_biomass_stemwood_co2",0.003,90.0,"",638.047956,34.783476,25.0,"{}","v1","{'conversion_factor': 'own calculation based on 7DanishEnergyAgency2022', 'cost_inv_p': 'own calculation based on 7DanishEnergyAgency2022', 'cost_fix_p': 'own calculation based on 7DanishEnergyAgency2022', 'cost_var_e': 'own calculation based on 7DanishEnergyAgency2022', 'availability_constant': '7AhanchianEtAl2020', 'ef': 'own calculation based on 7UBA2023a', 'capacity_p_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7DanishEnergyAgency2022', 'flow_share': 'own assumption based on7KanellopoulosEtAl2022'}","{'conversion_factor': '7DanishEnergyAgency2022', 'cost_inv_p': '7DanishEnergyAgency2022', 'cost_fix_p': '7DanishEnergyAgency2022', 'cost_var_e': '7DanishEnergyAgency2022', 'availability_constant': '7AhanchianEtAl2020', 'ef': '7UBA2023a', 'capacity_p_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7DanishEnergyAgency2022', 'flow_share': '7KanellopoulosEtAl2022'}","{'conversion_factor': 'assumed to be constant for all milestone year', 'cost_inv_p': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_fix_p': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_var_e': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'availability_constant': '7AhanchianEtAl2020', 'ef': 'own calculation based on 7UBA2023a', 'flow_share': 'assumed to be constant for all milestone year'}"
9,"DE",2060,"ind_automobile_boiler_hot_water_bio_1",1.0,0.315588,1.1111111111111112,0.00223,"global_emission_factors.pri_biomass_stemwood_co2",0.003,90.0,"",638.047956,34.783476,25.0,"{}","v1","{'conversion_factor': 'own calculation based on 7DanishEnergyAgency2022', 'cost_inv_p': 'own calculation based on 7DanishEnergyAgency2022', 'cost_fix_p': 'own calculation based on 7DanishEnergyAgency2022', 'cost_var_e': 'own calculation based on 7DanishEnergyAgency2022', 'availability_constant': '7AhanchianEtAl2020', 'ef': 'own calculation based on 7UBA2023a', 'capacity_p_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7DanishEnergyAgency2022', 'flow_share': 'own assumption based on7KanellopoulosEtAl2022'}","{'conversion_factor': '7DanishEnergyAgency2022', 'cost_inv_p': '7DanishEnergyAgency2022', 'cost_fix_p': '7DanishEnergyAgency2022', 'cost_var_e': '7DanishEnergyAgency2022', 'availability_constant': '7AhanchianEtAl2020', 'ef': '7UBA2023a', 'capacity_p_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7DanishEnergyAgency2022', 'flow_share': '7KanellopoulosEtAl2022'}","{'conversion_factor': 'assumed to be constant for all milestone year', 'cost_inv_p': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_fix_p': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_var_e': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'availability_constant': '7AhanchianEtAl2020', 'ef': 'own calculation based on 7UBA2023a', 'flow_share': 'assumed to be constant for all milestone year'}"
10,"DE",2070,"ind_automobile_boiler_hot_water_bio_1",1.0,0.315588,1.1111111111111112,0.00223,"global_emission_factors.pri_biomass_stemwood_co2",0.003,90.0,"",638.047956,34.783476,25.0,"{}","v1","{'conversion_factor': 'own calculation based on 7DanishEnergyAgency2022', 'cost_inv_p': 'own calculation based on 7DanishEnergyAgency2022', 'cost_fix_p': 'own calculation based on 7DanishEnergyAgency2022', 'cost_var_e': 'own calculation based on 7DanishEnergyAgency2022', 'availability_constant': '7AhanchianEtAl2020', 'ef': 'own calculation based on 7UBA2023a', 'capacity_p_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7DanishEnergyAgency2022', 'flow_share': 'own assumption based on7KanellopoulosEtAl2022'}","{'conversion_factor': '7DanishEnergyAgency2022', 'cost_inv_p': '7DanishEnergyAgency2022', 'cost_fix_p': '7DanishEnergyAgency2022', 'cost_var_e': '7DanishEnergyAgency2022', 'availability_constant': '7AhanchianEtAl2020', 'ef': '7UBA2023a', 'capacity_p_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7DanishEnergyAgency2022', 'flow_share': '7KanellopoulosEtAl2022'}","{'conversion_factor': 'assumed to be constant for all milestone year', 'cost_inv_p': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_fix_p': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_var_e': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'availability_constant': '7AhanchianEtAl2020', 'ef': 'own calculation based on 7UBA2023a', 'flow_share': 'assumed to be constant for all milestone year'}"
