"id","region","year","type","conversion_factor_iip_auto_painted_hcv_bev","conversion_factor_sec_elec_ind","conversion_factor_iip_auto_steam","conversion_factor_iip_auto_hot_water","conversion_factor_iip_auto_parts_hcv_bev","capacity_w_abs_new_max","lifetime","capacity_w_inst_0","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_automobile_hcv_bev_pnts_0",1.0,1.134,1.335,1.085,1.0,0.0,15.0,0.009,"{}","v1","{'conversion_factor': 'own calculation based on 7ChronopoulosEtAl2020', 'capacity_w_inst_0': 'own calculation based on 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7ChronopoulosEtAl2020', 'capacity_w_inst_0': '7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7ChronopoulosEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_inst_0': 'assumed linear decrease until life time', 'capacity_w_abs_new_max': 'assumed no new investement'}"
2,"DE",2024,"ind_automobile_hcv_bev_pnts_0",1.0,1.134,1.335,1.085,1.0,0.0,15.0,0.006,"{}","v1","{'conversion_factor': 'own calculation based on 7ChronopoulosEtAl2020', 'capacity_w_inst_0': 'own calculation based on 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7ChronopoulosEtAl2020', 'capacity_w_inst_0': '7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7ChronopoulosEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_inst_0': 'assumed linear decrease until life time', 'capacity_w_abs_new_max': 'assumed no new investement'}"
3,"DE",2027,"ind_automobile_hcv_bev_pnts_0",1.0,1.134,1.335,1.085,1.0,0.0,15.0,0.003,"{}","v1","{'conversion_factor': 'own calculation based on 7ChronopoulosEtAl2020', 'capacity_w_inst_0': 'own calculation based on 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7ChronopoulosEtAl2020', 'capacity_w_inst_0': '7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7ChronopoulosEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_inst_0': 'assumed linear decrease until life time', 'capacity_w_abs_new_max': 'assumed no new investement'}"
4,"DE",2030,"ind_automobile_hcv_bev_pnts_0",1.0,1.134,1.335,1.085,1.0,0.0,15.0,0.0,"{}","v1","{'conversion_factor': 'own calculation based on 7ChronopoulosEtAl2020', 'capacity_w_inst_0': 'own calculation based on 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7ChronopoulosEtAl2020', 'capacity_w_inst_0': '7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7ChronopoulosEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_inst_0': 'assumed linear decrease until life time', 'capacity_w_abs_new_max': 'assumed no new investement'}"
5,"DE",2035,"ind_automobile_hcv_bev_pnts_0",1.0,1.134,1.335,1.085,1.0,0.0,15.0,0.0,"{}","v1","{'conversion_factor': 'own calculation based on 7ChronopoulosEtAl2020', 'capacity_w_inst_0': 'own calculation based on 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7ChronopoulosEtAl2020', 'capacity_w_inst_0': '7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7ChronopoulosEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_inst_0': 'assumed linear decrease until life time', 'capacity_w_abs_new_max': 'assumed no new investement'}"
6,"DE",2040,"ind_automobile_hcv_bev_pnts_0",1.0,1.134,1.335,1.085,1.0,0.0,15.0,0.0,"{}","v1","{'conversion_factor': 'own calculation based on 7ChronopoulosEtAl2020', 'capacity_w_inst_0': 'own calculation based on 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7ChronopoulosEtAl2020', 'capacity_w_inst_0': '7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7ChronopoulosEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_inst_0': 'assumed linear decrease until life time', 'capacity_w_abs_new_max': 'assumed no new investement'}"
7,"DE",2045,"ind_automobile_hcv_bev_pnts_0",1.0,1.134,1.335,1.085,1.0,0.0,15.0,0.0,"{}","v1","{'conversion_factor': 'own calculation based on 7ChronopoulosEtAl2020', 'capacity_w_inst_0': 'own calculation based on 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7ChronopoulosEtAl2020', 'capacity_w_inst_0': '7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7ChronopoulosEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_inst_0': 'assumed linear decrease until life time', 'capacity_w_abs_new_max': 'assumed no new investement'}"
8,"DE",2050,"ind_automobile_hcv_bev_pnts_0",1.0,1.134,1.335,1.085,1.0,0.0,15.0,0.0,"{}","v1","{'conversion_factor': 'own calculation based on 7ChronopoulosEtAl2020', 'capacity_w_inst_0': 'own calculation based on 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7ChronopoulosEtAl2020', 'capacity_w_inst_0': '7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7ChronopoulosEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_inst_0': 'assumed linear decrease until life time', 'capacity_w_abs_new_max': 'assumed no new investement'}"
9,"DE",2060,"ind_automobile_hcv_bev_pnts_0",1.0,1.134,1.335,1.085,1.0,0.0,15.0,0.0,"{}","v1","{'conversion_factor': 'own calculation based on 7ChronopoulosEtAl2020', 'capacity_w_inst_0': 'own calculation based on 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7ChronopoulosEtAl2020', 'capacity_w_inst_0': '7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7ChronopoulosEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_inst_0': 'assumed linear decrease until life time', 'capacity_w_abs_new_max': 'assumed no new investement'}"
10,"DE",2070,"ind_automobile_hcv_bev_pnts_0",1.0,1.134,1.335,1.085,1.0,0.0,15.0,0.0,"{}","v1","{'conversion_factor': 'own calculation based on 7ChronopoulosEtAl2020', 'capacity_w_inst_0': 'own calculation based on 7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7ChronopoulosEtAl2020', 'capacity_w_inst_0': '7HartmannEtAl2019', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'lifetime': '7ChronopoulosEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_inst_0': 'assumed linear decrease until life time', 'capacity_w_abs_new_max': 'assumed no new investement'}"
