"id","region","year","type","conversion_factor_iip_auto_hvlt","conversion_factor_sec_elec_ind","availability_constant","capacity_p_abs_new_max","cost_inv_p","lifetime","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_automobile_hvlt_1","","","",0.0,"","","{}","v1","{'conversion_factor': 'own calculation based on 7DeVitaEtAl2020', 'cost_inv_w': 'own calculation based on 7AhanchianEtAl2020', 'cost_fix_w': ' own calculation based on7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': '7DeVitaEtAl2020', 'cost_inv_w': '7AhanchianEtAl2020', 'cost_fix_w': '7AhanchianEtAl2020', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone year', 'cost_inv_w': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_fix_w': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'availability_constant': 'assumed to be constant for all milestone year'}"
2,"DE",2024,"ind_automobile_hvlt_1",1.0,0.74,95.0,"",215.124,25.0,"{}","v1","{'conversion_factor': 'own calculation based on 7DeVitaEtAl2020', 'cost_inv_w': 'own calculation based on 7AhanchianEtAl2020', 'cost_fix_w': ' own calculation based on7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': '7DeVitaEtAl2020', 'cost_inv_w': '7AhanchianEtAl2020', 'cost_fix_w': '7AhanchianEtAl2020', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone year', 'cost_inv_w': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_fix_w': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'availability_constant': 'assumed to be constant for all milestone year'}"
3,"DE",2027,"ind_automobile_hvlt_1",1.0,0.74,95.0,"",215.124,25.0,"{}","v1","{'conversion_factor': 'own calculation based on 7DeVitaEtAl2020', 'cost_inv_w': 'own calculation based on 7AhanchianEtAl2020', 'cost_fix_w': ' own calculation based on7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': '7DeVitaEtAl2020', 'cost_inv_w': '7AhanchianEtAl2020', 'cost_fix_w': '7AhanchianEtAl2020', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone year', 'cost_inv_w': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_fix_w': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'availability_constant': 'assumed to be constant for all milestone year'}"
4,"DE",2030,"ind_automobile_hvlt_1",1.0,0.74,95.0,"",215.124,25.0,"{}","v1","{'conversion_factor': 'own calculation based on 7DeVitaEtAl2020', 'cost_inv_w': 'own calculation based on 7AhanchianEtAl2020', 'cost_fix_w': ' own calculation based on7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': '7DeVitaEtAl2020', 'cost_inv_w': '7AhanchianEtAl2020', 'cost_fix_w': '7AhanchianEtAl2020', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone year', 'cost_inv_w': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_fix_w': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'availability_constant': 'assumed to be constant for all milestone year'}"
5,"DE",2035,"ind_automobile_hvlt_1",1.0,0.74,95.0,"",215.124,25.0,"{}","v1","{'conversion_factor': 'own calculation based on 7DeVitaEtAl2020', 'cost_inv_w': 'own calculation based on 7AhanchianEtAl2020', 'cost_fix_w': ' own calculation based on7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': '7DeVitaEtAl2020', 'cost_inv_w': '7AhanchianEtAl2020', 'cost_fix_w': '7AhanchianEtAl2020', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone year', 'cost_inv_w': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_fix_w': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'availability_constant': 'assumed to be constant for all milestone year'}"
6,"DE",2040,"ind_automobile_hvlt_1",1.0,0.74,95.0,"",215.124,25.0,"{}","v1","{'conversion_factor': 'own calculation based on 7DeVitaEtAl2020', 'cost_inv_w': 'own calculation based on 7AhanchianEtAl2020', 'cost_fix_w': ' own calculation based on7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': '7DeVitaEtAl2020', 'cost_inv_w': '7AhanchianEtAl2020', 'cost_fix_w': '7AhanchianEtAl2020', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone year', 'cost_inv_w': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_fix_w': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'availability_constant': 'assumed to be constant for all milestone year'}"
7,"DE",2045,"ind_automobile_hvlt_1",1.0,0.74,95.0,"",215.124,25.0,"{}","v1","{'conversion_factor': 'own calculation based on 7DeVitaEtAl2020', 'cost_inv_w': 'own calculation based on 7AhanchianEtAl2020', 'cost_fix_w': ' own calculation based on7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': '7DeVitaEtAl2020', 'cost_inv_w': '7AhanchianEtAl2020', 'cost_fix_w': '7AhanchianEtAl2020', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone year', 'cost_inv_w': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_fix_w': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'availability_constant': 'assumed to be constant for all milestone year'}"
8,"DE",2050,"ind_automobile_hvlt_1",1.0,0.74,95.0,"",215.124,25.0,"{}","v1","{'conversion_factor': 'own calculation based on 7DeVitaEtAl2020', 'cost_inv_w': 'own calculation based on 7AhanchianEtAl2020', 'cost_fix_w': ' own calculation based on7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': '7DeVitaEtAl2020', 'cost_inv_w': '7AhanchianEtAl2020', 'cost_fix_w': '7AhanchianEtAl2020', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone year', 'cost_inv_w': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_fix_w': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'availability_constant': 'assumed to be constant for all milestone year'}"
9,"DE",2060,"ind_automobile_hvlt_1",1.0,0.74,95.0,"",215.124,25.0,"{}","v1","{'conversion_factor': 'own calculation based on 7DeVitaEtAl2020', 'cost_inv_w': 'own calculation based on 7AhanchianEtAl2020', 'cost_fix_w': ' own calculation based on7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': '7DeVitaEtAl2020', 'cost_inv_w': '7AhanchianEtAl2020', 'cost_fix_w': '7AhanchianEtAl2020', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone year', 'cost_inv_w': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_fix_w': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'availability_constant': 'assumed to be constant for all milestone year'}"
10,"DE",2070,"ind_automobile_hvlt_1",1.0,0.74,95.0,"",215.124,25.0,"{}","v1","{'conversion_factor': 'own calculation based on 7DeVitaEtAl2020', 'cost_inv_w': 'own calculation based on 7AhanchianEtAl2020', 'cost_fix_w': ' own calculation based on7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': '7DeVitaEtAl2020', 'cost_inv_w': '7AhanchianEtAl2020', 'cost_fix_w': '7AhanchianEtAl2020', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone year', 'cost_inv_w': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'cost_fix_w': 'assumed to be constant for all milestone year,  monetary value conversion considering inflation, EUR2015>EUR2021', 'availability_constant': 'assumed to be constant for all milestone year'}"
