"id","region","year","type","conversion_factor_iip_auto_btry_pc_bev","conversion_factor_sec_elec_ind","conversion_factor_iip_auto_steam","availability_constant","capacity_w_abs_new_max","cost_inv_w","cost_fix_w","lifetime","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_automobile_pc_bev_btry_1","","","","",0.0,"","","","{}","v1","{'conversion_factor': 'own calculation based on 7ANL2022', 'cost_inv_w': 'own calculation based on 7IEA2018', 'cost_fix_w': 'own calculation based on 7IEA2018', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': '7ANL2022', 'cost_inv_w': '7IEA2018', 'cost_fix_w': '7IEA2018', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'cost_inv_w': 'monatary conversion were performed considering exchange rate and inflation, USD2019>EUR2019>EUR2021', 'cost_fix_w': 'monatary conversion were performed considering exchange rate and inflation, USD2019>EUR2019>EUR2021'}"
2,"DE",2024,"ind_automobile_pc_bev_btry_1",1.0,1.054,4.92,95.0,"",2912.364,145.236,10.0,"{}","v1","{'conversion_factor': 'own calculation based on 7ANL2022', 'cost_inv_w': 'own calculation based on 7IEA2018', 'cost_fix_w': 'own calculation based on 7IEA2018', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': '7ANL2022', 'cost_inv_w': '7IEA2018', 'cost_fix_w': '7IEA2018', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'cost_inv_w': 'monatary conversion were performed considering exchange rate and inflation, USD2019>EUR2019>EUR2021', 'cost_fix_w': 'monatary conversion were performed considering exchange rate and inflation, USD2019>EUR2019>EUR2021'}"
3,"DE",2027,"ind_automobile_pc_bev_btry_1",1.0,1.054,4.92,95.0,"",2912.364,145.236,10.0,"{}","v1","{'conversion_factor': 'own calculation based on 7ANL2022', 'cost_inv_w': 'own calculation based on 7IEA2018', 'cost_fix_w': 'own calculation based on 7IEA2018', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': '7ANL2022', 'cost_inv_w': '7IEA2018', 'cost_fix_w': '7IEA2018', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'cost_inv_w': 'monatary conversion were performed considering exchange rate and inflation, USD2019>EUR2019>EUR2021', 'cost_fix_w': 'monatary conversion were performed considering exchange rate and inflation, USD2019>EUR2019>EUR2021'}"
4,"DE",2030,"ind_automobile_pc_bev_btry_1",1.0,1.054,4.92,95.0,"",2912.364,145.236,10.0,"{}","v1","{'conversion_factor': 'own calculation based on 7ANL2022', 'cost_inv_w': 'own calculation based on 7IEA2018', 'cost_fix_w': 'own calculation based on 7IEA2018', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': '7ANL2022', 'cost_inv_w': '7IEA2018', 'cost_fix_w': '7IEA2018', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'cost_inv_w': 'monatary conversion were performed considering exchange rate and inflation, USD2019>EUR2019>EUR2021', 'cost_fix_w': 'monatary conversion were performed considering exchange rate and inflation, USD2019>EUR2019>EUR2021'}"
5,"DE",2035,"ind_automobile_pc_bev_btry_1",1.0,1.054,4.92,95.0,"",2912.364,145.236,10.0,"{}","v1","{'conversion_factor': 'own calculation based on 7ANL2022', 'cost_inv_w': 'own calculation based on 7IEA2018', 'cost_fix_w': 'own calculation based on 7IEA2018', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': '7ANL2022', 'cost_inv_w': '7IEA2018', 'cost_fix_w': '7IEA2018', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'cost_inv_w': 'monatary conversion were performed considering exchange rate and inflation, USD2019>EUR2019>EUR2021', 'cost_fix_w': 'monatary conversion were performed considering exchange rate and inflation, USD2019>EUR2019>EUR2021'}"
6,"DE",2040,"ind_automobile_pc_bev_btry_1",1.0,1.054,4.92,95.0,"",2912.364,145.236,10.0,"{}","v1","{'conversion_factor': 'own calculation based on 7ANL2022', 'cost_inv_w': 'own calculation based on 7IEA2018', 'cost_fix_w': 'own calculation based on 7IEA2018', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': '7ANL2022', 'cost_inv_w': '7IEA2018', 'cost_fix_w': '7IEA2018', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'cost_inv_w': 'monatary conversion were performed considering exchange rate and inflation, USD2019>EUR2019>EUR2021', 'cost_fix_w': 'monatary conversion were performed considering exchange rate and inflation, USD2019>EUR2019>EUR2021'}"
7,"DE",2045,"ind_automobile_pc_bev_btry_1",1.0,1.054,4.92,95.0,"",2912.364,145.236,10.0,"{}","v1","{'conversion_factor': 'own calculation based on 7ANL2022', 'cost_inv_w': 'own calculation based on 7IEA2018', 'cost_fix_w': 'own calculation based on 7IEA2018', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': '7ANL2022', 'cost_inv_w': '7IEA2018', 'cost_fix_w': '7IEA2018', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'cost_inv_w': 'monatary conversion were performed considering exchange rate and inflation, USD2019>EUR2019>EUR2021', 'cost_fix_w': 'monatary conversion were performed considering exchange rate and inflation, USD2019>EUR2019>EUR2021'}"
8,"DE",2050,"ind_automobile_pc_bev_btry_1",1.0,1.054,4.92,95.0,"",2912.364,145.236,10.0,"{}","v1","{'conversion_factor': 'own calculation based on 7ANL2022', 'cost_inv_w': 'own calculation based on 7IEA2018', 'cost_fix_w': 'own calculation based on 7IEA2018', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': '7ANL2022', 'cost_inv_w': '7IEA2018', 'cost_fix_w': '7IEA2018', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'cost_inv_w': 'monatary conversion were performed considering exchange rate and inflation, USD2019>EUR2019>EUR2021', 'cost_fix_w': 'monatary conversion were performed considering exchange rate and inflation, USD2019>EUR2019>EUR2021'}"
9,"DE",2060,"ind_automobile_pc_bev_btry_1",1.0,1.054,4.92,95.0,"",2912.364,145.236,10.0,"{}","v1","{'conversion_factor': 'own calculation based on 7ANL2022', 'cost_inv_w': 'own calculation based on 7IEA2018', 'cost_fix_w': 'own calculation based on 7IEA2018', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': '7ANL2022', 'cost_inv_w': '7IEA2018', 'cost_fix_w': '7IEA2018', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'cost_inv_w': 'monatary conversion were performed considering exchange rate and inflation, USD2019>EUR2019>EUR2021', 'cost_fix_w': 'monatary conversion were performed considering exchange rate and inflation, USD2019>EUR2019>EUR2021'}"
10,"DE",2070,"ind_automobile_pc_bev_btry_1",1.0,1.054,4.92,95.0,"",2912.364,145.236,10.0,"{}","v1","{'conversion_factor': 'own calculation based on 7ANL2022', 'cost_inv_w': 'own calculation based on 7IEA2018', 'cost_fix_w': 'own calculation based on 7IEA2018', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': '7ANL2022', 'cost_inv_w': '7IEA2018', 'cost_fix_w': '7IEA2018', 'capacity_w_abs_new_max': '7AhanchianEtAl2020', 'availability_constant': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'cost_inv_w': 'monatary conversion were performed considering exchange rate and inflation, USD2019>EUR2019>EUR2021', 'cost_fix_w': 'monatary conversion were performed considering exchange rate and inflation, USD2019>EUR2019>EUR2021'}"
