"id","region","year","type","conversion_factor_iip_cement_clinker","conversion_factor_sec_waste_heat_high_cement","conversion_factor_sec_elec_ind","conversion_factor_iip_cement_rawmeal","ef_pri_biomass_stemwood_emi_ch4_f_ind","ef_pri_coal_emi_ch4_f_ind","ef_sec_heavy_fuel_oil_emi_ch4_f_ind","ef_pri_sewage_sludge_emi_ch4_f_ind","ef_pri_biomass_stemwood_emi_co2_f_ind","ef_pri_coal_emi_co2_f_ind","ef_sec_heavy_fuel_oil_emi_co2_f_ind","ef_pri_sewage_sludge_emi_co2_f_ind","ef_iip_cement_clinker_emi_co2_p_ind","ef_pri_biomass_stemwood_emi_n2o_f_ind","ef_pri_coal_emi_n2o_f_ind","ef_sec_heavy_fuel_oil_emi_n2o_f_ind","ef_pri_sewage_sludge_emi_n2o_f_ind","flow_share_fix_pri_biomass_stemwood","flow_share_fix_pri_coal","flow_share_fix_sec_heavy_fuel_oil","flow_share_fix_pri_sewage_sludge","capacity_w_abs_new_max","lifetime","capacity_w_inst_0","conversion_factor_pri_coal","conversion_factor_sec_heavy_fuel_oil","conversion_factor_pri_biomass","conversion_factor_pri_sewage_sludge","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_cement_rk_0",1.0,0.226,0.16,1.0,0.0044,0.0039,0.0044,0.0044,"global_emission_factors.pri_biomass_stemwood_co2","global_emission_factors.pri_coal_co2","global_emission_factors.sec_heavy_fuel_oil_co2","global_emission_factors.pri_sewage_sludge_co2",616.2807,0.0042,0.0036,0.0042,0.0042,12.0,28.000000000000004,42.0,18.0,0.0,30.0,24.0,3.5803795202291444,3.5803795202291444,3.5803795202291444,3.5803795202291444,"{}","v1","{}","{}","{}"
2,"DE",2024,"ind_cement_rk_0",1.0,0.226,0.16,1.0,0.0044,0.0039,0.0044,0.0044,"global_emission_factors.pri_biomass_stemwood_co2","global_emission_factors.pri_coal_co2","global_emission_factors.sec_heavy_fuel_oil_co2","global_emission_factors.pri_sewage_sludge_co2",616.2807,0.0042,0.0036,0.0042,0.0042,"","","","",0.0,30.0,3.5275,3.5803795202291444,3.5803795202291444,3.5803795202291444,3.5803795202291444,"{}","v1","{}","{}","{}"
3,"DE",2027,"ind_cement_rk_0",1.0,0.226,0.16,1.0,0.0044,0.0039,0.0044,0.0044,"global_emission_factors.pri_biomass_stemwood_co2","global_emission_factors.pri_coal_co2","global_emission_factors.sec_heavy_fuel_oil_co2","global_emission_factors.pri_sewage_sludge_co2",616.2807,0.0042,0.0036,0.0042,0.0042,"","","","",0.0,30.0,2.822,3.5803795202291444,3.5803795202291444,3.5803795202291444,3.5803795202291444,"{}","v1","{}","{}","{}"
4,"DE",2030,"ind_cement_rk_0",1.0,0.226,0.16,1.0,0.0044,0.0039,0.0044,0.0044,"global_emission_factors.pri_biomass_stemwood_co2","global_emission_factors.pri_coal_co2","global_emission_factors.sec_heavy_fuel_oil_co2","global_emission_factors.pri_sewage_sludge_co2",616.2807,0.0042,0.0036,0.0042,0.0042,"","","","",0.0,30.0,2.1165,3.5803795202291444,3.5803795202291444,3.5803795202291444,3.5803795202291444,"{}","v1","{}","{}","{}"
5,"DE",2035,"ind_cement_rk_0",1.0,0.226,0.16,1.0,0.0044,0.0039,0.0044,0.0044,"global_emission_factors.pri_biomass_stemwood_co2","global_emission_factors.pri_coal_co2","global_emission_factors.sec_heavy_fuel_oil_co2","global_emission_factors.pri_sewage_sludge_co2",616.2807,0.0042,0.0036,0.0042,0.0042,"","","","",0.0,30.0,1.411,3.5803795202291444,3.5803795202291444,3.5803795202291444,3.5803795202291444,"{}","v1","{}","{}","{}"
6,"DE",2040,"ind_cement_rk_0",1.0,0.226,0.16,1.0,0.0044,0.0039,0.0044,0.0044,"global_emission_factors.pri_biomass_stemwood_co2","global_emission_factors.pri_coal_co2","global_emission_factors.sec_heavy_fuel_oil_co2","global_emission_factors.pri_sewage_sludge_co2",616.2807,0.0042,0.0036,0.0042,0.0042,"","","","",0.0,30.0,0.705500000000001,3.5803795202291444,3.5803795202291444,3.5803795202291444,3.5803795202291444,"{}","v1","{}","{}","{}"
7,"DE",2045,"ind_cement_rk_0",1.0,0.226,0.16,1.0,0.0044,0.0039,0.0044,0.0044,"global_emission_factors.pri_biomass_stemwood_co2","global_emission_factors.pri_coal_co2","global_emission_factors.sec_heavy_fuel_oil_co2","global_emission_factors.pri_sewage_sludge_co2",616.2807,0.0042,0.0036,0.0042,0.0042,"","","","",0.0,30.0,0.0,3.5803795202291444,3.5803795202291444,3.5803795202291444,3.5803795202291444,"{}","v1","{}","{}","{}"
8,"DE",2050,"ind_cement_rk_0",1.0,0.226,0.16,1.0,0.0044,0.0039,0.0044,0.0044,"global_emission_factors.pri_biomass_stemwood_co2","global_emission_factors.pri_coal_co2","global_emission_factors.sec_heavy_fuel_oil_co2","global_emission_factors.pri_sewage_sludge_co2",616.2807,0.0042,0.0036,0.0042,0.0042,"","","","",0.0,30.0,0.0,3.5803795202291444,3.5803795202291444,3.5803795202291444,3.5803795202291444,"{}","v1","{}","{}","{}"
9,"DE",2060,"ind_cement_rk_0",1.0,0.226,0.16,1.0,0.0044,0.0039,0.0044,0.0044,"global_emission_factors.pri_biomass_stemwood_co2","global_emission_factors.pri_coal_co2","global_emission_factors.sec_heavy_fuel_oil_co2","global_emission_factors.pri_sewage_sludge_co2",616.2807,0.0042,0.0036,0.0042,0.0042,"","","","",0.0,30.0,0.0,3.5803795202291444,3.5803795202291444,3.5803795202291444,3.5803795202291444,"{}","v1","{}","{}","{}"
10,"DE",2070,"ind_cement_rk_0",1.0,0.226,0.16,1.0,0.0044,0.0039,0.0044,0.0044,"global_emission_factors.pri_biomass_stemwood_co2","global_emission_factors.pri_coal_co2","global_emission_factors.sec_heavy_fuel_oil_co2","global_emission_factors.pri_sewage_sludge_co2",616.2807,0.0042,0.0036,0.0042,0.0042,"","","","",0.0,30.0,0.0,3.5803795202291444,3.5803795202291444,3.5803795202291444,3.5803795202291444,"{}","v1","{}","{}","{}"
