"id","region","year","type","conversion_factor_exo_chemi_cl2","conversion_factor_sec_elec_ind","conversion_factor_sec_heat_district_high_ind","conversion_factor_sec_hydrogen","availability_constant","capacity_w_abs_new_max","lifetime","capacity_w_inst_0","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_chemical_cl2_diaph_0",1.0,9.66,2.4,3.38,100.0,0.0,30.0,1.06,"{}","v1","{}","{}","{}"
2,"DE",2024,"ind_chemical_cl2_diaph_0",1.0,9.66,2.4,3.38,100.0,0.0,30.0,0.9503,"{}","v1","{}","{}","{}"
3,"DE",2027,"ind_chemical_cl2_diaph_0",1.0,9.66,2.4,3.38,100.0,0.0,30.0,0.8407,"{}","v1","{}","{}","{}"
4,"DE",2030,"ind_chemical_cl2_diaph_0",1.0,9.66,2.4,3.38,100.0,0.0,30.0,0.731,"{}","v1","{}","{}","{}"
5,"DE",2035,"ind_chemical_cl2_diaph_0",1.0,9.66,2.4,3.38,100.0,0.0,30.0,0.5483,"{}","v1","{}","{}","{}"
6,"DE",2040,"ind_chemical_cl2_diaph_0",1.0,9.66,2.4,3.38,100.0,0.0,30.0,0.3655,"{}","v1","{}","{}","{}"
7,"DE",2045,"ind_chemical_cl2_diaph_0",1.0,9.66,2.4,3.38,100.0,0.0,30.0,0.1828,"{}","v1","{}","{}","{}"
8,"DE",2050,"ind_chemical_cl2_diaph_0",1.0,9.66,2.4,3.38,100.0,0.0,30.0,0.0,"{}","v1","{}","{}","{}"
9,"DE",2060,"ind_chemical_cl2_diaph_0",1.0,9.66,2.4,3.38,100.0,0.0,30.0,0.0,"{}","v1","{}","{}","{}"
10,"DE",2070,"ind_chemical_cl2_diaph_0",1.0,9.66,2.4,3.38,100.0,0.0,30.0,0.0,"{}","v1","{}","{}","{}"
