"id","region","year","type","conversion_factor_exo_chemi_cl2","cost_var_w","conversion_factor_sec_elec_ind","availability_constant","capacity_w_abs_new_max","cost_inv_w","cost_fix_w","lifetime","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_chemical_cl2_memboxy_1",1.0,98.28,6.755,95.0,0.0,1433.3046,94.3090512,30.0,"{}","v1","{}","{}","{}"
2,"DE",2024,"ind_chemical_cl2_memboxy_1",1.0,98.28,6.755,95.0,"",1433.3046,94.3090512,30.0,"{}","v1","{}","{}","{}"
3,"DE",2027,"ind_chemical_cl2_memboxy_1",1.0,98.28,6.755,95.0,"",1433.3046,94.3090512,30.0,"{}","v1","{}","{}","{}"
4,"DE",2030,"ind_chemical_cl2_memboxy_1",1.0,98.28,6.755,95.0,"",1433.3046,94.3090512,30.0,"{}","v1","{}","{}","{}"
5,"DE",2035,"ind_chemical_cl2_memboxy_1",1.0,98.28,6.755,95.0,"",1433.3046,94.3090512,30.0,"{}","v1","{}","{}","{}"
6,"DE",2040,"ind_chemical_cl2_memboxy_1",1.0,98.28,6.755,95.0,"",1433.3046,94.3090512,30.0,"{}","v1","{}","{}","{}"
7,"DE",2045,"ind_chemical_cl2_memboxy_1",1.0,98.28,6.755,95.0,"",1433.3046,94.3090512,30.0,"{}","v1","{}","{}","{}"
8,"DE",2050,"ind_chemical_cl2_memboxy_1",1.0,98.28,6.755,95.0,"",1433.3046,94.3090512,30.0,"{}","v1","{}","{}","{}"
9,"DE",2060,"ind_chemical_cl2_memboxy_1",1.0,98.28,6.755,95.0,"",1433.3046,94.3090512,30.0,"{}","v1","{}","{}","{}"
10,"DE",2070,"ind_chemical_cl2_memboxy_1",1.0,98.28,6.755,95.0,"",1433.3046,94.3090512,30.0,"{}","v1","{}","{}","{}"
