"id","region","year","type","conversion_factor_iip_chemi_electro_chem","conversion_factor_sec_elec_ind","availability_constant","capacity_e_abs_new_max","lifetime","capacity_e_inst_0","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_chemical_echem_0",1.0,0.92,95.0,0.0,30.0,59.5,"{}","v1","{}","{}","{}"
2,"DE",2024,"ind_chemical_echem_0",1.0,0.92,95.0,0.0,30.0,53.3448,"{}","v1","{}","{}","{}"
3,"DE",2027,"ind_chemical_echem_0",1.0,0.92,95.0,0.0,30.0,47.1897,"{}","v1","{}","{}","{}"
4,"DE",2030,"ind_chemical_echem_0",1.0,0.92,95.0,0.0,30.0,41.0345,"{}","v1","{}","{}","{}"
5,"DE",2035,"ind_chemical_echem_0",1.0,0.92,95.0,0.0,30.0,30.7759,"{}","v1","{}","{}","{}"
6,"DE",2040,"ind_chemical_echem_0",1.0,0.92,95.0,0.0,30.0,20.5172,"{}","v1","{}","{}","{}"
7,"DE",2045,"ind_chemical_echem_0",1.0,0.92,95.0,0.0,30.0,10.2586,"{}","v1","{}","{}","{}"
8,"DE",2050,"ind_chemical_echem_0",1.0,0.92,95.0,0.0,30.0,0.0,"{}","v1","{}","{}","{}"
9,"DE",2060,"ind_chemical_echem_0",1.0,0.92,95.0,0.0,30.0,0.0,"{}","v1","{}","{}","{}"
10,"DE",2070,"ind_chemical_echem_0",1.0,0.92,95.0,0.0,30.0,0.0,"{}","v1","{}","{}","{}"
