"id","region","year","type","conversion_factor_iip_chemi_machine_drive","conversion_factor_sec_elec_ind","availability_constant","capacity_e_abs_new_max","lifetime","capacity_e_inst_0","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_chemical_mdrive_0",1.0,1.03,100.0,0.0,30.0,63.048,"{}","v1","{}","{}","{}"
2,"DE",2024,"ind_chemical_mdrive_0",1.0,1.03,100.0,0.0,30.0,56.5258,"{}","v1","{}","{}","{}"
3,"DE",2027,"ind_chemical_mdrive_0",1.0,1.03,100.0,0.0,30.0,50.0036,"{}","v1","{}","{}","{}"
4,"DE",2030,"ind_chemical_mdrive_0",1.0,1.03,100.0,0.0,30.0,43.4814,"{}","v1","{}","{}","{}"
5,"DE",2035,"ind_chemical_mdrive_0",1.0,1.03,100.0,0.0,30.0,32.611,"{}","v1","{}","{}","{}"
6,"DE",2040,"ind_chemical_mdrive_0",1.0,1.03,100.0,0.0,30.0,21.7407,"{}","v1","{}","{}","{}"
7,"DE",2045,"ind_chemical_mdrive_0",1.0,1.03,100.0,0.0,30.0,10.8703,"{}","v1","{}","{}","{}"
8,"DE",2050,"ind_chemical_mdrive_0",1.0,1.03,100.0,0.0,30.0,0.0,"{}","v1","{}","{}","{}"
9,"DE",2060,"ind_chemical_mdrive_0",1.0,1.03,100.0,0.0,30.0,0.0,"{}","v1","{}","{}","{}"
10,"DE",2070,"ind_chemical_mdrive_0",1.0,1.03,100.0,0.0,30.0,0.0,"{}","v1","{}","{}","{}"
