"id","region","year","type","conversion_factor_exo_chemi_methanol","conversion_factor_sec_elec_ind","conversion_factor_iip_chemi_meoh_f_h2","capacity_w_abs_new_max","lifetime","capacity_w_inst_0","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_chemical_methanol_msynth_0",1.0,5.4,22.7,0.0,20.0,1.1,"{}","v1","{}","{}","{}"
2,"DE",2024,"ind_chemical_methanol_msynth_0",1.0,5.4,22.7,0.0,20.0,0.8643,"{}","v1","{}","{}","{}"
3,"DE",2027,"ind_chemical_methanol_msynth_0",1.0,5.4,22.7,0.0,20.0,0.6286,"{}","v1","{}","{}","{}"
4,"DE",2030,"ind_chemical_methanol_msynth_0",1.0,5.4,22.7,0.0,20.0,0.3929,"{}","v1","{}","{}","{}"
5,"DE",2035,"ind_chemical_methanol_msynth_0",1.0,5.4,22.7,0.0,20.0,0.0,"{}","v1","{}","{}","{}"
6,"DE",2040,"ind_chemical_methanol_msynth_0",1.0,5.4,22.7,0.0,20.0,0.0,"{}","v1","{}","{}","{}"
7,"DE",2045,"ind_chemical_methanol_msynth_0",1.0,5.4,22.7,0.0,20.0,0.0,"{}","v1","{}","{}","{}"
8,"DE",2050,"ind_chemical_methanol_msynth_0",1.0,5.4,22.7,0.0,20.0,0.0,"{}","v1","{}","{}","{}"
9,"DE",2060,"ind_chemical_methanol_msynth_0",1.0,5.4,22.7,0.0,20.0,0.0,"{}","v1","{}","{}","{}"
10,"DE",2070,"ind_chemical_methanol_msynth_0",1.0,5.4,22.7,0.0,20.0,0.0,"{}","v1","{}","{}","{}"
