"id","region","year","type","conversion_factor_iip_chemi_meoh_f_h2","conversion_factor_sec_elec_ind","conversion_factor_iip_chemi_heavy_fuel_oil","ef_iip_chemi_meoh_f_h2_emi_co2_p_ind","capacity_p_abs_new_max","lifetime","capacity_p_inst_0","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_chemical_methanol_pox_0",1.0,0.063,1.3,40.91,0.0,25.0,0.4751,"{}","v1","{}","{}","{}"
2,"DE",2024,"ind_chemical_methanol_pox_0",1.0,0.063,1.3,40.91,0.0,25.0,0.4001,"{}","v1","{}","{}","{}"
3,"DE",2027,"ind_chemical_methanol_pox_0",1.0,0.063,1.3,40.91,0.0,25.0,0.3251,"{}","v1","{}","{}","{}"
4,"DE",2030,"ind_chemical_methanol_pox_0",1.0,0.063,1.3,40.91,0.0,25.0,0.2501,"{}","v1","{}","{}","{}"
5,"DE",2035,"ind_chemical_methanol_pox_0",1.0,0.063,1.3,40.91,0.0,25.0,0.125,"{}","v1","{}","{}","{}"
6,"DE",2040,"ind_chemical_methanol_pox_0",1.0,0.063,1.3,40.91,0.0,25.0,0.0,"{}","v1","{}","{}","{}"
7,"DE",2045,"ind_chemical_methanol_pox_0",1.0,0.063,1.3,40.91,0.0,25.0,0.0,"{}","v1","{}","{}","{}"
8,"DE",2050,"ind_chemical_methanol_pox_0",1.0,0.063,1.3,40.91,0.0,25.0,0.0,"{}","v1","{}","{}","{}"
9,"DE",2060,"ind_chemical_methanol_pox_0",1.0,0.063,1.3,40.91,0.0,25.0,0.0,"{}","v1","{}","{}","{}"
10,"DE",2070,"ind_chemical_methanol_pox_0",1.0,0.063,1.3,40.91,0.0,25.0,0.0,"{}","v1","{}","{}","{}"
