"id","region","year","type","conversion_factor_iip_chemi_nh3_h2","cost_var_e","conversion_factor_sec_elec_ind","conversion_factor_iip_chemi_methane","availability_constant","capacity_p_abs_new_max","cost_inv_p","cost_fix_p","lifetime","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_chemical_nh3_mpyr_1","","","","","",0.0,"","","","{}","v1","{}","{}","{}"
2,"DE",2024,"ind_chemical_nh3_mpyr_1","","","","","",0.0,"","","","{}","v1","{}","{}","{}"
3,"DE",2027,"ind_chemical_nh3_mpyr_1","","","","","",0.0,"","","","{}","v1","{}","{}","{}"
4,"DE",2030,"ind_chemical_nh3_mpyr_1",1.0,1.21212,0.537,1.902,90.0,"",655.2,13.104,20.0,"{}","v1","{}","{}","{}"
5,"DE",2035,"ind_chemical_nh3_mpyr_1",1.0,"",0.537,1.902,90.0,"",655.2,13.104,20.0,"{}","v1","{}","{}","{}"
6,"DE",2040,"ind_chemical_nh3_mpyr_1",1.0,1.092,0.537,1.902,90.0,"",655.2,12.012,20.0,"{}","v1","{}","{}","{}"
7,"DE",2045,"ind_chemical_nh3_mpyr_1",1.0,"",0.537,1.902,90.0,"",655.2,12.012,20.0,"{}","v1","{}","{}","{}"
8,"DE",2050,"ind_chemical_nh3_mpyr_1",1.0,0.9828,0.537,1.902,90.0,"",546.0,10.5924,20.0,"{}","v1","{}","{}","{}"
9,"DE",2060,"ind_chemical_nh3_mpyr_1",1.0,0.9828,0.537,1.902,90.0,"",546.0,10.5924,20.0,"{}","v1","{}","{}","{}"
10,"DE",2070,"ind_chemical_nh3_mpyr_1",1.0,0.9828,0.537,1.902,90.0,"",546.0,10.5924,20.0,"{}","v1","{}","{}","{}"
