"id","region","year","type","conversion_factor_iip_chemi_processes_others","conversion_factor_pri_biomass_stemwood","ef_pri_biomass_stemwood_emi_ch4_f_ind","ef_pri_biomass_stemwood_emi_co2_f_ind","ef_pri_biomass_stemwood_emi_n2o_f_ind","availability_constant","capacity_e_abs_new_max","lifetime","capacity_e_inst_0","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_chemical_processes_others_bio_0",1.0,1.42857143,0.00223,"global_emission_factors.pri_biomass_stemwood_co2",0.003,100.0,0.0,30.0,3.883,"{}","v1","{}","{}","{}"
2,"DE",2024,"ind_chemical_processes_others_bio_0",1.0,1.42857143,0.00223,"global_emission_factors.pri_biomass_stemwood_co2",0.003,100.0,0.0,30.0,3.4813,"{}","v1","{}","{}","{}"
3,"DE",2027,"ind_chemical_processes_others_bio_0",1.0,1.42857143,0.00223,"global_emission_factors.pri_biomass_stemwood_co2",0.003,100.0,0.0,30.0,3.0796,"{}","v1","{}","{}","{}"
4,"DE",2030,"ind_chemical_processes_others_bio_0",1.0,1.42857143,0.00223,"global_emission_factors.pri_biomass_stemwood_co2",0.003,100.0,0.0,30.0,2.6779,"{}","v1","{}","{}","{}"
5,"DE",2035,"ind_chemical_processes_others_bio_0",1.0,1.42857143,0.00223,"global_emission_factors.pri_biomass_stemwood_co2",0.003,100.0,0.0,30.0,2.0084,"{}","v1","{}","{}","{}"
6,"DE",2040,"ind_chemical_processes_others_bio_0",1.0,1.42857143,0.00223,"global_emission_factors.pri_biomass_stemwood_co2",0.003,100.0,0.0,30.0,1.339,"{}","v1","{}","{}","{}"
7,"DE",2045,"ind_chemical_processes_others_bio_0",1.0,1.42857143,0.00223,"global_emission_factors.pri_biomass_stemwood_co2",0.003,100.0,0.0,30.0,0.6695,"{}","v1","{}","{}","{}"
8,"DE",2050,"ind_chemical_processes_others_bio_0",1.0,1.42857143,0.00223,"global_emission_factors.pri_biomass_stemwood_co2",0.003,100.0,0.0,30.0,0.0,"{}","v1","{}","{}","{}"
9,"DE",2060,"ind_chemical_processes_others_bio_0",1.0,1.42857143,0.00223,"global_emission_factors.pri_biomass_stemwood_co2",0.003,100.0,0.0,30.0,0.0,"{}","v1","{}","{}","{}"
10,"DE",2070,"ind_chemical_processes_others_bio_0",1.0,1.42857143,0.00223,"global_emission_factors.pri_biomass_stemwood_co2",0.003,100.0,0.0,30.0,0.0,"{}","v1","{}","{}","{}"
