"id","region","year","type","conversion_factor_iip_chemi_steam","ef_sec_methane_emi_ch4_f_ind","ef_sec_methane_emi_co2_f_ind","ef_sec_methane_emi_n2o_f_ind","flow_share_max_sec_hydrogen","availability_constant","capacity_p_abs_new_max","lifetime","capacity_p_inst_0","conversion_factor_sec_methane","conversion_factor_sec_hydrogen","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_chemical_steam_gas_0",1.0,0.002,"global_emission_factors.sec_methane_co2",0.0005,0.0,65.0,0.0,30.0,0.2891,1.25,1.25,"{}","v1","{}","{}","{}"
2,"DE",2024,"ind_chemical_steam_gas_0",1.0,0.002,"global_emission_factors.sec_methane_co2",0.0005,0.0,65.0,0.0,30.0,0.2592,1.25,1.25,"{}","v1","{}","{}","{}"
3,"DE",2027,"ind_chemical_steam_gas_0",1.0,0.002,"global_emission_factors.sec_methane_co2",0.0005,0.0,65.0,0.0,30.0,0.2293,1.25,1.25,"{}","v1","{}","{}","{}"
4,"DE",2030,"ind_chemical_steam_gas_0",1.0,0.002,"global_emission_factors.sec_methane_co2",0.0005,20.0,65.0,0.0,30.0,0.1994,1.25,1.25,"{}","v1","{}","{}","{}"
5,"DE",2035,"ind_chemical_steam_gas_0",1.0,0.002,"global_emission_factors.sec_methane_co2",0.0005,20.0,65.0,0.0,30.0,0.1495,1.25,1.25,"{}","v1","{}","{}","{}"
6,"DE",2040,"ind_chemical_steam_gas_0",1.0,0.002,"global_emission_factors.sec_methane_co2",0.0005,20.0,65.0,0.0,30.0,0.0997,1.25,1.25,"{}","v1","{}","{}","{}"
7,"DE",2045,"ind_chemical_steam_gas_0",1.0,0.002,"global_emission_factors.sec_methane_co2",0.0005,20.0,65.0,0.0,30.0,0.0498,1.25,1.25,"{}","v1","{}","{}","{}"
8,"DE",2050,"ind_chemical_steam_gas_0",1.0,0.002,"global_emission_factors.sec_methane_co2",0.0005,20.0,65.0,0.0,30.0,0.0,1.25,1.25,"{}","v1","{}","{}","{}"
9,"DE",2060,"ind_chemical_steam_gas_0",1.0,0.002,"global_emission_factors.sec_methane_co2",0.0005,20.0,65.0,0.0,30.0,0.0,1.25,1.25,"{}","v1","{}","{}","{}"
10,"DE",2070,"ind_chemical_steam_gas_0",1.0,0.002,"global_emission_factors.sec_methane_co2",0.0005,20.0,65.0,0.0,30.0,0.0,1.25,1.25,"{}","v1","{}","{}","{}"
