"id","region","year","type","conversion_factor_iip_chemi_steam","ef_sec_methane_emi_ch4_f_ind","ef_sec_methane_emi_co2_f_ind","ef_sec_methane_emi_n2o_f_ind","flow_share_max_sec_hydrogen","availability_constant","capacity_p_abs_new_max","cost_inv_p","cost_fix_p","lifetime","conversion_factor_sec_methane","conversion_factor_sec_hydrogen","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_chemical_steam_gas_1","","","","","","",0.0,"","","","","","{}","v1","{}","{}","{}"
2,"DE",2024,"ind_chemical_steam_gas_1",1.0,0.002,"global_emission_factors.sec_methane_co2",0.0005,0.0,85.0,"",200.928,13.7749248,"",1.11111111,1.11111111,"{}","v1","{}","{}","{}"
3,"DE",2027,"ind_chemical_steam_gas_1",1.0,0.002,"global_emission_factors.sec_methane_co2",0.0005,0.0,85.0,"",200.928,13.7749248,"",1.05555556,1.05555556,"{}","v1","{}","{}","{}"
4,"DE",2030,"ind_chemical_steam_gas_1",1.0,0.002,"global_emission_factors.sec_methane_co2",0.0005,20.0,85.0,"",200.928,13.7749248,"",1.0,1.0,"{}","v1","{}","{}","{}"
5,"DE",2035,"ind_chemical_steam_gas_1",1.0,0.002,"global_emission_factors.sec_methane_co2",0.0005,20.0,85.0,"",200.928,13.7749248,"",0.972222219999999,0.972222219999999,"{}","v1","{}","{}","{}"
6,"DE",2040,"ind_chemical_steam_gas_1",1.0,0.002,"global_emission_factors.sec_methane_co2",0.0005,20.0,85.0,"",200.928,13.7749248,"",0.9444000000000036,0.9444000000000036,"{}","v1","{}","{}","{}"
7,"DE",2045,"ind_chemical_steam_gas_1",1.0,0.002,"global_emission_factors.sec_methane_co2",0.0005,20.0,85.0,"",200.928,13.7749248,"",0.9166999999999961,0.9166999999999961,"{}","v1","{}","{}","{}"
8,"DE",2050,"ind_chemical_steam_gas_1",1.0,0.002,"global_emission_factors.sec_methane_co2",0.0005,20.0,85.0,"",200.928,13.7749248,"",0.8888999999999992,0.8888999999999992,"{}","v1","{}","{}","{}"
9,"DE",2060,"ind_chemical_steam_gas_1",1.0,0.002,"global_emission_factors.sec_methane_co2",0.0005,20.0,85.0,"",200.928,13.7749248,"",0.8888999999999992,0.8888999999999992,"{}","v1","{}","{}","{}"
10,"DE",2070,"ind_chemical_steam_gas_1",1.0,0.002,"global_emission_factors.sec_methane_co2",0.0005,20.0,85.0,"",200.928,13.7749248,"",0.8888999999999992,0.8888999999999992,"{}","v1","{}","{}","{}"
