"id","region","year","type","conversion_factor_exo_copper","conversion_factor_sec_waste_heat_high_copper","conversion_factor_sec_elec_ind","conversion_factor_sec_heavy_fuel_oil","conversion_factor_sec_lpg","conversion_factor_iip_copper_scrap","conversion_factor_iip_copper_crude","ef_sec_heavy_fuel_oil_emi_ch4_f_ind","ef_sec_lpg_emi_ch4_f_ind","ef_sec_heavy_fuel_oil_emi_co2_f_ind","ef_sec_lpg_emi_co2_f_ind","ef_sec_heavy_fuel_oil_emi_n2o_f_ind","ef_sec_lpg_emi_n2o_f_ind","capacity_w_abs_new_max","cost_inv_w","cost_fix_w","lifetime","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_copper_fin_1","","","","","","","","","","","","","",0.0,"","","","{}","v1","{}","{}","{}"
2,"DE",2024,"ind_copper_fin_1",1.0,4.7,3.22,1.0,0.3,0.04,1.04,0.0044,0.0044,"global_emission_factors.sec_heavy_fuel_oil_co2","global_emission_factors.sec_lpg_co2",0.0042,0.0042,"",642.0,145.4545,30.0,"{}","v1","{}","{}","{}"
3,"DE",2027,"ind_copper_fin_1",1.0,4.7,3.22,1.0,0.3,0.04,1.04,0.0044,0.0044,"global_emission_factors.sec_heavy_fuel_oil_co2","global_emission_factors.sec_lpg_co2",0.0042,0.0042,"",642.0,145.4545,30.0,"{}","v1","{}","{}","{}"
4,"DE",2030,"ind_copper_fin_1",1.0,4.7,3.22,1.0,0.3,0.04,1.04,0.0044,0.0044,"global_emission_factors.sec_heavy_fuel_oil_co2","global_emission_factors.sec_lpg_co2",0.0042,0.0042,"",642.0,145.4545,30.0,"{}","v1","{}","{}","{}"
5,"DE",2035,"ind_copper_fin_1",1.0,4.7,3.22,1.0,0.3,0.04,1.04,0.0044,0.0044,"global_emission_factors.sec_heavy_fuel_oil_co2","global_emission_factors.sec_lpg_co2",0.0042,0.0042,"",642.0,145.4545,30.0,"{}","v1","{}","{}","{}"
6,"DE",2040,"ind_copper_fin_1",1.0,4.7,3.22,1.0,0.3,0.04,1.04,0.0044,0.0044,"global_emission_factors.sec_heavy_fuel_oil_co2","global_emission_factors.sec_lpg_co2",0.0042,0.0042,"",642.0,145.4545,30.0,"{}","v1","{}","{}","{}"
7,"DE",2045,"ind_copper_fin_1",1.0,4.7,3.22,1.0,0.3,0.04,1.04,0.0044,0.0044,"global_emission_factors.sec_heavy_fuel_oil_co2","global_emission_factors.sec_lpg_co2",0.0042,0.0042,"",642.0,145.4545,30.0,"{}","v1","{}","{}","{}"
8,"DE",2050,"ind_copper_fin_1",1.0,4.7,3.22,1.0,0.3,0.04,1.04,0.0044,0.0044,"global_emission_factors.sec_heavy_fuel_oil_co2","global_emission_factors.sec_lpg_co2",0.0042,0.0042,"",642.0,145.4545,30.0,"{}","v1","{}","{}","{}"
9,"DE",2060,"ind_copper_fin_1",1.0,4.7,3.22,1.0,0.3,0.04,1.04,0.0044,0.0044,"global_emission_factors.sec_heavy_fuel_oil_co2","global_emission_factors.sec_lpg_co2",0.0042,0.0042,"",642.0,145.4545,30.0,"{}","v1","{}","{}","{}"
10,"DE",2070,"ind_copper_fin_1",1.0,4.7,3.22,1.0,0.3,0.04,1.04,0.0044,0.0044,"global_emission_factors.sec_heavy_fuel_oil_co2","global_emission_factors.sec_lpg_co2",0.0042,0.0042,"",642.0,145.4545,30.0,"{}","v1","{}","{}","{}"
