"id","region","year","type","conversion_factor_iip_glass_cont_melt","conversion_factor_sec_waste_heat_high_glass","conversion_factor_sec_elec_ind","conversion_factor_sec_heavy_fuel_oil","conversion_factor_iip_glass_cont_batch","ef_sec_methane_emi_ch4_f_ind","ef_sec_heavy_fuel_oil_emi_ch4_f_ind","ef_sec_methane_emi_co2_f_ind","ef_sec_heavy_fuel_oil_emi_co2_f_ind","ef_sec_methane_emi_n2o_f_ind","ef_sec_heavy_fuel_oil_emi_n2o_f_ind","flow_share_fix_sec_methane","flow_share_max_sec_hydrogen","capacity_w_abs_new_max","lifetime","capacity_w_inst_0","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_glass_cont_rege_0",1.0,1.85,1.3945,0.2913,1.0,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0006,0.0042,100.0,0.0,0.0,30.0,4.0,"{}","v1","{}","{}","{}"
2,"DE",2024,"ind_glass_cont_rege_0",1.0,1.85,1.3945,0.2913,1.0,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0006,0.0042,"",0.0,0.0,30.0,3.7037,"{}","v1","{}","{}","{}"
3,"DE",2027,"ind_glass_cont_rege_0",1.0,1.85,1.3945,0.2913,1.0,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0006,0.0042,"",0.0,0.0,30.0,2.963,"{}","v1","{}","{}","{}"
4,"DE",2030,"ind_glass_cont_rege_0",1.0,1.85,1.3945,0.2913,1.0,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0006,0.0042,"",0.0,0.0,30.0,2.2222,"{}","v1","{}","{}","{}"
5,"DE",2035,"ind_glass_cont_rege_0",1.0,1.85,1.3945,0.2913,1.0,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0006,0.0042,"",20.0,0.0,30.0,1.4815,"{}","v1","{}","{}","{}"
6,"DE",2040,"ind_glass_cont_rege_0",1.0,1.85,1.3945,0.2913,1.0,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0006,0.0042,"",20.0,0.0,30.0,0.7407,"{}","v1","{}","{}","{}"
7,"DE",2045,"ind_glass_cont_rege_0",1.0,1.85,1.3945,0.2913,1.0,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0006,0.0042,"",20.0,0.0,30.0,0.0,"{}","v1","{}","{}","{}"
8,"DE",2050,"ind_glass_cont_rege_0",1.0,1.85,1.3945,0.2913,1.0,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0006,0.0042,"",20.0,0.0,30.0,0.0,"{}","v1","{}","{}","{}"
9,"DE",2060,"ind_glass_cont_rege_0",1.0,1.85,1.3945,0.2913,1.0,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0006,0.0042,"",20.0,0.0,30.0,0.0,"{}","v1","{}","{}","{}"
10,"DE",2070,"ind_glass_cont_rege_0",1.0,1.85,1.3945,0.2913,1.0,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0006,0.0042,"",20.0,0.0,30.0,0.0,"{}","v1","{}","{}","{}"
