"id","region","year","type","conversion_factor_iip_glass_flat_form","conversion_factor_sec_elec_ind","conversion_factor_iip_glass_flat_melt","capacity_w_abs_new_max","lifetime","capacity_w_inst_0","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_glass_flat_forming_0",1.0,0.13,1.0,0.0,30.0,2.4,"{}","v1","{}","{}","{}"
2,"DE",2024,"ind_glass_flat_forming_0",1.0,0.13,1.0,0.0,30.0,9.6296,"{}","v1","{}","{}","{}"
3,"DE",2027,"ind_glass_flat_forming_0",1.0,0.13,1.0,0.0,30.0,27.7037,"{}","v1","{}","{}","{}"
4,"DE",2030,"ind_glass_flat_forming_0",1.0,0.13,1.0,0.0,30.0,45.7778,"{}","v1","{}","{}","{}"
5,"DE",2035,"ind_glass_flat_forming_0",1.0,0.13,1.0,0.0,30.0,63.8519,"{}","v1","{}","{}","{}"
6,"DE",2040,"ind_glass_flat_forming_0",1.0,0.13,1.0,0.0,30.0,81.9259,"{}","v1","{}","{}","{}"
7,"DE",2045,"ind_glass_flat_forming_0",1.0,0.13,1.0,0.0,30.0,100.0,"{}","v1","{}","{}","{}"
8,"DE",2050,"ind_glass_flat_forming_0",1.0,0.13,1.0,0.0,30.0,100.0,"{}","v1","{}","{}","{}"
9,"DE",2060,"ind_glass_flat_forming_0",1.0,0.13,1.0,0.0,30.0,100.0,"{}","v1","{}","{}","{}"
10,"DE",2070,"ind_glass_flat_forming_0",1.0,0.13,1.0,0.0,30.0,100.0,"{}","v1","{}","{}","{}"
