"id","region","year","type","conversion_factor_iip_paper_pulp","conversion_factor_iip_black_liquor","conversion_factor_sec_elec_ind","conversion_factor_sec_heat_district_high_ind","capacity_w_abs_new_max","lifetime","capacity_w_inst_0","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_paper_chem_pulp_0",1.0,10.0,2.3,8.307,0.0,30.0,2.6004,"{}","v1","{}","{}","{}"
2,"DE",2024,"ind_paper_chem_pulp_0",1.0,10.0,2.3,8.307,0.0,30.0,2.4078,"{}","v1","{}","{}","{}"
3,"DE",2027,"ind_paper_chem_pulp_0",1.0,10.0,2.3,8.307,0.0,30.0,1.9262,"{}","v1","{}","{}","{}"
4,"DE",2030,"ind_paper_chem_pulp_0",1.0,10.0,2.3,8.307,0.0,30.0,1.4447,"{}","v1","{}","{}","{}"
5,"DE",2035,"ind_paper_chem_pulp_0",1.0,10.0,2.3,8.307,0.0,30.0,0.9631,"{}","v1","{}","{}","{}"
6,"DE",2040,"ind_paper_chem_pulp_0",1.0,10.0,2.3,8.307,0.0,30.0,0.4816,"{}","v1","{}","{}","{}"
7,"DE",2045,"ind_paper_chem_pulp_0",1.0,10.0,2.3,8.307,0.0,30.0,0.0,"{}","v1","{}","{}","{}"
8,"DE",2050,"ind_paper_chem_pulp_0",1.0,10.0,2.3,8.307,0.0,30.0,0.0,"{}","v1","{}","{}","{}"
9,"DE",2060,"ind_paper_chem_pulp_0",1.0,10.0,2.3,8.307,0.0,30.0,0.0,"{}","v1","{}","{}","{}"
10,"DE",2070,"ind_paper_chem_pulp_0",1.0,10.0,2.3,8.307,0.0,30.0,0.0,"{}","v1","{}","{}","{}"
