"id","region","year","type","conversion_factor_iip_steel_scrap","capacity_w_inst_0","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_source_steel_scrap_iron",1.0,20.0,"{}","v1","{}","{}","{}"
2,"DE",2024,"ind_source_steel_scrap_iron",1.0,20.0,"{}","v1","{}","{}","{}"
3,"DE",2027,"ind_source_steel_scrap_iron",1.0,20.0,"{}","v1","{}","{}","{}"
4,"DE",2030,"ind_source_steel_scrap_iron",1.0,20.0,"{}","v1","{}","{}","{}"
5,"DE",2035,"ind_source_steel_scrap_iron",1.0,20.0,"{}","v1","{}","{}","{}"
6,"DE",2040,"ind_source_steel_scrap_iron",1.0,20.0,"{}","v1","{}","{}","{}"
7,"DE",2045,"ind_source_steel_scrap_iron",1.0,20.0,"{}","v1","{}","{}","{}"
8,"DE",2050,"ind_source_steel_scrap_iron",1.0,20.0,"{}","v1","{}","{}","{}"
9,"DE",2060,"ind_source_steel_scrap_iron",1.0,20.0,"{}","v1","{}","{}","{}"
10,"DE",2070,"ind_source_steel_scrap_iron",1.0,20.0,"{}","v1","{}","{}","{}"
