"id","region","year","type","conversion_factor_iip_steel_raw_iron","conversion_factor_sec_waste_heat_high_steel","conversion_factor_pri_coal","conversion_factor_iip_coke","conversion_factor_sec_elec_ind","conversion_factor_sec_heavy_fuel_oil","conversion_factor_iip_steel_blafu_slag","conversion_factor_iip_steel_sinter","ef_pri_coal_emi_ch4_f_ind","ef_iip_coke_emi_ch4_f_ind","ef_sec_methane_emi_ch4_f_ind","ef_sec_heavy_fuel_oil_emi_ch4_f_ind","ef_pri_coal_emi_co2_f_ind","ef_iip_coke_emi_co2_f_ind","ef_sec_methane_emi_co2_f_ind","ef_sec_heavy_fuel_oil_emi_co2_f_ind","ef_pri_coal_emi_n2o_f_ind","ef_iip_coke_emi_n2o_f_ind","ef_sec_methane_emi_n2o_f_ind","ef_sec_heavy_fuel_oil_emi_n2o_f_ind","flow_share_max_sec_hydrogen","capacity_w_abs_new_max","lifetime","capacity_w_inst_0","conversion_factor_sec_methane","conversion_factor_sec_hydrogen","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_steel_blafu_0",1.0,2.0,4.7396,3.1158,0.6854,0.3714,0.25,0.9415,0.0039,0.0039,0.0092,0.0044,"global_emission_factors.pri_coal_co2","global_emission_factors.iip_coke_co2","global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0036,0.0003,0.0006,0.0042,0.0,0.0,30.0,31.462,0.23129999999999998,0.23129999999999998,"{}","v1","{}","{}","{}"
2,"DE",2024,"ind_steel_blafu_0",1.0,2.0,4.7396,3.1158,0.6854,0.3714,0.25,0.9415,0.0039,0.0039,0.0092,0.0044,"global_emission_factors.pri_coal_co2","global_emission_factors.iip_coke_co2","global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0036,0.0003,0.0006,0.0042,0.0,0.0,30.0,27.85267695,0.23129999999999998,0.23129999999999998,"{}","v1","{}","{}","{}"
3,"DE",2027,"ind_steel_blafu_0",1.0,2.0,4.7396,3.1158,0.6854,0.3714,0.25,0.9415,0.0039,0.0039,0.0092,0.0044,"global_emission_factors.pri_coal_co2","global_emission_factors.iip_coke_co2","global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0036,0.0003,0.0006,0.0042,0.0,0.0,30.0,22.28219805,0.23129999999999998,0.23129999999999998,"{}","v1","{}","{}","{}"
4,"DE",2030,"ind_steel_blafu_0",1.0,2.0,4.7396,3.1158,0.6854,0.3714,0.25,0.9415,0.0039,0.0039,0.0092,0.0044,"global_emission_factors.pri_coal_co2","global_emission_factors.iip_coke_co2","global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0036,0.0003,0.0006,0.0042,50.0,0.0,30.0,16.7116485375,0.23129999999999998,0.23129999999999998,"{}","v1","{}","{}","{}"
5,"DE",2035,"ind_steel_blafu_0",1.0,2.0,4.7396,3.1158,0.6854,0.3714,0.25,0.9415,0.0039,0.0039,0.0092,0.0044,"global_emission_factors.pri_coal_co2","global_emission_factors.iip_coke_co2","global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0036,0.0003,0.0006,0.0042,100.0,0.0,30.0,11.141099025,0.23129999999999998,0.23129999999999998,"{}","v1","{}","{}","{}"
6,"DE",2040,"ind_steel_blafu_0",1.0,2.0,4.7396,3.1158,0.6854,0.3714,0.25,0.9415,0.0039,0.0039,0.0092,0.0044,"global_emission_factors.pri_coal_co2","global_emission_factors.iip_coke_co2","global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0036,0.0003,0.0006,0.0042,100.0,0.0,30.0,5.5705495125,0.23129999999999998,0.23129999999999998,"{}","v1","{}","{}","{}"
7,"DE",2045,"ind_steel_blafu_0",1.0,2.0,4.7396,3.1158,0.6854,0.3714,0.25,0.9415,0.0039,0.0039,0.0092,0.0044,"global_emission_factors.pri_coal_co2","global_emission_factors.iip_coke_co2","global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0036,0.0003,0.0006,0.0042,100.0,0.0,30.0,0.0,0.23129999999999998,0.23129999999999998,"{}","v1","{}","{}","{}"
8,"DE",2050,"ind_steel_blafu_0",1.0,2.0,4.7396,3.1158,0.6854,0.3714,0.25,0.9415,0.0039,0.0039,0.0092,0.0044,"global_emission_factors.pri_coal_co2","global_emission_factors.iip_coke_co2","global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0036,0.0003,0.0006,0.0042,100.0,0.0,30.0,0.0,0.23129999999999998,0.23129999999999998,"{}","v1","{}","{}","{}"
9,"DE",2060,"ind_steel_blafu_0",1.0,2.0,4.7396,3.1158,0.6854,0.3714,0.25,0.9415,0.0039,0.0039,0.0092,0.0044,"global_emission_factors.pri_coal_co2","global_emission_factors.iip_coke_co2","global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0036,0.0003,0.0006,0.0042,100.0,0.0,30.0,0.0,0.23129999999999998,0.23129999999999998,"{}","v1","{}","{}","{}"
10,"DE",2070,"ind_steel_blafu_0",1.0,2.0,4.7396,3.1158,0.6854,0.3714,0.25,0.9415,0.0039,0.0039,0.0092,0.0044,"global_emission_factors.pri_coal_co2","global_emission_factors.iip_coke_co2","global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0036,0.0003,0.0006,0.0042,100.0,0.0,30.0,0.0,0.23129999999999998,0.23129999999999998,"{}","v1","{}","{}","{}"
