"id","region","year","type","cost_var","availability_constant_fix","cost_fix_capacity_w","cost_inv_capacity_w","conversion_factor_iip_heat_proc","conversion_factor_iip_steel_crudesteel","conversion_factor_sec_elec_ind","emissions_factor_sec_methane_ch4","emissions_factor_sec_methane_co2","emissions_factor_sec_methane_n2o","flow_share_sec_hydrogen_max","lifetime","conversion_factor_sec_methane","conversion_factor_sec_hydrogen","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_steel_casting_1",10.0,0.9,50.0,200.0,0.345,1.0,0.7749,"global_emission_factors.sec_methane_ch4","global_emission_factors.sec_methane_co2","global_emission_factors.sec_methane_n2o",0.0,20.0,1.5774,1.5774,"{'todo': 'due'}","v2","{'conversion_factor': 'todo'}","{'capacity_w_resid': 'todo'}","{'emission factor': 'example_todo'}"
2,"DE",2024,"ind_steel_casting_1",10.0,0.9,50.0,200.0,0.345,1.0,0.7749,"global_emission_factors.sec_methane_ch4","global_emission_factors.sec_methane_co2","global_emission_factors.sec_methane_n2o",0.0,20.0,1.5774,1.5774,"{'todo': 'due'}","v1","{'conversion_factor': 'todo'}","{'capacity_w_resid': 'todo'}","{'emission factor': 'example_todo'}"
3,"DE",2027,"ind_steel_casting_1",10.0,0.9,50.0,200.0,0.345,1.0,0.7749,"global_emission_factors.sec_methane_ch4","global_emission_factors.sec_methane_co2","global_emission_factors.sec_methane_n2o",0.0,20.0,1.5774,1.5774,"{'todo': 'due'}","v1","{'conversion_factor': 'todo'}","{'capacity_w_resid': 'todo'}","{'emission factor': 'example_todo'}"
4,"DE",2030,"ind_steel_casting_1",10.0,0.9,50.0,200.0,0.345,1.0,0.7749,"global_emission_factors.sec_methane_ch4","global_emission_factors.sec_methane_co2","global_emission_factors.sec_methane_n2o",0.5,20.0,1.5774,1.5774,"{'todo': 'due'}","v1","{'conversion_factor': 'todo'}","{'capacity_w_resid': 'todo'}","{'emission factor': 'example_todo'}"
5,"DE",2035,"ind_steel_casting_1",10.0,0.9,50.0,200.0,0.345,1.0,0.7749,"global_emission_factors.sec_methane_ch4","global_emission_factors.sec_methane_co2","global_emission_factors.sec_methane_n2o",1.0,20.0,1.5774,1.5774,"{'todo': 'due'}","v1","{'conversion_factor': 'todo'}","{'capacity_w_resid': 'todo'}","{'emission factor': 'example_todo'}"
6,"DE",2040,"ind_steel_casting_1",10.0,0.9,50.0,200.0,0.345,1.0,0.7749,"global_emission_factors.sec_methane_ch4","global_emission_factors.sec_methane_co2","global_emission_factors.sec_methane_n2o",1.0,20.0,1.5774,1.5774,"{'todo': 'due'}","v1","{'conversion_factor': 'todo'}","{'capacity_w_resid': 'todo'}","{'emission factor': 'example_todo'}"
7,"DE",2045,"ind_steel_casting_1",10.0,0.9,50.0,200.0,0.345,1.0,0.7749,"global_emission_factors.sec_methane_ch4","global_emission_factors.sec_methane_co2","global_emission_factors.sec_methane_n2o",1.0,20.0,1.5774,1.5774,"{'todo': 'due'}","v1","{'conversion_factor': 'todo'}","{'capacity_w_resid': 'todo'}","{'emission factor': 'example_todo'}"
8,"DE",2050,"ind_steel_casting_1",10.0,0.9,50.0,200.0,0.345,1.0,0.7749,"global_emission_factors.sec_methane_ch4","global_emission_factors.sec_methane_co2","global_emission_factors.sec_methane_n2o",1.0,20.0,1.5774,1.5774,"{'todo': 'due'}","v1","{'conversion_factor': 'todo'}","{'capacity_w_resid': 'todo'}","{'emission factor': 'example_todo'}"
9,"DE",2060,"ind_steel_casting_1",10.0,0.9,50.0,200.0,0.345,1.0,0.7749,"global_emission_factors.sec_methane_ch4","global_emission_factors.sec_methane_co2","global_emission_factors.sec_methane_n2o",1.0,20.0,1.5774,1.5774,"{'todo': 'due'}","v1","{'conversion_factor': 'todo'}","{'capacity_w_resid': 'todo'}","{'emission factor': 'example_todo'}"
10,"DE",2070,"ind_steel_casting_1",10.0,0.9,50.0,200.0,0.345,1.0,0.7749,"global_emission_factors.sec_methane_ch4","global_emission_factors.sec_methane_co2","global_emission_factors.sec_methane_n2o",1.0,20.0,1.5774,1.5774,"{'todo': 'due'}","v1","{'conversion_factor': 'todo'}","{'capacity_w_resid': 'todo'}","{'emission factor': 'example_todo'}"
