"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_sec_methane","conversion_factor_sec_elec","conversion_factor_sec_heat_low","emi_co2_neg_fuel_cc_pow","ef_sec_methane_emi_co2_f_pow"
1,"global",2020,"pow_combustion_cc_chp_ccs_methane_1",0.0,100000.0,0.0,52756.8206374,1673767.99184,5.1288399592,1.8,0.15,5.4,3.6,54.0,25,"","v1","","","",2.20330607050622,1.0,0.555555555555556,"0.9","global_emission_factors.sec_methane"
2,"global",2021,"pow_combustion_cc_chp_ccs_methane_1",0.0,100000.0,0.0,51517.3147297,1625251.12825,5.10757250484,1.82,0.15,5.4,3.6,52.2,25,"","v1","","","",2.18814915083452,1.0,0.549450549450549,"0.9","global_emission_factors.sec_methane"
3,"global",2024,"pow_combustion_cc_chp_ccs_methane_1",0.0,100000.0,0.0,47798.7970066,1479700.53748,5.04377014176,1.88,0.15,5.4,3.6,46.8,25,"","v1","","","",2.14360520603545,1.0,0.531914893617021,"0.9","global_emission_factors.sec_methane"
4,"global",2027,"pow_combustion_cc_chp_ccs_methane_1",0.0,100000.0,0.0,44800.2792835,1377349.94671,4.97996777868,1.94,0.15,5.4,3.6,41.4,25,"","v1","","","",2.10201318975696,1.0,0.515463917525773,"0.9","global_emission_factors.sec_methane"
5,"global",2030,"pow_combustion_cc_chp_ccs_methane_1",0.0,100000.0,0.0,42161.7615604,1296599.35594,4.9161654156,2.0,0.15,5.4,3.6,36.0,25,"","v1","","","",2.06240084578052,1.0,0.5,"0.9","global_emission_factors.sec_methane"
6,"global",2035,"pow_combustion_cc_chp_ccs_methane_1",0.0,100000.0,0.0,41108.2438373,1272374.060555,4.8754967797,2.05,0.15,5.4,3.6,34.2,25,"","v1","","","",2.04227642263352,1.0,0.487804878048781,"0.9","global_emission_factors.sec_methane"
7,"global",2040,"pow_combustion_cc_chp_ccs_methane_1",0.0,100000.0,0.0,40004.7261142,1246648.76517,4.8348281438,2.1,0.15,5.4,3.6,32.4,25,"","v1","","","",2.0225294429758,1.0,0.476190476190476,"0.9","global_emission_factors.sec_methane"
8,"global",2045,"pow_combustion_cc_chp_ccs_methane_1",0.0,100000.0,0.0,39526.2083911,1229173.469785,4.7816595079,2.15,0.15,5.4,3.6,30.6,25,"","v1","","","",2.00314960721404,1.0,0.465116279069767,"0.9","global_emission_factors.sec_methane"
9,"global",2050,"pow_combustion_cc_chp_ccs_methane_1",0.0,100000.0,0.0,39047.690668,1211698.1744,4.728490872,2.2,0.15,5.4,3.6,28.8,25,"","v1","","","",1.98412698412698,1.0,0.454545454545455,"0.9","global_emission_factors.sec_methane"
10,"global",2060,"pow_combustion_cc_chp_ccs_methane_1",0.0,100000.0,0.0,39047.690668,1211698.1744,4.728490872,2.2,0.15,5.4,3.6,28.8,25,"","v1","","","",1.98412698412698,1.0,0.454545454545455,"0.9","global_emission_factors.sec_methane"
11,"global",2070,"pow_combustion_cc_chp_ccs_methane_1",0.0,100000.0,0.0,39047.690668,1211698.1744,4.728490872,2.2,0.15,5.4,3.6,28.8,25,"","v1","","","",1.98412698412698,1.0,0.454545454545455,"0.9","global_emission_factors.sec_methane"
12,"GB",2020,"pow_combustion_gt_chp_ccs_methane_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"0.9","global_emission_factors.sec_methane"
13,"GB",2021,"pow_combustion_gt_chp_ccs_methane_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"0.9","global_emission_factors.sec_methane"
14,"GB",2024,"pow_combustion_gt_chp_ccs_methane_0",938.0,0.0,0.0,43378.0,2216999.24875371,3.27508411049145,0.96,1.0,0.0,0.0,0.0,0,"","v1","","","",2.06807631396011,1.0,1.04166666666667,"0.9","global_emission_factors.sec_methane"
15,"GB",2027,"pow_combustion_gt_chp_ccs_methane_0",1288.0,0.0,0.0,42975.5,2195483.33989546,3.25983463311111,0.965434782608696,1.0,0.0,0.0,0.0,0,"","v1","","","",2.0601557315715,1.0,1.03580274712902,"0.9","global_emission_factors.sec_methane"
16,"GB",2030,"pow_combustion_gt_chp_ccs_methane_0",1288.0,0.0,0.0,42975.5,2195483.33989546,3.25983463311111,0.965434782608696,1.0,0.0,0.0,0.0,0,"","v1","","","",2.0601557315715,1.0,1.03580274712902,"0.9","global_emission_factors.sec_methane"
17,"GB",2035,"pow_combustion_gt_chp_ccs_methane_0",1288.0,0.0,0.0,42975.5,2195483.33989546,3.25983463311111,0.965434782608696,1.0,0.0,0.0,0.0,0,"","v1","","","",2.0601557315715,1.0,1.03580274712902,"0.9","global_emission_factors.sec_methane"
18,"GB",2040,"pow_combustion_gt_chp_ccs_methane_0",1288.0,0.0,0.0,42975.5,2195483.33989546,3.25983463311111,0.965434782608696,1.0,0.0,0.0,0.0,0,"","v1","","","",2.0601557315715,1.0,1.03580274712902,"0.9","global_emission_factors.sec_methane"
19,"GB",2045,"pow_combustion_gt_chp_ccs_methane_0",1288.0,0.0,0.0,42975.5,2195483.33989546,3.25983463311111,0.965434782608696,1.0,0.0,0.0,0.0,0,"","v1","","","",2.0601557315715,1.0,1.03580274712902,"0.9","global_emission_factors.sec_methane"
20,"GB",2050,"pow_combustion_gt_chp_ccs_methane_0",1288.0,0.0,0.0,42975.5,2195483.33989546,3.25983463311111,0.965434782608696,1.0,0.0,0.0,0.0,0,"","v1","","","",2.0601557315715,1.0,1.03580274712902,"0.9","global_emission_factors.sec_methane"
21,"GB",2060,"pow_combustion_gt_chp_ccs_methane_0",1288.0,0.0,0.0,42975.5,2195483.33989546,3.25983463311111,0.965434782608696,1.0,0.0,0.0,0.0,0,"","v1","","","",2.0601557315715,1.0,1.03580274712902,"0.9","global_emission_factors.sec_methane"
22,"GB",2070,"pow_combustion_gt_chp_ccs_methane_0",1288.0,0.0,0.0,42975.5,2195483.33989546,3.25983463311111,0.965434782608696,1.0,0.0,0.0,0.0,0,"","v1","","","",2.0601557315715,1.0,1.03580274712902,"0.9","global_emission_factors.sec_methane"
23,"DE",2020,"pow_combustion_cc_chp_ccs_methane_1",0.0,100000.0,0.0,52756.8206374,1673767.99184,5.1288399592,1.8,0.15,5.4,3.6,54.0,25,"","v1","","","",2.20330607050622,1.0,0.555555555555556,"0.9","global_emission_factors.sec_methane"
24,"DE",2021,"pow_combustion_cc_chp_ccs_methane_1",0.0,100000.0,0.0,51517.3147297,1625251.12825,5.10757250484,1.82,0.15,5.4,3.6,52.2,25,"","v1","","","",2.18814915083452,1.0,0.549450549450549,"0.9","global_emission_factors.sec_methane"
25,"DE",2024,"pow_combustion_cc_chp_ccs_methane_1",0.0,100000.0,0.0,47798.7970066,1479700.53748,5.04377014176,1.88,0.15,5.4,3.6,46.8,25,"","v1","","","",2.14360520603545,1.0,0.531914893617021,"0.9","global_emission_factors.sec_methane"
26,"DE",2027,"pow_combustion_cc_chp_ccs_methane_1",0.0,100000.0,0.0,44800.2792835,1377349.94671,4.97996777868,1.94,0.15,5.4,3.6,41.4,25,"","v1","","","",2.10201318975696,1.0,0.515463917525773,"0.9","global_emission_factors.sec_methane"
27,"DE",2030,"pow_combustion_cc_chp_ccs_methane_1",0.0,100000.0,0.0,42161.7615604,1296599.35594,4.9161654156,2.0,0.15,5.4,3.6,36.0,25,"","v1","","","",2.06240084578052,1.0,0.5,"0.9","global_emission_factors.sec_methane"
28,"DE",2035,"pow_combustion_cc_chp_ccs_methane_1",0.0,100000.0,0.0,41108.2438373,1272374.060555,4.8754967797,2.05,0.15,5.4,3.6,34.2,25,"","v1","","","",2.04227642263352,1.0,0.487804878048781,"0.9","global_emission_factors.sec_methane"
29,"DE",2040,"pow_combustion_cc_chp_ccs_methane_1",0.0,100000.0,0.0,40004.7261142,1246648.76517,4.8348281438,2.1,0.15,5.4,3.6,32.4,25,"","v1","","","",2.0225294429758,1.0,0.476190476190476,"0.9","global_emission_factors.sec_methane"
30,"DE",2045,"pow_combustion_cc_chp_ccs_methane_1",0.0,100000.0,0.0,39526.2083911,1229173.469785,4.7816595079,2.15,0.15,5.4,3.6,30.6,25,"","v1","","","",2.00314960721404,1.0,0.465116279069767,"0.9","global_emission_factors.sec_methane"
31,"DE",2050,"pow_combustion_cc_chp_ccs_methane_1",0.0,100000.0,0.0,39047.690668,1211698.1744,4.728490872,2.2,0.15,5.4,3.6,28.8,25,"","v1","","","",1.98412698412698,1.0,0.454545454545455,"0.9","global_emission_factors.sec_methane"
32,"DE",2060,"pow_combustion_cc_chp_ccs_methane_1",0.0,100000.0,0.0,39047.690668,1211698.1744,4.728490872,2.2,0.15,5.4,3.6,28.8,25,"","v1","","","",1.98412698412698,1.0,0.454545454545455,"0.9","global_emission_factors.sec_methane"
33,"DE",2070,"pow_combustion_cc_chp_ccs_methane_1",0.0,100000.0,0.0,39047.690668,1211698.1744,4.728490872,2.2,0.15,5.4,3.6,28.8,25,"","v1","","","",1.98412698412698,1.0,0.454545454545455,"0.9","global_emission_factors.sec_methane"
