"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_sec_hydrogen","conversion_factor_sec_elec","conversion_factor_sec_heat_low","ef_sec_hydrogen_emi_co2_f_pow"
1,"global",2020,"pow_combustion_cc_chp_hydrogen_1",0.0,100000.0,0.0,31156.8206374,1076133.190616,4.6788399592,1.8,0.15,0.0,3.6,54.0,25,"","v1","","","",1.69491525423729,1.0,0.555555555555556,"global_emission_factors.sec_hydrogen"
2,"global",2021,"pow_combustion_cc_chp_hydrogen_1",0.0,100000.0,0.0,30997.3147297,1070018.7974875,4.65757250484,1.82,0.15,0.0,3.6,52.2,25,"","v1","","","",1.68918918918919,1.0,0.549450549450549,"global_emission_factors.sec_hydrogen"
3,"global",2024,"pow_combustion_cc_chp_hydrogen_1",0.0,100000.0,0.0,30518.7970066,1051675.618102,4.59377014176,1.88,0.15,0.0,3.6,46.8,25,"","v1","","","",1.67224080267559,1.0,0.531914893617021,"global_emission_factors.sec_hydrogen"
4,"global",2027,"pow_combustion_cc_chp_hydrogen_1",0.0,100000.0,0.0,30040.2792835,1033332.4387165,4.52996777868,1.94,0.15,0.0,3.6,41.4,25,"","v1","","","",1.65562913907285,1.0,0.515463917525773,"global_emission_factors.sec_hydrogen"
5,"global",2030,"pow_combustion_cc_chp_hydrogen_1",0.0,100000.0,0.0,29561.7615604,1014989.259331,4.4661654156,2.0,0.15,0.0,3.6,36.0,25,"","v1","","","",1.63934426229508,1.0,0.5,"global_emission_factors.sec_hydrogen"
6,"global",2035,"pow_combustion_cc_chp_hydrogen_1",0.0,100000.0,0.0,29083.2438373,1005817.66963825,4.4129967797,2.05,0.15,0.0,3.6,34.2,25,"","v1","","","",1.6260162601626,1.0,0.487804878048781,"global_emission_factors.sec_hydrogen"
7,"global",2040,"pow_combustion_cc_chp_hydrogen_1",0.0,100000.0,0.0,28604.7261142,996646.0799455,4.3598281438,2.1,0.15,0.0,3.6,32.4,25,"","v1","","","",1.61290322580645,1.0,0.476190476190476,"global_emission_factors.sec_hydrogen"
8,"global",2045,"pow_combustion_cc_chp_hydrogen_1",0.0,100000.0,0.0,28126.2083911,987474.49025275,4.3066595079,2.15,0.15,0.0,3.6,30.6,25,"","v1","","","",1.6,1.0,0.465116279069767,"global_emission_factors.sec_hydrogen"
9,"global",2050,"pow_combustion_cc_chp_hydrogen_1",0.0,100000.0,0.0,27647.690668,978302.90056,4.253490872,2.2,0.15,0.0,3.6,28.8,25,"","v1","","","",1.58730158730159,1.0,0.454545454545455,"global_emission_factors.sec_hydrogen"
10,"global",2060,"pow_combustion_cc_chp_hydrogen_1",0.0,100000.0,0.0,27647.690668,978302.90056,4.253490872,2.2,0.15,0.0,3.6,28.8,25,"","v1","","","",1.58730158730159,1.0,0.454545454545455,"global_emission_factors.sec_hydrogen"
11,"global",2070,"pow_combustion_cc_chp_hydrogen_1",0.0,100000.0,0.0,27647.690668,978302.90056,4.253490872,2.2,0.15,0.0,3.6,28.8,25,"","v1","","","",1.58730158730159,1.0,0.454545454545455,"global_emission_factors.sec_hydrogen"
12,"DE",2020,"pow_combustion_cc_chp_hydrogen_1",0.0,100000.0,0.0,31156.8206374,1076133.190616,4.6788399592,1.8,0.15,0.0,3.6,54.0,25,"","v1","","","",1.69491525423729,1.0,0.555555555555556,"global_emission_factors.sec_hydrogen"
13,"DE",2021,"pow_combustion_cc_chp_hydrogen_1",0.0,100000.0,0.0,30997.3147297,1070018.7974875,4.65757250484,1.82,0.15,0.0,3.6,52.2,25,"","v1","","","",1.68918918918919,1.0,0.549450549450549,"global_emission_factors.sec_hydrogen"
14,"DE",2024,"pow_combustion_cc_chp_hydrogen_1",0.0,100000.0,0.0,30518.7970066,1051675.618102,4.59377014176,1.88,0.15,0.0,3.6,46.8,25,"","v1","","","",1.67224080267559,1.0,0.531914893617021,"global_emission_factors.sec_hydrogen"
15,"DE",2027,"pow_combustion_cc_chp_hydrogen_1",0.0,100000.0,0.0,30040.2792835,1033332.4387165,4.52996777868,1.94,0.15,0.0,3.6,41.4,25,"","v1","","","",1.65562913907285,1.0,0.515463917525773,"global_emission_factors.sec_hydrogen"
16,"DE",2030,"pow_combustion_cc_chp_hydrogen_1",0.0,100000.0,0.0,29561.7615604,1014989.259331,4.4661654156,2.0,0.15,0.0,3.6,36.0,25,"","v1","","","",1.63934426229508,1.0,0.5,"global_emission_factors.sec_hydrogen"
17,"DE",2035,"pow_combustion_cc_chp_hydrogen_1",0.0,100000.0,0.0,29083.2438373,1005817.66963825,4.4129967797,2.05,0.15,0.0,3.6,34.2,25,"","v1","","","",1.6260162601626,1.0,0.487804878048781,"global_emission_factors.sec_hydrogen"
18,"DE",2040,"pow_combustion_cc_chp_hydrogen_1",0.0,100000.0,0.0,28604.7261142,996646.0799455,4.3598281438,2.1,0.15,0.0,3.6,32.4,25,"","v1","","","",1.61290322580645,1.0,0.476190476190476,"global_emission_factors.sec_hydrogen"
19,"DE",2045,"pow_combustion_cc_chp_hydrogen_1",0.0,100000.0,0.0,28126.2083911,987474.49025275,4.3066595079,2.15,0.15,0.0,3.6,30.6,25,"","v1","","","",1.6,1.0,0.465116279069767,"global_emission_factors.sec_hydrogen"
20,"DE",2050,"pow_combustion_cc_chp_hydrogen_1",0.0,100000.0,0.0,27647.690668,978302.90056,4.253490872,2.2,0.15,0.0,3.6,28.8,25,"","v1","","","",1.58730158730159,1.0,0.454545454545455,"global_emission_factors.sec_hydrogen"
21,"DE",2060,"pow_combustion_cc_chp_hydrogen_1",0.0,100000.0,0.0,27647.690668,978302.90056,4.253490872,2.2,0.15,0.0,3.6,28.8,25,"","v1","","","",1.58730158730159,1.0,0.454545454545455,"global_emission_factors.sec_hydrogen"
22,"DE",2070,"pow_combustion_cc_chp_hydrogen_1",0.0,100000.0,0.0,27647.690668,978302.90056,4.253490872,2.2,0.15,0.0,3.6,28.8,25,"","v1","","","",1.58730158730159,1.0,0.454545454545455,"global_emission_factors.sec_hydrogen"
