"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_sec_syngas","conversion_factor_sec_elec","conversion_factor_sec_heat_low","ef_sec_syngas_emi_co2_f_pow"
1,"AT",2020,"pow_combustion_cc_chp_syngas_0",435.0,0.0,0.0,30999.4,1210935.72413793,1.6,1.48505747126437,0.685402298850575,0.0,0.0,0.0,0,"","v1","","","",1.82795382630657,1.0,0.673374613003096,"global_emission_factors.sec_syngas"
2,"AT",2021,"pow_combustion_cc_chp_syngas_0",435.0,0.0,0.0,30999.4,1210935.72413793,1.6,1.48505747126437,0.685402298850575,0.0,0.0,0.0,0,"","v1","","","",1.82795382630657,1.0,0.673374613003096,"global_emission_factors.sec_syngas"
3,"AT",2024,"pow_combustion_cc_chp_syngas_0",351.0,0.0,0.0,30999.4,1171576.75213675,1.6,1.52934472934473,0.61011396011396,0.0,0.0,0.0,0,"","v1","","","",1.78343690139271,1.0,0.653874813710879,"global_emission_factors.sec_syngas"
4,"AT",2027,"pow_combustion_cc_chp_syngas_0",351.0,0.0,0.0,30999.4,1171576.75213675,1.6,1.52934472934473,0.61011396011396,0.0,0.0,0.0,0,"","v1","","","",1.78343690139271,1.0,0.653874813710879,"global_emission_factors.sec_syngas"
5,"AT",2030,"pow_combustion_cc_chp_syngas_0",299.0,0.0,0.0,30999.4,1136129.23076923,1.6,1.56923076923077,0.542307692307692,0.0,0.0,0.0,0,"","v1","","","",1.74515995354022,1.0,0.637254901960784,"global_emission_factors.sec_syngas"
6,"AT",2035,"pow_combustion_cc_chp_syngas_0",299.0,0.0,0.0,30999.4,1136129.23076923,1.6,1.56923076923077,0.542307692307692,0.0,0.0,0.0,0,"","v1","","","",1.74515995354022,1.0,0.637254901960784,"global_emission_factors.sec_syngas"
7,"AT",2040,"pow_combustion_cc_chp_syngas_0",269.0,0.0,0.0,30999.4,1109444.75836431,1.6,1.59925650557621,0.491263940520446,0.0,0.0,0.0,0,"","v1","","","",1.73167418775468,1.0,0.625290562529056,"global_emission_factors.sec_syngas"
8,"AT",2045,"pow_combustion_cc_chp_syngas_0",269.0,0.0,0.0,30999.4,1109444.75836431,1.6,1.59925650557621,0.491263940520446,0.0,0.0,0.0,0,"","v1","","","",1.73167418775468,1.0,0.625290562529056,"global_emission_factors.sec_syngas"
9,"AT",2050,"pow_combustion_cc_chp_syngas_0",230.0,0.0,0.0,30999.4,1064348.0,1.6,1.65,0.405,0.0,0.0,0.0,0,"","v1","","","",1.72384071711774,1.0,0.606060606060606,"global_emission_factors.sec_syngas"
10,"AT",2060,"pow_combustion_cc_chp_syngas_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.sec_syngas"
11,"AT",2070,"pow_combustion_cc_chp_syngas_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.sec_syngas"
12,"BE",2020,"pow_combustion_cc_chp_syngas_0",300.0,0.0,0.0,30999.4,931040.0,1.6,1.8,0.15,0.0,0.0,0.0,0,"","v1","","","",1.68350168350168,1.0,0.555555555555556,"global_emission_factors.sec_syngas"
13,"BE",2021,"pow_combustion_cc_chp_syngas_0",300.0,0.0,0.0,30999.4,931040.0,1.6,1.8,0.15,0.0,0.0,0.0,0,"","v1","","","",1.68350168350168,1.0,0.555555555555556,"global_emission_factors.sec_syngas"
14,"BE",2024,"pow_combustion_cc_chp_syngas_0",300.0,0.0,0.0,30999.4,931040.0,1.6,1.8,0.15,0.0,0.0,0.0,0,"","v1","","","",1.68350168350168,1.0,0.555555555555556,"global_emission_factors.sec_syngas"
15,"BE",2027,"pow_combustion_cc_chp_syngas_0",300.0,0.0,0.0,30999.4,931040.0,1.6,1.8,0.15,0.0,0.0,0.0,0,"","v1","","","",1.68350168350168,1.0,0.555555555555556,"global_emission_factors.sec_syngas"
