"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_sec_natural_gas_liquefied","conversion_factor_sec_elec","ef_sec_natural_gas_liquefied_emi_co2_f_pow"
1,"CY",2020,"pow_combustion_cc_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,"","",0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_natural_gas_liquefied"
2,"CY",2021,"pow_combustion_cc_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,"","",0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_natural_gas_liquefied"
3,"CY",2024,"pow_combustion_cc_methane_02",260.0,0.0,0.0,21122.97,638029.808408208,2.44641410345745,"","",0.0,0.0,0.0,0,"","v1","","","",1.65843056323085,1.0,"global_emission_factors.sec_natural_gas_liquefied"
4,"CY",2027,"pow_combustion_cc_methane_02",260.0,0.0,0.0,21122.97,638029.808408208,2.44641410345745,"","",0.0,0.0,0.0,0,"","v1","","","",1.65843056323085,1.0,"global_emission_factors.sec_natural_gas_liquefied"
5,"CY",2030,"pow_combustion_cc_methane_02",260.0,0.0,0.0,21122.97,638029.808408208,2.44641410345745,"","",0.0,0.0,0.0,0,"","v1","","","",1.65843056323085,1.0,"global_emission_factors.sec_natural_gas_liquefied"
6,"CY",2035,"pow_combustion_cc_methane_02",260.0,0.0,0.0,21122.97,638029.808408208,2.44641410345745,"","",0.0,0.0,0.0,0,"","v1","","","",1.65843056323085,1.0,"global_emission_factors.sec_natural_gas_liquefied"
7,"CY",2040,"pow_combustion_cc_methane_02",260.0,0.0,0.0,21122.97,638029.808408208,2.44641410345745,"","",0.0,0.0,0.0,0,"","v1","","","",1.65843056323085,1.0,"global_emission_factors.sec_natural_gas_liquefied"
8,"CY",2045,"pow_combustion_cc_methane_02",260.0,0.0,0.0,21122.97,638029.808408208,2.44641410345745,"","",0.0,0.0,0.0,0,"","v1","","","",1.65843056323085,1.0,"global_emission_factors.sec_natural_gas_liquefied"
9,"CY",2050,"pow_combustion_cc_methane_02",260.0,0.0,0.0,21122.97,638029.808408208,2.44641410345745,"","",0.0,0.0,0.0,0,"","v1","","","",1.65843056323085,1.0,"global_emission_factors.sec_natural_gas_liquefied"
10,"CY",2060,"pow_combustion_cc_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,"","",0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_natural_gas_liquefied"
11,"CY",2070,"pow_combustion_cc_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,"","",0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_natural_gas_liquefied"
12,"ES",2020,"pow_combustion_cc_methane_02",2770.0,0.0,0.0,21122.97,638029.808408208,1.6,"","",0.0,0.0,0.0,0,"","v1","","","",1.69820297019991,1.0,"global_emission_factors.sec_natural_gas_liquefied"
13,"ES",2021,"pow_combustion_cc_methane_02",2770.0,0.0,0.0,21122.97,638029.808408208,1.6,"","",0.0,0.0,0.0,0,"","v1","","","",1.69820297019991,1.0,"global_emission_factors.sec_natural_gas_liquefied"
14,"ES",2024,"pow_combustion_cc_methane_02",2770.0,0.0,0.0,21122.97,638029.808408208,1.6,"","",0.0,0.0,0.0,0,"","v1","","","",1.69820297019991,1.0,"global_emission_factors.sec_natural_gas_liquefied"
15,"ES",2027,"pow_combustion_cc_methane_02",2770.0,0.0,0.0,21122.97,638029.808408208,1.6,"","",0.0,0.0,0.0,0,"","v1","","","",1.69820297019991,1.0,"global_emission_factors.sec_natural_gas_liquefied"
16,"ES",2030,"pow_combustion_cc_methane_02",2770.0,0.0,0.0,21122.97,638029.808408208,1.6,"","",0.0,0.0,0.0,0,"","v1","","","",1.69820297019991,1.0,"global_emission_factors.sec_natural_gas_liquefied"
17,"ES",2035,"pow_combustion_cc_methane_02",2770.0,0.0,0.0,21122.97,638029.808408208,1.6,"","",0.0,0.0,0.0,0,"","v1","","","",1.69820297019991,1.0,"global_emission_factors.sec_natural_gas_liquefied"
