"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_waste_municipal_bio","conversion_factor_sec_elec","ef_pri_waste_municipal_bio_emi_co2_f_pow"
1,"BE",2020,"pow_combustion_cc_waste_02",12.0,0.0,0.0,55339.5025772173,1832099.86511638,0.862585672197621,0.0,0.0,0.0,0,"","v1","","","",3.01576298701299,1.0,"global_emission_factors.pri_waste_municipal_bio"
2,"BE",2021,"pow_combustion_cc_waste_02",12.0,0.0,0.0,55339.5025772173,1832099.86511638,0.862585672197621,0.0,0.0,0.0,0,"","v1","","","",3.01576298701299,1.0,"global_emission_factors.pri_waste_municipal_bio"
3,"BE",2024,"pow_combustion_cc_waste_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_municipal_bio"
4,"BE",2027,"pow_combustion_cc_waste_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_municipal_bio"
5,"BE",2030,"pow_combustion_cc_waste_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_municipal_bio"
6,"BE",2035,"pow_combustion_cc_waste_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_municipal_bio"
7,"BE",2040,"pow_combustion_cc_waste_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_municipal_bio"
8,"BE",2045,"pow_combustion_cc_waste_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_municipal_bio"
9,"BE",2050,"pow_combustion_cc_waste_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_municipal_bio"
10,"BE",2060,"pow_combustion_cc_waste_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_municipal_bio"
11,"BE",2070,"pow_combustion_cc_waste_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_municipal_bio"
12,"BE",2020,"pow_combustion_st_waste_03",111.46,0.0,0.0,184260.302354961,5836499.0076033,14.3474487108671,0.0,0.0,0.0,0,"","v1","","","",3.6204305010541,1.0,"global_emission_factors.pri_waste_municipal_bio"
13,"BE",2021,"pow_combustion_st_waste_03",111.46,0.0,0.0,184260.302354961,5836499.0076033,14.3474487108671,0.0,0.0,0.0,0,"","v1","","","",3.6204305010541,1.0,"global_emission_factors.pri_waste_municipal_bio"
14,"BE",2024,"pow_combustion_st_waste_03",59.45,0.0,0.0,156546.406108787,5949285.07887049,16.3281899192641,0.0,0.0,0.0,0,"","v1","","","",3.75409167267785,1.0,"global_emission_factors.pri_waste_municipal_bio"
15,"BE",2027,"pow_combustion_st_waste_03",41.45,0.0,0.0,200496.328028407,7737206.28146577,23.0442544897634,0.0,0.0,0.0,0,"","v1","","","",4.20069465594226,1.0,"global_emission_factors.pri_waste_municipal_bio"
16,"BE",2030,"pow_combustion_st_waste_03",33.0,0.0,0.0,237665.272727273,9249271.40928856,28.7241060506249,0.0,0.0,0.0,0,"","v1","","","",4.67060139546643,1.0,"global_emission_factors.pri_waste_municipal_bio"
17,"BE",2035,"pow_combustion_st_waste_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_municipal_bio"
18,"BE",2040,"pow_combustion_st_waste_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_municipal_bio"
19,"BE",2045,"pow_combustion_st_waste_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_municipal_bio"
20,"BE",2050,"pow_combustion_st_waste_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_municipal_bio"
21,"BE",2060,"pow_combustion_st_waste_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_municipal_bio"
22,"BE",2070,"pow_combustion_st_waste_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_municipal_bio"
23,"CH",2020,"pow_combustion_st_waste_03",111.54,0.0,0.0,221381.372779865,6582853.95265536,16.1921233896962,0.0,0.0,0.0,0,"","v1","","","",3.71272078269554,1.0,"global_emission_factors.pri_waste_municipal_bio"
24,"CH",2021,"pow_combustion_st_waste_03",111.54,0.0,0.0,221381.372779865,6582853.95265536,16.1921233896962,0.0,0.0,0.0,0,"","v1","","","",3.71272078269554,1.0,"global_emission_factors.pri_waste_municipal_bio"
25,"CH",2024,"pow_combustion_st_waste_03",44.07,0.0,0.0,242910.657604215,8241329.59160942,23.4045505367518,0.0,0.0,0.0,0,"","v1","","","",4.20175317463424,1.0,"global_emission_factors.pri_waste_municipal_bio"
26,"CH",2027,"pow_combustion_st_waste_03",44.07,0.0,0.0,242910.657604215,8241329.59160942,23.4045505367518,0.0,0.0,0.0,0,"","v1","","","",4.20175317463424,1.0,"global_emission_factors.pri_waste_municipal_bio"
27,"CH",2030,"pow_combustion_st_waste_03",36.07,0.0,0.0,284512.244524536,9662838.81844459,28.404154609844,0.0,0.0,0.0,0,"","v1","","","",4.60326031062327,1.0,"global_emission_factors.pri_waste_municipal_bio"
28,"CH",2035,"pow_combustion_st_waste_03",36.07,0.0,0.0,284512.244524536,9662838.81844459,28.404154609844,0.0,0.0,0.0,0,"","v1","","","",4.60326031062327,1.0,"global_emission_factors.pri_waste_municipal_bio"
29,"CH",2040,"pow_combustion_st_waste_03",36.07,0.0,0.0,284512.244524536,9662838.81844459,28.404154609844,0.0,0.0,0.0,0,"","v1","","","",4.60326031062327,1.0,"global_emission_factors.pri_waste_municipal_bio"
30,"CH",2045,"pow_combustion_st_waste_03",36.07,0.0,0.0,284512.244524536,9662838.81844459,28.404154609844,0.0,0.0,0.0,0,"","v1","","","",4.60326031062327,1.0,"global_emission_factors.pri_waste_municipal_bio"
31,"CH",2050,"pow_combustion_st_waste_03",36.07,0.0,0.0,284512.244524536,9662838.81844459,28.404154609844,0.0,0.0,0.0,0,"","v1","","","",4.60326031062327,1.0,"global_emission_factors.pri_waste_municipal_bio"
32,"CH",2060,"pow_combustion_st_waste_03",36.07,0.0,0.0,284512.244524536,9662838.81844459,28.404154609844,0.0,0.0,0.0,0,"","v1","","","",4.60326031062327,1.0,"global_emission_factors.pri_waste_municipal_bio"
33,"CH",2070,"pow_combustion_st_waste_03",36.07,0.0,0.0,284512.244524536,9662838.81844459,28.404154609844,0.0,0.0,0.0,0,"","v1","","","",4.60326031062327,1.0,"global_emission_factors.pri_waste_municipal_bio"
34,"DE",2020,"pow_combustion_st_waste_03",393.897,0.0,0.0,200445.809062052,7672887.6816491,22.7244797620284,0.0,0.0,0.0,0,"","v1","","","",4.17573705909896,1.0,"global_emission_factors.pri_waste_municipal_bio"
35,"DE",2021,"pow_combustion_st_waste_03",393.897,0.0,0.0,200445.809062052,7672887.6816491,22.7244797620284,0.0,0.0,0.0,0,"","v1","","","",4.17573705909896,1.0,"global_emission_factors.pri_waste_municipal_bio"
36,"DE",2024,"pow_combustion_st_waste_03",288.63,0.0,0.0,215717.839311983,8894548.53218655,28.0672446073275,0.0,0.0,0.0,0,"","v1","","","",4.62466125078435,1.0,"global_emission_factors.pri_waste_municipal_bio"
37,"DE",2027,"pow_combustion_st_waste_03",288.63,0.0,0.0,215717.839311983,8894548.53218655,28.0672446073275,0.0,0.0,0.0,0,"","v1","","","",4.62466125078435,1.0,"global_emission_factors.pri_waste_municipal_bio"
38,"DE",2030,"pow_combustion_st_waste_03",196.03,0.0,0.0,214664.363416914,8809209.99730682,27.6933467591262,0.0,0.0,0.0,0,"","v1","","","",4.59011514837185,1.0,"global_emission_factors.pri_waste_municipal_bio"
39,"DE",2035,"pow_combustion_st_waste_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_municipal_bio"
40,"DE",2040,"pow_combustion_st_waste_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_municipal_bio"
41,"DE",2045,"pow_combustion_st_waste_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_municipal_bio"
42,"DE",2050,"pow_combustion_st_waste_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_municipal_bio"
43,"DE",2060,"pow_combustion_st_waste_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_municipal_bio"
44,"DE",2070,"pow_combustion_st_waste_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_municipal_bio"
45,"DK",2020,"pow_combustion_st_waste_03",90.6,0.0,0.0,284020.450331126,9658497.23471775,28.407513423759,0.0,0.0,0.0,0,"","v1","","","",4.60395716246362,1.0,"global_emission_factors.pri_waste_municipal_bio"
46,"DK",2021,"pow_combustion_st_waste_03",90.6,0.0,0.0,284020.450331126,9658497.23471775,28.407513423759,0.0,0.0,0.0,0,"","v1","","","",4.60395716246362,1.0,"global_emission_factors.pri_waste_municipal_bio"
47,"DK",2024,"pow_combustion_st_waste_03",70.5,0.0,0.0,241021.404255319,9278899.50620906,28.7011846305917,0.0,0.0,0.0,0,"","v1","","","",4.66571160877114,1.0,"global_emission_factors.pri_waste_municipal_bio"
48,"DK",2027,"pow_combustion_st_waste_03",63.0,0.0,0.0,217948.0,9075206.33988065,28.85876939332,0.0,0.0,0.0,0,"","v1","","","",4.69953716137938,1.0,"global_emission_factors.pri_waste_municipal_bio"
