"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_sec_biogas","conversion_factor_sec_elec","ef_sec_biogas_emi_co2_f_pow"
1,"AT",2020,"pow_combustion_fc_biogas_02",0.005,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.sec_biogas"
2,"AT",2021,"pow_combustion_fc_biogas_02",0.005,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.sec_biogas"
3,"AT",2024,"pow_combustion_fc_biogas_02",0.005,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.sec_biogas"
4,"AT",2027,"pow_combustion_fc_biogas_02",0.005,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.sec_biogas"
5,"AT",2030,"pow_combustion_fc_biogas_02",0.005,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.sec_biogas"
6,"AT",2035,"pow_combustion_fc_biogas_02",0.005,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.sec_biogas"
7,"AT",2040,"pow_combustion_fc_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
8,"AT",2045,"pow_combustion_fc_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
9,"AT",2050,"pow_combustion_fc_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
10,"AT",2060,"pow_combustion_fc_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
