"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_sewage_gas","conversion_factor_sec_elec","ef_pri_sewage_gas_emi_co2_f_pow"
1,"BE",2020,"pow_combustion_gt_biogas_03",40.03,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_sewage_gas"
2,"BE",2021,"pow_combustion_gt_biogas_03",40.03,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_sewage_gas"
3,"BE",2024,"pow_combustion_gt_biogas_03",0.03,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_sewage_gas"
4,"BE",2027,"pow_combustion_gt_biogas_03",0.03,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_sewage_gas"
5,"BE",2030,"pow_combustion_gt_biogas_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_gas"
6,"BE",2035,"pow_combustion_gt_biogas_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_gas"
7,"BE",2040,"pow_combustion_gt_biogas_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_gas"
8,"BE",2045,"pow_combustion_gt_biogas_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_gas"
9,"BE",2050,"pow_combustion_gt_biogas_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_gas"
10,"BE",2060,"pow_combustion_gt_biogas_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_gas"
11,"BE",2070,"pow_combustion_gt_biogas_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_gas"
12,"CH",2020,"pow_combustion_ic_biogas_03",0.088,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_sewage_gas"
13,"CH",2021,"pow_combustion_ic_biogas_03",0.088,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_sewage_gas"
14,"CH",2024,"pow_combustion_ic_biogas_03",0.088,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_sewage_gas"
15,"CH",2027,"pow_combustion_ic_biogas_03",0.088,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_sewage_gas"
16,"CH",2030,"pow_combustion_ic_biogas_03",0.088,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_sewage_gas"
17,"CH",2035,"pow_combustion_ic_biogas_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_gas"
18,"CH",2040,"pow_combustion_ic_biogas_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_gas"
19,"CH",2045,"pow_combustion_ic_biogas_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_gas"
20,"CH",2050,"pow_combustion_ic_biogas_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_gas"
21,"CH",2060,"pow_combustion_ic_biogas_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_gas"
22,"CH",2070,"pow_combustion_ic_biogas_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_gas"
23,"CZ",2020,"pow_combustion_ic_biogas_03",1.04,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_sewage_gas"
24,"CZ",2021,"pow_combustion_ic_biogas_03",1.04,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_sewage_gas"
25,"CZ",2024,"pow_combustion_ic_biogas_03",1.04,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_sewage_gas"
