"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_sec_heating_oil","conversion_factor_sec_biodiesel","conversion_factor_sec_biomethanol","conversion_factor_sec_elec","conversion_factor_sec_heat_low","ef_sec_heating_oil_emi_co2_f_pow","ef_sec_biodiesel_emi_co2_f_pow","ef_sec_biomethanol_emi_co2_f_pow"
1,"DE",2020,"pow_combustion_gt_chp_oil_0_ag",224.478,0.0,0.0,6578.51378019227,245552.738484628,1.11145044636819,0.228450004009302,0.312458236441879,0.0,0.0,0.0,0,"","v1","","","",3.95727068586134,3.95727068586134,3.95727068586134,1.0,4.37732537732538,"global_emission_factors.sec_heating_oil","global_emission_factors.sec_biodiesel","global_emission_factors.sec_biomethanol"
2,"DE",2021,"pow_combustion_gt_chp_oil_0_ag",224.478,0.0,0.0,6578.51378019227,245552.738484628,1.11145044636819,0.228450004009302,0.312458236441879,0.0,0.0,0.0,0,"","v1","","","",3.95727068586134,3.95727068586134,3.95727068586134,1.0,4.37732537732538,"global_emission_factors.sec_heating_oil","global_emission_factors.sec_biodiesel","global_emission_factors.sec_biomethanol"
3,"DE",2024,"pow_combustion_gt_chp_oil_0_ag",71.478,0.0,0.0,20659.9459463052,771162.982030167,1.13596034164133,0.717451523545706,0.981280953580122,0.0,0.0,0.0,0,"","v1","","","",3.5511971963239,3.5511971963239,3.5511971963239,1.0,1.39382239382239,"global_emission_factors.sec_heating_oil","global_emission_factors.sec_biodiesel","global_emission_factors.sec_biomethanol"
4,"DE",2027,"pow_combustion_gt_chp_oil_0_ag",71.478,0.0,0.0,20659.9459463052,771162.982030167,1.13596034164133,0.717451523545706,0.981280953580122,0.0,0.0,0.0,0,"","v1","","","",3.5511971963239,3.5511971963239,3.5511971963239,1.0,1.39382239382239,"global_emission_factors.sec_heating_oil","global_emission_factors.sec_biodiesel","global_emission_factors.sec_biomethanol"
5,"DE",2030,"pow_combustion_gt_chp_oil_0_ag",46.765,0.0,0.0,20667.8258205923,772565.762741891,1.13387674023098,0.721950176413985,0.986635304180477,0.0,0.0,0.0,0,"","v1","","","",3.50839682057399,3.50839682057399,3.50839682057399,1.0,1.38513713642557,"global_emission_factors.sec_heating_oil","global_emission_factors.sec_biodiesel","global_emission_factors.sec_biomethanol"
6,"DE",2035,"pow_combustion_gt_chp_oil_0_ag",0.515,0.0,0.0,23736.1786407767,858039.694218373,3.52260627385871,0.353398058252427,0.271844660194175,0.0,0.0,0.0,0,"","v1","","","",1.90634832500463,1.90634832500463,1.90634832500463,1.0,2.82967032967033,"global_emission_factors.sec_heating_oil","global_emission_factors.sec_biodiesel","global_emission_factors.sec_biomethanol"
7,"DE",2040,"pow_combustion_gt_chp_oil_0_ag",0.15,0.0,0.0,21122.97,638029.808408208,2.44641410345745,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.75438596491228,1.75438596491228,1.75438596491228,1.0,1.0,"global_emission_factors.sec_heating_oil","global_emission_factors.sec_biodiesel","global_emission_factors.sec_biomethanol"
8,"DE",2045,"pow_combustion_gt_chp_oil_0_ag",0.075,0.0,0.0,21122.97,638029.808408208,2.44641410345745,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.75438596491228,1.75438596491228,1.75438596491228,1.0,1.0,"global_emission_factors.sec_heating_oil","global_emission_factors.sec_biodiesel","global_emission_factors.sec_biomethanol"
9,"DE",2050,"pow_combustion_gt_chp_oil_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,"global_emission_factors.sec_heating_oil","global_emission_factors.sec_biodiesel","global_emission_factors.sec_biomethanol"
10,"DE",2060,"pow_combustion_gt_chp_oil_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,"global_emission_factors.sec_heating_oil","global_emission_factors.sec_biodiesel","global_emission_factors.sec_biomethanol"
11,"DE",2070,"pow_combustion_gt_chp_oil_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,"global_emission_factors.sec_heating_oil","global_emission_factors.sec_biodiesel","global_emission_factors.sec_biomethanol"
12,"SE",2020,"pow_combustion_gt_chp_oil_0_ag",86.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.45760629147211,2.45760629147211,2.45760629147211,1.0,1.0,"global_emission_factors.sec_heating_oil","global_emission_factors.sec_biodiesel","global_emission_factors.sec_biomethanol"
13,"SE",2021,"pow_combustion_gt_chp_oil_0_ag",86.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.45760629147211,2.45760629147211,2.45760629147211,1.0,1.0,"global_emission_factors.sec_heating_oil","global_emission_factors.sec_biodiesel","global_emission_factors.sec_biomethanol"
14,"SE",2024,"pow_combustion_gt_chp_oil_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,"global_emission_factors.sec_heating_oil","global_emission_factors.sec_biodiesel","global_emission_factors.sec_biomethanol"
15,"SE",2027,"pow_combustion_gt_chp_oil_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,"global_emission_factors.sec_heating_oil","global_emission_factors.sec_biodiesel","global_emission_factors.sec_biomethanol"
16,"SE",2030,"pow_combustion_gt_chp_oil_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,"global_emission_factors.sec_heating_oil","global_emission_factors.sec_biodiesel","global_emission_factors.sec_biomethanol"
17,"SE",2035,"pow_combustion_gt_chp_oil_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,"global_emission_factors.sec_heating_oil","global_emission_factors.sec_biodiesel","global_emission_factors.sec_biomethanol"
18,"SE",2040,"pow_combustion_gt_chp_oil_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,"global_emission_factors.sec_heating_oil","global_emission_factors.sec_biodiesel","global_emission_factors.sec_biomethanol"
19,"SE",2045,"pow_combustion_gt_chp_oil_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,"global_emission_factors.sec_heating_oil","global_emission_factors.sec_biodiesel","global_emission_factors.sec_biomethanol"
20,"SE",2050,"pow_combustion_gt_chp_oil_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,"global_emission_factors.sec_heating_oil","global_emission_factors.sec_biodiesel","global_emission_factors.sec_biomethanol"
21,"SE",2060,"pow_combustion_gt_chp_oil_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,"global_emission_factors.sec_heating_oil","global_emission_factors.sec_biodiesel","global_emission_factors.sec_biomethanol"
22,"SE",2070,"pow_combustion_gt_chp_oil_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,"global_emission_factors.sec_heating_oil","global_emission_factors.sec_biodiesel","global_emission_factors.sec_biomethanol"
