"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_biomass_wood_chips_sr","conversion_factor_pri_biomass_pellets_sr","conversion_factor_pri_waste_other_bio_sr","conversion_factor_pri_waste_municipal_bio","conversion_factor_pri_waste_wood","conversion_factor_pri_sewage_sludge","conversion_factor_sec_elec","conversion_factor_sec_heat_low","ef_pri_biomass_wood_chips_sr_emi_co2_f_pow","ef_pri_biomass_pellets_sr_emi_co2_f_pow","ef_pri_waste_other_bio_sr_emi_co2_f_pow","ef_pri_waste_municipal_bio_emi_co2_f_pow","ef_pri_waste_wood_emi_co2_f_pow","ef_pri_sewage_sludge_emi_co2_f_pow"
1,"ES",2020,"pow_combustion_gt_chp_syngas_02",15.6,0.0,0.0,20631.0,772340.0,5.7132,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.7027027027027,2.7027027027027,2.7027027027027,2.7027027027027,2.7027027027027,2.7027027027027,1.0,1.0,"global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
2,"ES",2021,"pow_combustion_gt_chp_syngas_02",15.6,0.0,0.0,20631.0,772340.0,5.7132,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.7027027027027,2.7027027027027,2.7027027027027,2.7027027027027,2.7027027027027,2.7027027027027,1.0,1.0,"global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
3,"ES",2024,"pow_combustion_gt_chp_syngas_02",15.6,0.0,0.0,20631.0,772340.0,5.7132,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.7027027027027,2.7027027027027,2.7027027027027,2.7027027027027,2.7027027027027,2.7027027027027,1.0,1.0,"global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
4,"ES",2027,"pow_combustion_gt_chp_syngas_02",15.6,0.0,0.0,20631.0,772340.0,5.7132,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.7027027027027,2.7027027027027,2.7027027027027,2.7027027027027,2.7027027027027,2.7027027027027,1.0,1.0,"global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
5,"ES",2030,"pow_combustion_gt_chp_syngas_02",15.6,0.0,0.0,20631.0,772340.0,5.7132,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.7027027027027,2.7027027027027,2.7027027027027,2.7027027027027,2.7027027027027,2.7027027027027,1.0,1.0,"global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
6,"ES",2035,"pow_combustion_gt_chp_syngas_02",7.8,0.0,0.0,20631.0,772340.0,5.7132,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.7027027027027,2.7027027027027,2.7027027027027,2.7027027027027,2.7027027027027,2.7027027027027,1.0,1.0,"global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
7,"ES",2040,"pow_combustion_gt_chp_syngas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
8,"ES",2045,"pow_combustion_gt_chp_syngas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
9,"ES",2050,"pow_combustion_gt_chp_syngas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
10,"ES",2060,"pow_combustion_gt_chp_syngas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
