"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_sec_heating_oil","conversion_factor_sec_elec","ef_sec_heating_oil_emi_co2_f_pow"
1,"global",2020,"pow_combustion_gt_heating_oil_1",0.0,100000.0,0.0,8579.291088824,404081.63284,4.785177231,10.8,2.16,828.0,25,"","v1","","","",2.4390243902439,1.0,"global_emission_factors.sec_heating_oil"
2,"global",2021,"pow_combustion_gt_heating_oil_1",0.0,100000.0,0.0,8544.9739244687,401954.887404,4.785177231,10.8,2.16,828.0,25,"","v1","","","",2.4330900243309,1.0,"global_emission_factors.sec_heating_oil"
3,"global",2024,"pow_combustion_gt_heating_oil_1",0.0,100000.0,0.0,8442.02243140282,395574.651096,4.785177231,10.8,2.16,828.0,25,"","v1","","","",2.41545893719807,1.0,"global_emission_factors.sec_heating_oil"
4,"global",2027,"pow_combustion_gt_heating_oil_1",0.0,100000.0,0.0,8339.07093833693,389194.414788,4.785177231,10.8,2.16,828.0,25,"","v1","","","",2.39808153477218,1.0,"global_emission_factors.sec_heating_oil"
5,"global",2030,"pow_combustion_gt_heating_oil_1",0.0,100000.0,0.0,8236.11944527104,382814.17848,4.785177231,10.8,2.16,828.0,25,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.sec_heating_oil"
6,"global",2035,"pow_combustion_gt_heating_oil_1",0.0,100000.0,0.0,8150.3265343828,377497.31489,4.785177231,10.8,2.16,828.0,25,"","v1","","","",2.35294117647059,1.0,"global_emission_factors.sec_heating_oil"
7,"global",2040,"pow_combustion_gt_heating_oil_1",0.0,100000.0,0.0,8064.53362349456,372180.4513,4.785177231,10.8,2.16,828.0,25,"","v1","","","",2.32558139534884,1.0,"global_emission_factors.sec_heating_oil"
8,"global",2045,"pow_combustion_gt_heating_oil_1",0.0,100000.0,0.0,7978.74071260632,366863.58771,4.785177231,10.8,2.16,828.0,25,"","v1","","","",2.29885057471264,1.0,"global_emission_factors.sec_heating_oil"
9,"global",2050,"pow_combustion_gt_heating_oil_1",0.0,100000.0,0.0,7892.94780171808,361546.72412,4.785177231,10.8,2.16,828.0,25,"","v1","","","",2.27272727272727,1.0,"global_emission_factors.sec_heating_oil"
10,"global",2060,"pow_combustion_gt_heating_oil_1",0.0,100000.0,0.0,7892.94780171808,361546.72412,4.785177231,10.8,2.16,828.0,25,"","v1","","","",2.27272727272727,1.0,"global_emission_factors.sec_heating_oil"
