"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_sec_methane","conversion_factor_pri_cbm","conversion_factor_sec_elec","ef_sec_methane_emi_co2_f_pow","ef_pri_cbm_emi_co2_f_pow"
1,"DE",2020,"pow_combustion_gt_methane_0_ag",652.85,0.0,0.0,8535.944,480289.68,1.12158972198821,0.0,0.0,0.0,0,"","v1","","","",3.68858062671688,3.68858062671688,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
2,"DE",2021,"pow_combustion_gt_methane_0_ag",652.85,0.0,0.0,8535.944,480289.68,1.12158972198821,0.0,0.0,0.0,0,"","v1","","","",3.68858062671688,3.68858062671688,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
3,"DE",2024,"pow_combustion_gt_methane_0_ag",514.0,0.0,0.0,8535.944,480289.68,1.1,0.0,0.0,0.0,0,"","v1","","","",3.61291991407717,3.61291991407717,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
4,"DE",2027,"pow_combustion_gt_methane_0_ag",514.0,0.0,0.0,8535.944,480289.68,1.1,0.0,0.0,0.0,0,"","v1","","","",3.61291991407717,3.61291991407717,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
5,"DE",2030,"pow_combustion_gt_methane_0_ag",222.0,0.0,0.0,8535.944,480289.68,1.1,0.0,0.0,0.0,0,"","v1","","","",3.44301347427976,3.44301347427976,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
6,"DE",2035,"pow_combustion_gt_methane_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
7,"DE",2040,"pow_combustion_gt_methane_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
8,"DE",2045,"pow_combustion_gt_methane_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
9,"DE",2050,"pow_combustion_gt_methane_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
10,"DE",2060,"pow_combustion_gt_methane_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
11,"DE",2070,"pow_combustion_gt_methane_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
12,"AT",2020,"pow_combustion_gt_methane_0_ag",367.0,0.0,0.0,8535.944,480289.68,1.1,0.0,0.0,0.0,0,"","v1","","","",3.42798430786475,3.42798430786475,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
13,"AT",2021,"pow_combustion_gt_methane_0_ag",367.0,0.0,0.0,8535.944,480289.68,1.1,0.0,0.0,0.0,0,"","v1","","","",3.42798430786475,3.42798430786475,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
14,"AT",2024,"pow_combustion_gt_methane_0_ag",297.0,0.0,0.0,8535.944,480289.68,1.1,0.0,0.0,0.0,0,"","v1","","","",3.30897098801194,3.30897098801194,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
15,"AT",2027,"pow_combustion_gt_methane_0_ag",232.0,0.0,0.0,8535.944,480289.68,1.1,0.0,0.0,0.0,0,"","v1","","","",3.18891576863866,3.18891576863866,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
16,"AT",2030,"pow_combustion_gt_methane_0_ag",162.0,0.0,0.0,8535.944,480289.68,1.1,0.0,0.0,0.0,0,"","v1","","","",2.99423332840455,2.99423332840455,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
17,"AT",2035,"pow_combustion_gt_methane_0_ag",162.0,0.0,0.0,8535.944,480289.68,1.1,0.0,0.0,0.0,0,"","v1","","","",2.99423332840455,2.99423332840455,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
18,"AT",2040,"pow_combustion_gt_methane_0_ag",162.0,0.0,0.0,8535.944,480289.68,1.1,0.0,0.0,0.0,0,"","v1","","","",2.99423332840455,2.99423332840455,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
19,"AT",2045,"pow_combustion_gt_methane_0_ag",42.0,0.0,0.0,8535.944,480289.68,1.1,0.0,0.0,0.0,0,"","v1","","","",2.8735632183908,2.8735632183908,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
20,"AT",2050,"pow_combustion_gt_methane_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
21,"AT",2060,"pow_combustion_gt_methane_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
22,"AT",2070,"pow_combustion_gt_methane_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
23,"BE",2020,"pow_combustion_gt_methane_0_ag",460.0,0.0,0.0,8535.944,480289.68,1.1,0.0,0.0,0.0,0,"","v1","","","",2.80904365498104,2.80904365498104,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
24,"BE",2021,"pow_combustion_gt_methane_0_ag",460.0,0.0,0.0,8535.944,480289.68,1.1,0.0,0.0,0.0,0,"","v1","","","",2.80904365498104,2.80904365498104,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
25,"BE",2024,"pow_combustion_gt_methane_0_ag",424.0,0.0,0.0,8535.944,480289.68,1.1,0.0,0.0,0.0,0,"","v1","","","",2.73190243500134,2.73190243500134,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
26,"BE",2027,"pow_combustion_gt_methane_0_ag",424.0,0.0,0.0,8535.944,480289.68,1.1,0.0,0.0,0.0,0,"","v1","","","",2.73190243500134,2.73190243500134,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
27,"BE",2030,"pow_combustion_gt_methane_0_ag",424.0,0.0,0.0,8535.944,480289.68,1.1,0.0,0.0,0.0,0,"","v1","","","",2.73190243500134,2.73190243500134,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
28,"BE",2035,"pow_combustion_gt_methane_0_ag",336.0,0.0,0.0,8535.944,480289.68,1.1,0.0,0.0,0.0,0,"","v1","","","",2.59163272861903,2.59163272861903,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
29,"BE",2040,"pow_combustion_gt_methane_0_ag",336.0,0.0,0.0,8535.944,480289.68,1.1,0.0,0.0,0.0,0,"","v1","","","",2.59163272861903,2.59163272861903,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
30,"BE",2045,"pow_combustion_gt_methane_0_ag",336.0,0.0,0.0,8535.944,480289.68,1.1,0.0,0.0,0.0,0,"","v1","","","",2.59163272861903,2.59163272861903,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
31,"BE",2050,"pow_combustion_gt_methane_0_ag",246.0,0.0,0.0,8535.944,480289.68,1.1,0.0,0.0,0.0,0,"","v1","","","",2.51102400783929,2.51102400783929,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
32,"BE",2060,"pow_combustion_gt_methane_0_ag",128.0,0.0,0.0,8535.944,480289.68,1.1,0.0,0.0,0.0,0,"","v1","","","",2.47524752475248,2.47524752475248,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
33,"BE",2070,"pow_combustion_gt_methane_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.sec_methane","global_emission_factors.pri_cbm"
