"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_sec_diesel","conversion_factor_sec_elec","ef_sec_diesel_emi_co2_f_pow"
1,"BE",2020,"pow_combustion_gt_oil_01",20.0,0.0,0.0,8535.944,400241.4,1.1,0.0,0.0,0.0,0,"","v1","","","",4.68164794007491,1.0,"global_emission_factors.sec_diesel"
2,"BE",2021,"pow_combustion_gt_oil_01",20.0,0.0,0.0,8535.944,400241.4,1.1,0.0,0.0,0.0,0,"","v1","","","",4.68164794007491,1.0,"global_emission_factors.sec_diesel"
3,"BE",2024,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
4,"BE",2027,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
5,"BE",2030,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
6,"BE",2035,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
7,"BE",2040,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
8,"BE",2045,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
9,"BE",2050,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
10,"BE",2060,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
11,"BE",2070,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
12,"CZ",2020,"pow_combustion_gt_oil_01",64.0,0.0,0.0,8535.944,400241.4,1.1,0.0,0.0,0.0,0,"","v1","","","",3.68731563421829,1.0,"global_emission_factors.sec_diesel"
13,"CZ",2021,"pow_combustion_gt_oil_01",64.0,0.0,0.0,8535.944,400241.4,1.1,0.0,0.0,0.0,0,"","v1","","","",3.68731563421829,1.0,"global_emission_factors.sec_diesel"
14,"CZ",2024,"pow_combustion_gt_oil_01",64.0,0.0,0.0,8535.944,400241.4,1.1,0.0,0.0,0.0,0,"","v1","","","",3.68731563421829,1.0,"global_emission_factors.sec_diesel"
15,"CZ",2027,"pow_combustion_gt_oil_01",64.0,0.0,0.0,8535.944,400241.4,1.1,0.0,0.0,0.0,0,"","v1","","","",3.68731563421829,1.0,"global_emission_factors.sec_diesel"
16,"CZ",2030,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
17,"CZ",2035,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
18,"CZ",2040,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
19,"CZ",2045,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
20,"CZ",2050,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
21,"CZ",2060,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
22,"CZ",2070,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
23,"FI",2020,"pow_combustion_gt_oil_01",27.0,0.0,0.0,8535.944,400241.4,1.1,0.0,0.0,0.0,0,"","v1","","","",4.0453074433657,1.0,"global_emission_factors.sec_diesel"
24,"FI",2021,"pow_combustion_gt_oil_01",27.0,0.0,0.0,8535.944,400241.4,1.1,0.0,0.0,0.0,0,"","v1","","","",4.0453074433657,1.0,"global_emission_factors.sec_diesel"
25,"FI",2024,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
26,"FI",2027,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
27,"FI",2030,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
28,"FI",2035,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
29,"FI",2040,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
30,"FI",2045,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
31,"FI",2050,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
32,"FI",2060,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
33,"FI",2070,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
34,"GB",2020,"pow_combustion_gt_oil_01",26.0,0.0,0.0,8535.944,400241.4,1.1,0.0,0.0,0.0,0,"","v1","","","",3.08641975308642,1.0,"global_emission_factors.sec_diesel"
35,"GB",2021,"pow_combustion_gt_oil_01",26.0,0.0,0.0,8535.944,400241.4,1.1,0.0,0.0,0.0,0,"","v1","","","",3.08641975308642,1.0,"global_emission_factors.sec_diesel"
36,"GB",2024,"pow_combustion_gt_oil_01",26.0,0.0,0.0,8535.944,400241.4,1.1,0.0,0.0,0.0,0,"","v1","","","",3.08641975308642,1.0,"global_emission_factors.sec_diesel"
37,"GB",2027,"pow_combustion_gt_oil_01",26.0,0.0,0.0,8535.944,400241.4,1.1,0.0,0.0,0.0,0,"","v1","","","",3.08641975308642,1.0,"global_emission_factors.sec_diesel"
38,"GB",2030,"pow_combustion_gt_oil_01",26.0,0.0,0.0,8535.944,400241.4,1.1,0.0,0.0,0.0,0,"","v1","","","",3.08641975308642,1.0,"global_emission_factors.sec_diesel"
39,"GB",2035,"pow_combustion_gt_oil_01",26.0,0.0,0.0,8535.944,400241.4,1.1,0.0,0.0,0.0,0,"","v1","","","",3.08641975308642,1.0,"global_emission_factors.sec_diesel"
40,"GB",2040,"pow_combustion_gt_oil_01",26.0,0.0,0.0,8535.944,400241.4,1.1,0.0,0.0,0.0,0,"","v1","","","",3.08641975308642,1.0,"global_emission_factors.sec_diesel"
41,"GB",2045,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
42,"GB",2050,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
43,"GB",2060,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
44,"GB",2070,"pow_combustion_gt_oil_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_diesel"
