"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_landfill_gas","conversion_factor_sec_elec","ef_pri_landfill_gas_emi_co2_f_pow"
1,"AT",2020,"pow_combustion_ic_biogas_02",6.698,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
2,"AT",2021,"pow_combustion_ic_biogas_02",6.698,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
3,"AT",2024,"pow_combustion_ic_biogas_02",0.218,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
4,"AT",2027,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
5,"AT",2030,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
6,"AT",2035,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
7,"AT",2040,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
8,"AT",2045,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
9,"AT",2050,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
10,"AT",2060,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
11,"AT",2070,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
12,"BE",2020,"pow_combustion_ic_biogas_02",15.654,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
13,"BE",2021,"pow_combustion_ic_biogas_02",15.654,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
14,"BE",2024,"pow_combustion_ic_biogas_02",9.21,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
15,"BE",2027,"pow_combustion_ic_biogas_02",5.592,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
16,"BE",2030,"pow_combustion_ic_biogas_02",1.032,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
17,"BE",2035,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
18,"BE",2040,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
19,"BE",2045,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
20,"BE",2050,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
21,"BE",2060,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
22,"BE",2070,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
23,"CH",2020,"pow_combustion_ic_biogas_02",7.76,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
