"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_cbm","conversion_factor_sec_elec","conversion_factor_sec_heat_low","ef_pri_cbm_emi_co2_f_pow"
1,"CZ",2020,"pow_combustion_ic_chp_methane_02",1.6,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_cbm"
2,"CZ",2021,"pow_combustion_ic_chp_methane_02",1.6,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_cbm"
3,"CZ",2024,"pow_combustion_ic_chp_methane_02",1.6,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_cbm"
4,"CZ",2027,"pow_combustion_ic_chp_methane_02",1.6,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_cbm"
5,"CZ",2030,"pow_combustion_ic_chp_methane_02",1.6,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_cbm"
6,"CZ",2035,"pow_combustion_ic_chp_methane_02",1.6,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_cbm"
7,"CZ",2040,"pow_combustion_ic_chp_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_cbm"
8,"CZ",2045,"pow_combustion_ic_chp_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_cbm"
9,"CZ",2050,"pow_combustion_ic_chp_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_cbm"
10,"CZ",2060,"pow_combustion_ic_chp_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_cbm"
11,"CZ",2070,"pow_combustion_ic_chp_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_cbm"
12,"DE",2020,"pow_combustion_cc_chp_methane_02",0.4047,0.0,0.0,30999.4,1375400.0,4.6552,1.3,1.0,0.0,0.0,0.0,0,"","v1","","","",1.96078431372549,1.0,0.769230769230769,"global_emission_factors.pri_cbm"
13,"DE",2021,"pow_combustion_cc_chp_methane_02",0.4047,0.0,0.0,30999.4,1375400.0,4.6552,1.3,1.0,0.0,0.0,0.0,0,"","v1","","","",1.96078431372549,1.0,0.769230769230769,"global_emission_factors.pri_cbm"
14,"DE",2024,"pow_combustion_cc_chp_methane_02",0.4047,0.0,0.0,30999.4,1375400.0,4.6552,1.3,1.0,0.0,0.0,0.0,0,"","v1","","","",1.96078431372549,1.0,0.769230769230769,"global_emission_factors.pri_cbm"
15,"DE",2027,"pow_combustion_cc_chp_methane_02",0.4047,0.0,0.0,30999.4,1375400.0,4.6552,1.3,1.0,0.0,0.0,0.0,0,"","v1","","","",1.96078431372549,1.0,0.769230769230769,"global_emission_factors.pri_cbm"
16,"DE",2030,"pow_combustion_cc_chp_methane_02",0.4047,0.0,0.0,30999.4,1375400.0,4.6552,1.3,1.0,0.0,0.0,0.0,0,"","v1","","","",1.96078431372549,1.0,0.769230769230769,"global_emission_factors.pri_cbm"
17,"DE",2035,"pow_combustion_cc_chp_methane_02",0.4047,0.0,0.0,30999.4,1375400.0,4.6552,1.3,1.0,0.0,0.0,0.0,0,"","v1","","","",1.96078431372549,1.0,0.769230769230769,"global_emission_factors.pri_cbm"
18,"DE",2040,"pow_combustion_cc_chp_methane_02",0.4047,0.0,0.0,30999.4,1375400.0,4.6552,1.3,1.0,0.0,0.0,0.0,0,"","v1","","","",1.96078431372549,1.0,0.769230769230769,"global_emission_factors.pri_cbm"
19,"DE",2045,"pow_combustion_cc_chp_methane_02",0.4047,0.0,0.0,30999.4,1375400.0,4.6552,1.3,1.0,0.0,0.0,0.0,0,"","v1","","","",1.96078431372549,1.0,0.769230769230769,"global_emission_factors.pri_cbm"
20,"DE",2050,"pow_combustion_cc_chp_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_cbm"
21,"DE",2060,"pow_combustion_cc_chp_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_cbm"
22,"DE",2070,"pow_combustion_cc_chp_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_cbm"
23,"DE",2020,"pow_combustion_gt_chp_methane_02",5.225,0.0,0.0,20631.0,772340.0,5.7132,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.7027027027027,1.0,1.0,"global_emission_factors.pri_cbm"
24,"DE",2021,"pow_combustion_gt_chp_methane_02",5.225,0.0,0.0,20631.0,772340.0,5.7132,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.7027027027027,1.0,1.0,"global_emission_factors.pri_cbm"
25,"DE",2024,"pow_combustion_gt_chp_methane_02",5.225,0.0,0.0,20631.0,772340.0,5.7132,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.7027027027027,1.0,1.0,"global_emission_factors.pri_cbm"
26,"DE",2027,"pow_combustion_gt_chp_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_cbm"
27,"DE",2030,"pow_combustion_gt_chp_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_cbm"
28,"DE",2035,"pow_combustion_gt_chp_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_cbm"
29,"DE",2040,"pow_combustion_gt_chp_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_cbm"
30,"DE",2045,"pow_combustion_gt_chp_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_cbm"
31,"DE",2050,"pow_combustion_gt_chp_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_cbm"
32,"DE",2060,"pow_combustion_gt_chp_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_cbm"
33,"DE",2070,"pow_combustion_gt_chp_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_cbm"
34,"DE",2020,"pow_combustion_ic_chp_methane_02",141.377,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_cbm"
35,"DE",2021,"pow_combustion_ic_chp_methane_02",140.751,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_cbm"
36,"DE",2024,"pow_combustion_ic_chp_methane_02",123.812,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_cbm"
37,"DE",2027,"pow_combustion_ic_chp_methane_02",73.63,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_cbm"
38,"DE",2030,"pow_combustion_ic_chp_methane_02",13.772,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_cbm"
39,"DE",2035,"pow_combustion_ic_chp_methane_02",10.229,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_cbm"
40,"DE",2040,"pow_combustion_ic_chp_methane_02",5.489,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_cbm"
41,"DE",2045,"pow_combustion_ic_chp_methane_02",5.439,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_cbm"
42,"DE",2050,"pow_combustion_ic_chp_methane_02",4.516,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_cbm"
43,"DE",2060,"pow_combustion_ic_chp_methane_02",1.8,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_cbm"
44,"DE",2070,"pow_combustion_ic_chp_methane_02",1.8,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_cbm"
45,"DE",2020,"pow_combustion_st_chp_methane_02",5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,1.0,"global_emission_factors.pri_cbm"
46,"DE",2021,"pow_combustion_st_chp_methane_02",5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,1.0,"global_emission_factors.pri_cbm"
47,"DE",2024,"pow_combustion_st_chp_methane_02",5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,1.0,"global_emission_factors.pri_cbm"
48,"DE",2027,"pow_combustion_st_chp_methane_02",5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,1.0,"global_emission_factors.pri_cbm"
49,"DE",2030,"pow_combustion_st_chp_methane_02",5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,1.0,"global_emission_factors.pri_cbm"
50,"DE",2035,"pow_combustion_st_chp_methane_02",5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,1.0,"global_emission_factors.pri_cbm"
51,"DE",2040,"pow_combustion_st_chp_methane_02",5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,1.0,"global_emission_factors.pri_cbm"
52,"DE",2045,"pow_combustion_st_chp_methane_02",5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,1.0,"global_emission_factors.pri_cbm"
53,"DE",2050,"pow_combustion_st_chp_methane_02",5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,1.0,"global_emission_factors.pri_cbm"
54,"DE",2060,"pow_combustion_st_chp_methane_02",5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,1.0,"global_emission_factors.pri_cbm"
55,"DE",2070,"pow_combustion_st_chp_methane_02",5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,1.0,"global_emission_factors.pri_cbm"
56,"PL",2020,"pow_combustion_ic_chp_methane_02",16.601,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_cbm"
57,"PL",2021,"pow_combustion_ic_chp_methane_02",16.601,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_cbm"
58,"PL",2024,"pow_combustion_ic_chp_methane_02",13.786,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_cbm"
59,"PL",2027,"pow_combustion_ic_chp_methane_02",6.7,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_cbm"
