"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_sec_diesel","conversion_factor_sec_biodiesel","conversion_factor_sec_diesel_syn","conversion_factor_sec_elec","ef_sec_diesel_emi_co2_f_pow","ef_sec_biodiesel_emi_co2_f_pow","ef_sec_diesel_syn_emi_co2_f_pow"
1,"global",2020,"pow_combustion_ic_diesel_1",0.0,100000.0,0.0,9357.6799184,361546.72412,6.380236308,86.4,7.56,3391.2,25,"","v1","","","",2.7027027027027,2.7027027027027,2.7027027027027,1.0,"global_emission_factors.sec_diesel","global_emission_factors.sec_biodiesel","global_emission_factors.sec_diesel_syn"
2,"global",2021,"pow_combustion_ic_diesel_1",0.0,100000.0,0.0,9320.2491987264,361546.72412,6.380236308,86.4,7.56,3391.2,25,"","v1","","","",2.7027027027027,2.7027027027027,2.7027027027027,1.0,"global_emission_factors.sec_diesel","global_emission_factors.sec_biodiesel","global_emission_factors.sec_diesel_syn"
3,"global",2024,"pow_combustion_ic_diesel_1",0.0,100000.0,0.0,9207.9570397056,361546.72412,6.380236308,86.4,7.56,3391.2,25,"","v1","","","",2.7027027027027,2.7027027027027,2.7027027027027,1.0,"global_emission_factors.sec_diesel","global_emission_factors.sec_biodiesel","global_emission_factors.sec_diesel_syn"
4,"global",2027,"pow_combustion_ic_diesel_1",0.0,100000.0,0.0,9095.6648806848,361546.72412,6.380236308,86.4,7.56,3391.2,25,"","v1","","","",2.7027027027027,2.7027027027027,2.7027027027027,1.0,"global_emission_factors.sec_diesel","global_emission_factors.sec_biodiesel","global_emission_factors.sec_diesel_syn"
5,"global",2030,"pow_combustion_ic_diesel_1",0.0,100000.0,0.0,8983.372721664,361546.72412,6.380236308,86.4,7.56,3391.2,25,"","v1","","","",2.7027027027027,2.7027027027027,2.7027027027027,1.0,"global_emission_factors.sec_diesel","global_emission_factors.sec_biodiesel","global_emission_factors.sec_diesel_syn"
6,"global",2035,"pow_combustion_ic_diesel_1",0.0,100000.0,0.0,8889.79592248,361546.72412,6.380236308,86.4,7.56,3391.2,25,"","v1","","","",2.7027027027027,2.7027027027027,2.7027027027027,1.0,"global_emission_factors.sec_diesel","global_emission_factors.sec_biodiesel","global_emission_factors.sec_diesel_syn"
7,"global",2040,"pow_combustion_ic_diesel_1",0.0,100000.0,0.0,8796.219123296,361546.72412,6.380236308,86.4,7.56,3391.2,25,"","v1","","","",2.7027027027027,2.7027027027027,2.7027027027027,1.0,"global_emission_factors.sec_diesel","global_emission_factors.sec_biodiesel","global_emission_factors.sec_diesel_syn"
8,"global",2045,"pow_combustion_ic_diesel_1",0.0,100000.0,0.0,8702.642324112,361546.72412,6.380236308,86.4,7.56,3391.2,25,"","v1","","","",2.7027027027027,2.7027027027027,2.7027027027027,1.0,"global_emission_factors.sec_diesel","global_emission_factors.sec_biodiesel","global_emission_factors.sec_diesel_syn"
9,"global",2050,"pow_combustion_ic_diesel_1",0.0,100000.0,0.0,8609.065524928,361546.72412,6.380236308,86.4,7.56,3391.2,25,"","v1","","","",2.7027027027027,2.7027027027027,2.7027027027027,1.0,"global_emission_factors.sec_diesel","global_emission_factors.sec_biodiesel","global_emission_factors.sec_diesel_syn"
10,"global",2060,"pow_combustion_ic_diesel_1",0.0,100000.0,0.0,8609.065524928,361546.72412,6.380236308,86.4,7.56,3391.2,25,"","v1","","","",2.7027027027027,2.7027027027027,2.7027027027027,1.0,"global_emission_factors.sec_diesel","global_emission_factors.sec_biodiesel","global_emission_factors.sec_diesel_syn"
11,"global",2070,"pow_combustion_ic_diesel_1",0.0,100000.0,0.0,8609.065524928,361546.72412,6.380236308,86.4,7.56,3391.2,25,"","v1","","","",2.7027027027027,2.7027027027027,2.7027027027027,1.0,"global_emission_factors.sec_diesel","global_emission_factors.sec_biodiesel","global_emission_factors.sec_diesel_syn"
12,"DE",2020,"pow_combustion_ic_diesel_1",0.0,100000.0,0.0,9357.6799184,361546.72412,6.380236308,86.4,7.56,3391.2,25,"","v1","","","",2.7027027027027,2.7027027027027,2.7027027027027,1.0,"global_emission_factors.sec_diesel","global_emission_factors.sec_biodiesel","global_emission_factors.sec_diesel_syn"
13,"DE",2021,"pow_combustion_ic_diesel_1",0.0,100000.0,0.0,9320.2491987264,361546.72412,6.380236308,86.4,7.56,3391.2,25,"","v1","","","",2.7027027027027,2.7027027027027,2.7027027027027,1.0,"global_emission_factors.sec_diesel","global_emission_factors.sec_biodiesel","global_emission_factors.sec_diesel_syn"
14,"DE",2024,"pow_combustion_ic_diesel_1",0.0,100000.0,0.0,9207.9570397056,361546.72412,6.380236308,86.4,7.56,3391.2,25,"","v1","","","",2.7027027027027,2.7027027027027,2.7027027027027,1.0,"global_emission_factors.sec_diesel","global_emission_factors.sec_biodiesel","global_emission_factors.sec_diesel_syn"
15,"DE",2027,"pow_combustion_ic_diesel_1",0.0,100000.0,0.0,9095.6648806848,361546.72412,6.380236308,86.4,7.56,3391.2,25,"","v1","","","",2.7027027027027,2.7027027027027,2.7027027027027,1.0,"global_emission_factors.sec_diesel","global_emission_factors.sec_biodiesel","global_emission_factors.sec_diesel_syn"
16,"DE",2030,"pow_combustion_ic_diesel_1",0.0,100000.0,0.0,8983.372721664,361546.72412,6.380236308,86.4,7.56,3391.2,25,"","v1","","","",2.7027027027027,2.7027027027027,2.7027027027027,1.0,"global_emission_factors.sec_diesel","global_emission_factors.sec_biodiesel","global_emission_factors.sec_diesel_syn"
17,"DE",2035,"pow_combustion_ic_diesel_1",0.0,100000.0,0.0,8889.79592248,361546.72412,6.380236308,86.4,7.56,3391.2,25,"","v1","","","",2.7027027027027,2.7027027027027,2.7027027027027,1.0,"global_emission_factors.sec_diesel","global_emission_factors.sec_biodiesel","global_emission_factors.sec_diesel_syn"
18,"DE",2040,"pow_combustion_ic_diesel_1",0.0,100000.0,0.0,8796.219123296,361546.72412,6.380236308,86.4,7.56,3391.2,25,"","v1","","","",2.7027027027027,2.7027027027027,2.7027027027027,1.0,"global_emission_factors.sec_diesel","global_emission_factors.sec_biodiesel","global_emission_factors.sec_diesel_syn"
