"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_sec_methane","conversion_factor_sec_elec","ef_sec_methane_emi_co2_f_pow"
1,"global",2020,"pow_combustion_ic_methane_1",0.0,100000.0,0.0,6911.922667,521052.63182,6.380236308,1134.0,2.16,270.0,25,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_methane"
2,"global",2021,"pow_combustion_ic_methane_1",0.0,100000.0,0.0,6885.33834905,518925.886384,6.380236308,1134.0,2.16,270.0,25,"","v1","","","",2.0746887966805,1.0,"global_emission_factors.sec_methane"
3,"global",2024,"pow_combustion_ic_methane_1",0.0,100000.0,0.0,6805.5853952,512545.650076,6.380236308,1134.0,2.16,270.0,25,"","v1","","","",2.04918032786885,1.0,"global_emission_factors.sec_methane"
4,"global",2027,"pow_combustion_ic_methane_1",0.0,100000.0,0.0,6725.83244135,506165.413768,6.380236308,1134.0,2.16,270.0,25,"","v1","","","",2.02429149797571,1.0,"global_emission_factors.sec_methane"
5,"global",2030,"pow_combustion_ic_methane_1",0.0,100000.0,0.0,6646.0794875,499785.17746,6.380236308,1134.0,2.16,270.0,25,"","v1","","","",2.0,1.0,"global_emission_factors.sec_methane"
6,"global",2035,"pow_combustion_ic_methane_1",0.0,100000.0,0.0,6579.618692625,494468.31387,6.380236308,1134.0,2.16,270.0,25,"","v1","","","",2.0,1.0,"global_emission_factors.sec_methane"
7,"global",2040,"pow_combustion_ic_methane_1",0.0,100000.0,0.0,6513.15789775,489151.45028,6.380236308,1134.0,2.16,270.0,25,"","v1","","","",2.0,1.0,"global_emission_factors.sec_methane"
8,"global",2045,"pow_combustion_ic_methane_1",0.0,100000.0,0.0,6446.697102875,483834.58669,6.380236308,1134.0,2.16,270.0,25,"","v1","","","",2.0,1.0,"global_emission_factors.sec_methane"
9,"global",2050,"pow_combustion_ic_methane_1",0.0,100000.0,0.0,6380.236308,478517.7231,6.380236308,1134.0,2.16,270.0,25,"","v1","","","",2.0,1.0,"global_emission_factors.sec_methane"
10,"global",2060,"pow_combustion_ic_methane_1",0.0,100000.0,0.0,6380.236308,478517.7231,6.380236308,1134.0,2.16,270.0,25,"","v1","","","",2.0,1.0,"global_emission_factors.sec_methane"
11,"global",2070,"pow_combustion_ic_methane_1",0.0,100000.0,0.0,6380.236308,478517.7231,6.380236308,1134.0,2.16,270.0,25,"","v1","","","",2.0,1.0,"global_emission_factors.sec_methane"
12,"global",2020,"pow_combustion_gt_methane_1",0.0,100000.0,0.0,8579.291088824,478517.7231,4.785177231,6.12,3.6,172.8,25,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.sec_methane"
13,"global",2021,"pow_combustion_gt_methane_1",0.0,100000.0,0.0,8544.9739244687,477454.350382,4.785177231,6.12,3.6,172.8,25,"","v1","","","",2.37529691211401,1.0,"global_emission_factors.sec_methane"
14,"global",2024,"pow_combustion_gt_methane_1",0.0,100000.0,0.0,8442.02243140282,474264.232228,4.785177231,6.12,3.6,172.8,25,"","v1","","","",2.35849056603774,1.0,"global_emission_factors.sec_methane"
15,"global",2027,"pow_combustion_gt_methane_1",0.0,100000.0,0.0,8339.07093833693,471074.114074,4.785177231,6.12,3.6,172.8,25,"","v1","","","",2.34192037470726,1.0,"global_emission_factors.sec_methane"
16,"global",2030,"pow_combustion_gt_methane_1",0.0,100000.0,0.0,8236.11944527104,467883.99592,4.785177231,6.12,3.6,172.8,25,"","v1","","","",2.32558139534884,1.0,"global_emission_factors.sec_methane"
17,"global",2035,"pow_combustion_gt_methane_1",0.0,100000.0,0.0,8150.3265343828,459908.700535,4.785177231,6.12,3.6,172.8,25,"","v1","","","",2.29885057471264,1.0,"global_emission_factors.sec_methane"
18,"global",2040,"pow_combustion_gt_methane_1",0.0,100000.0,0.0,8064.53362349456,451933.40515,4.785177231,6.12,3.6,172.8,25,"","v1","","","",2.27272727272727,1.0,"global_emission_factors.sec_methane"
19,"global",2045,"pow_combustion_gt_methane_1",0.0,100000.0,0.0,7978.74071260632,443958.109765,4.785177231,6.12,3.6,172.8,25,"","v1","","","",2.24719101123596,1.0,"global_emission_factors.sec_methane"
20,"global",2050,"pow_combustion_gt_methane_1",0.0,100000.0,0.0,7892.94780171808,435982.81438,4.785177231,6.12,3.6,172.8,25,"","v1","","","",2.22222222222222,1.0,"global_emission_factors.sec_methane"
21,"global",2060,"pow_combustion_gt_methane_1",0.0,100000.0,0.0,7892.94780171808,435982.81438,4.785177231,6.12,3.6,172.8,25,"","v1","","","",2.22222222222222,1.0,"global_emission_factors.sec_methane"
22,"global",2070,"pow_combustion_gt_methane_1",0.0,100000.0,0.0,7892.94780171808,435982.81438,4.785177231,6.12,3.6,172.8,25,"","v1","","","",2.22222222222222,1.0,"global_emission_factors.sec_methane"
23,"global",2020,"pow_combustion_cc_methane_1",0.0,100000.0,0.0,696032.518263499,23276.0,2.10337968835213,0.0,0.0,0.0,30,"","v1","","","",1.68067226890756,1.0,"global_emission_factors.sec_methane"
24,"global",2021,"pow_combustion_cc_methane_1",0.0,100000.0,0.0,693596.404449577,22641.2,2.0462978799067,0.0,0.0,0.0,30,"","v1","","","",1.65562913907285,1.0,"global_emission_factors.sec_methane"
25,"global",2024,"pow_combustion_cc_methane_1",0.0,100000.0,0.0,686288.06300781,22323.8,2.01775697568398,0.0,0.0,0.0,30,"","v1","","","",1.64338537387017,1.0,"global_emission_factors.sec_methane"
26,"global",2027,"pow_combustion_cc_methane_1",0.0,100000.0,0.0,678979.721566043,22535.4,2.03678424516579,0.0,0.0,0.0,30,"","v1","","","",1.65152766308836,1.0,"global_emission_factors.sec_methane"
27,"global",2030,"pow_combustion_cc_methane_1",0.0,100000.0,0.0,671671.380124277,22218.0,2.00824334094307,0.0,0.0,0.0,30,"","v1","","","",1.63934426229508,1.0,"global_emission_factors.sec_methane"
28,"global",2035,"pow_combustion_cc_methane_1",0.0,100000.0,0.0,669061.258180789,21689.0,1.96282668668329,0.0,0.0,0.0,30,"","v1","","","",1.6260162601626,1.0,"global_emission_factors.sec_methane"
29,"global",2040,"pow_combustion_cc_methane_1",0.0,100000.0,0.0,666451.1362373,21160.0,1.9174100324235,0.0,0.0,0.0,30,"","v1","","","",1.61290322580645,1.0,"global_emission_factors.sec_methane"
30,"global",2045,"pow_combustion_cc_methane_1",0.0,100000.0,0.0,663841.014293812,20784.3202121641,1.87404758388879,0.0,0.0,0.0,30,"","v1","","","",1.6,1.0,"global_emission_factors.sec_methane"
