"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_cbm","conversion_factor_sec_elec","ef_pri_cbm_emi_co2_f_pow"
1,"CZ",2020,"pow_combustion_ic_methane_02",21.495,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
2,"CZ",2021,"pow_combustion_ic_methane_02",21.495,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
3,"CZ",2024,"pow_combustion_ic_methane_02",21.495,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
4,"CZ",2027,"pow_combustion_ic_methane_02",21.495,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
5,"CZ",2030,"pow_combustion_ic_methane_02",20.909,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
6,"CZ",2035,"pow_combustion_ic_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
7,"CZ",2040,"pow_combustion_ic_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
8,"CZ",2045,"pow_combustion_ic_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
9,"CZ",2050,"pow_combustion_ic_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
10,"CZ",2060,"pow_combustion_ic_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
11,"CZ",2070,"pow_combustion_ic_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
12,"DE",2020,"pow_combustion_cc_methane_03",5.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_cbm"
13,"DE",2021,"pow_combustion_cc_methane_03",5.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_cbm"
14,"DE",2024,"pow_combustion_cc_methane_03",5.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_cbm"
15,"DE",2027,"pow_combustion_cc_methane_03",0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_cbm"
16,"DE",2030,"pow_combustion_cc_methane_03",0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_cbm"
17,"DE",2035,"pow_combustion_cc_methane_03",0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_cbm"
18,"DE",2040,"pow_combustion_cc_methane_03",0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_cbm"
19,"DE",2045,"pow_combustion_cc_methane_03",0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_cbm"
20,"DE",2050,"pow_combustion_cc_methane_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
21,"DE",2060,"pow_combustion_cc_methane_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
22,"DE",2070,"pow_combustion_cc_methane_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
23,"DE",2020,"pow_combustion_gt_methane_02",3.85,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_cbm"
24,"DE",2021,"pow_combustion_gt_methane_02",3.85,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_cbm"
25,"DE",2024,"pow_combustion_gt_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
26,"DE",2027,"pow_combustion_gt_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
27,"DE",2030,"pow_combustion_gt_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
28,"DE",2035,"pow_combustion_gt_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
29,"DE",2040,"pow_combustion_gt_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
30,"DE",2045,"pow_combustion_gt_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
31,"DE",2050,"pow_combustion_gt_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
32,"DE",2060,"pow_combustion_gt_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
33,"DE",2070,"pow_combustion_gt_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
34,"DE",2020,"pow_combustion_ic_methane_02",144.6965,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
35,"DE",2021,"pow_combustion_ic_methane_02",144.6965,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
36,"DE",2024,"pow_combustion_ic_methane_02",142.5275,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
37,"DE",2027,"pow_combustion_ic_methane_02",74.2525,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
