"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_sec_biodiesel","conversion_factor_sec_elec","ef_sec_biodiesel_emi_co2_f_pow"
1,"AT",2020,"pow_combustion_ic_oil_02",0.32,0.0,0.0,9310.4,362894.0,6.348,0.0,0.0,0.0,0,"","v1","","","",2.7027027027027,1.0,"global_emission_factors.sec_biodiesel"
2,"AT",2021,"pow_combustion_ic_oil_02",0.32,0.0,0.0,9310.4,362894.0,6.348,0.0,0.0,0.0,0,"","v1","","","",2.7027027027027,1.0,"global_emission_factors.sec_biodiesel"
3,"AT",2024,"pow_combustion_ic_oil_02",0.32,0.0,0.0,9310.4,362894.0,6.348,0.0,0.0,0.0,0,"","v1","","","",2.7027027027027,1.0,"global_emission_factors.sec_biodiesel"
4,"AT",2027,"pow_combustion_ic_oil_02",0.32,0.0,0.0,9310.4,362894.0,6.348,0.0,0.0,0.0,0,"","v1","","","",2.7027027027027,1.0,"global_emission_factors.sec_biodiesel"
5,"AT",2030,"pow_combustion_ic_oil_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biodiesel"
6,"AT",2035,"pow_combustion_ic_oil_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biodiesel"
7,"AT",2040,"pow_combustion_ic_oil_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biodiesel"
8,"AT",2045,"pow_combustion_ic_oil_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biodiesel"
9,"AT",2050,"pow_combustion_ic_oil_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biodiesel"
10,"AT",2060,"pow_combustion_ic_oil_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biodiesel"
11,"AT",2070,"pow_combustion_ic_oil_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biodiesel"
12,"BE",2020,"pow_combustion_ic_oil_02",106.35,0.0,0.0,16234.5172201976,677336.839362252,5.91134159103322,0.0,0.0,0.0,0,"","v1","","","",3.00133460086027,1.0,"global_emission_factors.sec_biodiesel"
13,"BE",2021,"pow_combustion_ic_oil_02",106.35,0.0,0.0,16234.5172201976,677336.839362252,5.91134159103322,0.0,0.0,0.0,0,"","v1","","","",3.00133460086027,1.0,"global_emission_factors.sec_biodiesel"
14,"BE",2024,"pow_combustion_ic_oil_02",106.35,0.0,0.0,16234.5172201976,677336.839362252,5.91134159103322,0.0,0.0,0.0,0,"","v1","","","",3.00133460086027,1.0,"global_emission_factors.sec_biodiesel"
15,"BE",2027,"pow_combustion_ic_oil_02",106.35,0.0,0.0,16234.5172201976,677336.839362252,5.91134159103322,0.0,0.0,0.0,0,"","v1","","","",3.00133460086027,1.0,"global_emission_factors.sec_biodiesel"
16,"BE",2030,"pow_combustion_ic_oil_02",21.0,0.0,0.0,44376.1079222863,1955322.37934169,4.13663705744681,0.0,0.0,0.0,0,"","v1","","","",5.4478432218324,1.0,"global_emission_factors.sec_biodiesel"
17,"BE",2035,"pow_combustion_ic_oil_02",18.0,0.0,0.0,50220.3925760007,2220727.10923197,3.76807656702128,0.0,0.0,0.0,0,"","v1","","","",6.55800661979717,1.0,"global_emission_factors.sec_biodiesel"
18,"BE",2040,"pow_combustion_ic_oil_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biodiesel"
19,"BE",2045,"pow_combustion_ic_oil_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biodiesel"
20,"BE",2050,"pow_combustion_ic_oil_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biodiesel"
21,"BE",2060,"pow_combustion_ic_oil_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biodiesel"
