"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_biomass_wood_chips_pp","conversion_factor_sec_elec","ef_pri_biomass_wood_chips_pp_emi_co2_f_pow"
1,"AL",2020,"pow_combustion_ic_syngas_07",1.425,0.0,0.0,297298.0,6684157.90987698,9.79837973207078,0.0,0.0,0.0,0,"","v1","","","",6.81902094828064,1.0,"global_emission_factors.pri_biomass_wood_chips_pp"
2,"AL",2021,"pow_combustion_ic_syngas_07",1.425,0.0,0.0,297298.0,6684157.90987698,9.79837973207078,0.0,0.0,0.0,0,"","v1","","","",6.81902094828064,1.0,"global_emission_factors.pri_biomass_wood_chips_pp"
3,"AL",2024,"pow_combustion_ic_syngas_07",1.425,0.0,0.0,297298.0,6684157.90987698,9.79837973207078,0.0,0.0,0.0,0,"","v1","","","",6.81902094828064,1.0,"global_emission_factors.pri_biomass_wood_chips_pp"
4,"AL",2027,"pow_combustion_ic_syngas_07",1.425,0.0,0.0,297298.0,6684157.90987698,9.79837973207078,0.0,0.0,0.0,0,"","v1","","","",6.81902094828064,1.0,"global_emission_factors.pri_biomass_wood_chips_pp"
5,"AL",2030,"pow_combustion_ic_syngas_07",1.425,0.0,0.0,297298.0,6684157.90987698,9.79837973207078,0.0,0.0,0.0,0,"","v1","","","",6.81902094828064,1.0,"global_emission_factors.pri_biomass_wood_chips_pp"
6,"AL",2035,"pow_combustion_ic_syngas_07",1.425,0.0,0.0,297298.0,6684157.90987698,9.79837973207078,0.0,0.0,0.0,0,"","v1","","","",6.81902094828064,1.0,"global_emission_factors.pri_biomass_wood_chips_pp"
7,"AL",2040,"pow_combustion_ic_syngas_07",1.425,0.0,0.0,297298.0,6684157.90987698,9.79837973207078,0.0,0.0,0.0,0,"","v1","","","",6.81902094828064,1.0,"global_emission_factors.pri_biomass_wood_chips_pp"
8,"AL",2045,"pow_combustion_ic_syngas_07",1.425,0.0,0.0,297298.0,6684157.90987698,9.79837973207078,0.0,0.0,0.0,0,"","v1","","","",6.81902094828064,1.0,"global_emission_factors.pri_biomass_wood_chips_pp"
9,"AL",2050,"pow_combustion_ic_syngas_07",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_biomass_wood_chips_pp"
10,"AL",2060,"pow_combustion_ic_syngas_07",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_biomass_wood_chips_pp"
11,"AL",2070,"pow_combustion_ic_syngas_07",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_biomass_wood_chips_pp"
12,"AT",2020,"pow_combustion_ic_syngas_07",376.24,0.0,0.0,158044.960736672,4019315.93988615,5.24761515744064,0.0,0.0,0.0,0,"","v1","","","",3.57677284348559,1.0,"global_emission_factors.pri_biomass_wood_chips_pp"
