"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_biomass_wood_chips_pp","conversion_factor_pri_biomass_wood_chips_pr","conversion_factor_pri_biomass_wood_chips_sr","conversion_factor_pri_biomass_pellets_pp","conversion_factor_pri_biomass_pellets_sr","conversion_factor_pri_biomass_straw_bales_pr","conversion_factor_sec_elec","ef_pri_biomass_wood_chips_pp_emi_co2_f_pow","ef_pri_biomass_wood_chips_pr_emi_co2_f_pow","ef_pri_biomass_wood_chips_sr_emi_co2_f_pow","ef_pri_biomass_pellets_pp_emi_co2_f_pow","ef_pri_biomass_pellets_sr_emi_co2_f_pow","ef_pri_biomass_straw_bales_pr_emi_co2_f_pow"
1,"global",2020,"pow_combustion_st_biomass_1",0.0,100000.0,0.0,2220727.10923197,50220.3925760007,3.76807656702128,0.0,0.0,0.0,40,"","v1","","","",2.88424984710996,2.88424984710996,2.88424984710996,2.88424984710996,2.88424984710996,2.88424984710996,1.0,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
2,"global",2021,"pow_combustion_st_biomass_1",0.0,100000.0,0.0,2198519.83813965,45527.7892484003,3.76807656702128,0.0,0.0,0.0,40,"","v1","","","",2.68323661380152,2.68323661380152,2.68323661380152,2.68323661380152,2.68323661380152,2.68323661380152,1.0,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
3,"global",2024,"pow_combustion_st_biomass_1",0.0,100000.0,0.0,2131898.02486269,43181.4875846001,3.76807656702128,0.0,0.0,0.0,40,"","v1","","","",2.5928831672105,2.5928831672105,2.5928831672105,2.5928831672105,2.5928831672105,2.5928831672105,1.0,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
4,"global",2027,"pow_combustion_st_biomass_1",0.0,100000.0,0.0,2065276.21158573,44745.6886938002,3.76807656702128,0.0,0.0,0.0,40,"","v1","","","",2.65242716085413,2.65242716085413,2.65242716085413,2.65242716085413,2.65242716085413,2.65242716085413,1.0,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
5,"global",2030,"pow_combustion_st_biomass_1",0.0,100000.0,0.0,1998654.39830877,42399.38703,3.76807656702128,0.0,0.0,0.0,40,"","v1","","","",2.56410256410256,2.56410256410256,2.56410256410256,2.56410256410256,2.56410256410256,2.56410256410256,1.0,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
6,"global",2035,"pow_combustion_st_biomass_1",0.0,100000.0,0.0,1943136.22057797,41944.8231822809,3.76807656702128,0.0,0.0,0.0,40,"","v1","","","",2.54777070063694,2.54777070063694,2.54777070063694,2.54777070063694,2.54777070063694,2.54777070063694,1.0,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
7,"global",2040,"pow_combustion_st_biomass_1",0.0,100000.0,0.0,1887618.04284717,41490.2593345619,3.76807656702128,0.0,0.0,0.0,40,"","v1","","","",2.53164556962025,2.53164556962025,2.53164556962025,2.53164556962025,2.53164556962025,2.53164556962025,1.0,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
8,"global",2045,"pow_combustion_st_biomass_1",0.0,100000.0,0.0,1887618.04284717,41045.4422452809,3.76807656702128,0.0,0.0,0.0,40,"","v1","","","",2.51572327044025,2.51572327044025,2.51572327044025,2.51572327044025,2.51572327044025,2.51572327044025,1.0,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
9,"global",2050,"pow_combustion_st_biomass_1",0.0,100000.0,0.0,1887618.04284717,40600.625156,3.76807656702128,0.0,0.0,0.0,40,"","v1","","","",2.5,2.5,2.5,2.5,2.5,2.5,1.0,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
10,"global",2060,"pow_combustion_st_biomass_1",0.0,100000.0,0.0,1887618.04284717,40600.625156,3.76807656702128,0.0,0.0,0.0,40,"","v1","","","",2.5,2.5,2.5,2.5,2.5,2.5,1.0,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
11,"global",2070,"pow_combustion_st_biomass_1",0.0,100000.0,0.0,1887618.04284717,40600.625156,3.76807656702128,0.0,0.0,0.0,40,"","v1","","","",2.5,2.5,2.5,2.5,2.5,2.5,1.0,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
12,"DE",2020,"pow_combustion_st_biomass_1",0.0,100000.0,0.0,2220727.10923197,50220.3925760007,3.76807656702128,0.0,0.0,0.0,40,"","v1","","","",2.88424984710996,2.88424984710996,2.88424984710996,2.88424984710996,2.88424984710996,2.88424984710996,1.0,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
13,"DE",2021,"pow_combustion_st_biomass_1",0.0,100000.0,0.0,2198519.83813965,45527.7892484003,3.76807656702128,0.0,0.0,0.0,40,"","v1","","","",2.68323661380152,2.68323661380152,2.68323661380152,2.68323661380152,2.68323661380152,2.68323661380152,1.0,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
14,"DE",2024,"pow_combustion_st_biomass_1",0.0,100000.0,0.0,2131898.02486269,43181.4875846001,3.76807656702128,0.0,0.0,0.0,40,"","v1","","","",2.5928831672105,2.5928831672105,2.5928831672105,2.5928831672105,2.5928831672105,2.5928831672105,1.0,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
15,"DE",2027,"pow_combustion_st_biomass_1",0.0,100000.0,0.0,2065276.21158573,44745.6886938002,3.76807656702128,0.0,0.0,0.0,40,"","v1","","","",2.65242716085413,2.65242716085413,2.65242716085413,2.65242716085413,2.65242716085413,2.65242716085413,1.0,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
16,"DE",2030,"pow_combustion_st_biomass_1",0.0,100000.0,0.0,1998654.39830877,42399.38703,3.76807656702128,0.0,0.0,0.0,40,"","v1","","","",2.56410256410256,2.56410256410256,2.56410256410256,2.56410256410256,2.56410256410256,2.56410256410256,1.0,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
