"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_waste_other_bio_sr","conversion_factor_sec_elec","ef_pri_waste_other_bio_sr_emi_co2_f_pow"
1,"DE",2020,"pow_combustion_st_biomass_010",2.4,0.0,0.0,58642.7709142674,2593161.55150942,4.4000144079488,0.0,0.0,0.0,0,"","v1","","","",7.05660900066481,1.0,"global_emission_factors.pri_waste_other_bio_sr"
2,"DE",2021,"pow_combustion_st_biomass_010",2.4,0.0,0.0,58642.7709142674,2593161.55150942,4.4000144079488,0.0,0.0,0.0,0,"","v1","","","",7.05660900066481,1.0,"global_emission_factors.pri_waste_other_bio_sr"
3,"DE",2024,"pow_combustion_st_biomass_010",2.4,0.0,0.0,58642.7709142674,2593161.55150942,4.4000144079488,0.0,0.0,0.0,0,"","v1","","","",7.05660900066481,1.0,"global_emission_factors.pri_waste_other_bio_sr"
4,"DE",2027,"pow_combustion_st_biomass_010",0.65,0.0,0.0,67797.5299776009,2997981.59746316,5.08690336547872,0.0,0.0,0.0,0,"","v1","","","",7.69230769230769,1.0,"global_emission_factors.pri_waste_other_bio_sr"
5,"DE",2030,"pow_combustion_st_biomass_010",0.65,0.0,0.0,67797.5299776009,2997981.59746316,5.08690336547872,0.0,0.0,0.0,0,"","v1","","","",7.69230769230769,1.0,"global_emission_factors.pri_waste_other_bio_sr"
6,"DE",2035,"pow_combustion_st_biomass_010",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
7,"DE",2040,"pow_combustion_st_biomass_010",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
8,"DE",2045,"pow_combustion_st_biomass_010",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
9,"DE",2050,"pow_combustion_st_biomass_010",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
10,"DE",2060,"pow_combustion_st_biomass_010",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
11,"DE",2070,"pow_combustion_st_biomass_010",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
12,"FI",2020,"pow_combustion_st_biomass_010",95.0,0.0,0.0,50220.3925760007,2220727.10923197,3.76807656702128,0.0,0.0,0.0,0,"","v1","","","",6.55800661979717,1.0,"global_emission_factors.pri_waste_other_bio_sr"
13,"FI",2021,"pow_combustion_st_biomass_010",95.0,0.0,0.0,50220.3925760007,2220727.10923197,3.76807656702128,0.0,0.0,0.0,0,"","v1","","","",6.55800661979717,1.0,"global_emission_factors.pri_waste_other_bio_sr"
14,"FI",2024,"pow_combustion_st_biomass_010",365.0,0.0,0.0,56115.7186156714,2260652.26130695,1.84162540785485,0.0,0.0,0.0,0,"","v1","","","",2.7001812833049,1.0,"global_emission_factors.pri_waste_other_bio_sr"
15,"FI",2027,"pow_combustion_st_biomass_010",365.0,0.0,0.0,56115.7186156714,2260652.26130695,1.84162540785485,0.0,0.0,0.0,0,"","v1","","","",2.7001812833049,1.0,"global_emission_factors.pri_waste_other_bio_sr"
16,"FI",2030,"pow_combustion_st_biomass_010",365.0,0.0,0.0,56115.7186156714,2260652.26130695,1.84162540785485,0.0,0.0,0.0,0,"","v1","","","",2.7001812833049,1.0,"global_emission_factors.pri_waste_other_bio_sr"
17,"FI",2035,"pow_combustion_st_biomass_010",365.0,0.0,0.0,56115.7186156714,2260652.26130695,1.84162540785485,0.0,0.0,0.0,0,"","v1","","","",2.7001812833049,1.0,"global_emission_factors.pri_waste_other_bio_sr"
18,"FI",2040,"pow_combustion_st_biomass_010",365.0,0.0,0.0,56115.7186156714,2260652.26130695,1.84162540785485,0.0,0.0,0.0,0,"","v1","","","",2.7001812833049,1.0,"global_emission_factors.pri_waste_other_bio_sr"
19,"FI",2045,"pow_combustion_st_biomass_010",365.0,0.0,0.0,56115.7186156714,2260652.26130695,1.84162540785485,0.0,0.0,0.0,0,"","v1","","","",2.7001812833049,1.0,"global_emission_factors.pri_waste_other_bio_sr"
20,"FI",2050,"pow_combustion_st_biomass_010",365.0,0.0,0.0,56115.7186156714,2260652.26130695,1.84162540785485,0.0,0.0,0.0,0,"","v1","","","",2.7001812833049,1.0,"global_emission_factors.pri_waste_other_bio_sr"
21,"FI",2060,"pow_combustion_st_biomass_010",95.0,0.0,0.0,50220.3925760007,2220727.10923197,3.76807656702128,0.0,0.0,0.0,0,"","v1","","","",6.55800661979717,1.0,"global_emission_factors.pri_waste_other_bio_sr"
