"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_lignite","conversion_factor_sec_elec","emi_co2_neg_fuel_cc_pow","ef_pri_lignite_emi_co2_f_pow"
1,"global",2020,"pow_combustion_st_ccs_lignite_1",0.0,100000.0,0.0,4433998.49750742,72557.64,5.6088944261664,0.0,0.0,0.0,40,"","v1","","","",3.125,1.0,0.9,"global_emission_factors.pri_lignite"
2,"global",2021,"pow_combustion_st_ccs_lignite_1",0.0,100000.0,0.0,4413728.79009024,70272.36,5.49314150457447,0.0,0.0,0.0,40,"","v1","","","",3.06748466257669,1.0,0.9,"global_emission_factors.pri_lignite"
3,"global",2024,"pow_combustion_st_ccs_lignite_1",0.0,100000.0,0.0,4352919.66783871,69129.72,5.4352650437785,0.0,0.0,0.0,40,"","v1","","","",3.03951367781155,1.0,0.9,"global_emission_factors.pri_lignite"
4,"global",2027,"pow_combustion_st_ccs_lignite_1",0.0,100000.0,0.0,4292110.54558718,69891.48,5.47384935097581,0.0,0.0,0.0,40,"","v1","","","",3.05810397553517,1.0,0.9,"global_emission_factors.pri_lignite"
5,"global",2030,"pow_combustion_st_ccs_lignite_1",0.0,100000.0,0.0,4231301.42333565,68748.84,5.41597289017984,0.0,0.0,0.0,40,"","v1","","","",3.03030303030303,1.0,0.9,"global_emission_factors.pri_lignite"
6,"global",2035,"pow_combustion_st_ccs_lignite_1",0.0,100000.0,0.0,4174292.87122484,66950.24,4.63029713861888,0.0,0.0,0.0,40,"","v1","","","",2.98507462686567,1.0,0.9,"global_emission_factors.pri_lignite"
7,"global",2040,"pow_combustion_st_ccs_lignite_1",0.0,100000.0,0.0,4117284.31911403,65151.64,3.84462138705792,0.0,0.0,0.0,40,"","v1","","","",2.94117647058824,1.0,0.9,"global_emission_factors.pri_lignite"
8,"global",2045,"pow_combustion_st_ccs_lignite_1",0.0,100000.0,0.0,4053941.48343535,64622.64,3.74010307157774,0.0,0.0,0.0,40,"","v1","","","",2.89855072463768,1.0,0.9,"global_emission_factors.pri_lignite"
9,"global",2050,"pow_combustion_st_ccs_lignite_1",0.0,100000.0,0.0,3990598.64775667,64093.64,3.63558475609756,0.0,0.0,0.0,40,"","v1","","","",2.85714285714286,1.0,0.9,"global_emission_factors.pri_lignite"
10,"global",2060,"pow_combustion_st_ccs_lignite_1",0.0,100000.0,0.0,3990598.64775667,64093.64,3.63558475609756,0.0,0.0,0.0,40,"","v1","","","",2.85714285714286,1.0,0.9,"global_emission_factors.pri_lignite"
11,"global",2070,"pow_combustion_st_ccs_lignite_1",0.0,100000.0,0.0,3990598.64775667,64093.64,3.63558475609756,0.0,0.0,0.0,40,"","v1","","","",2.85714285714286,1.0,0.9,"global_emission_factors.pri_lignite"
12,"DE",2020,"pow_combustion_st_ccs_lignite_1",0.0,100000.0,0.0,4433998.49750742,72557.64,5.6088944261664,0.0,0.0,0.0,40,"","v1","","","",3.125,1.0,0.9,"global_emission_factors.pri_lignite"
13,"DE",2021,"pow_combustion_st_ccs_lignite_1",0.0,100000.0,0.0,4413728.79009024,70272.36,5.49314150457447,0.0,0.0,0.0,40,"","v1","","","",3.06748466257669,1.0,0.9,"global_emission_factors.pri_lignite"
14,"DE",2024,"pow_combustion_st_ccs_lignite_1",0.0,100000.0,0.0,4352919.66783871,69129.72,5.4352650437785,0.0,0.0,0.0,40,"","v1","","","",3.03951367781155,1.0,0.9,"global_emission_factors.pri_lignite"
15,"DE",2027,"pow_combustion_st_ccs_lignite_1",0.0,100000.0,0.0,4292110.54558718,69891.48,5.47384935097581,0.0,0.0,0.0,40,"","v1","","","",3.05810397553517,1.0,0.9,"global_emission_factors.pri_lignite"
16,"DE",2030,"pow_combustion_st_ccs_lignite_1",0.0,100000.0,0.0,4231301.42333565,68748.84,5.41597289017984,0.0,0.0,0.0,40,"","v1","","","",3.03030303030303,1.0,0.9,"global_emission_factors.pri_lignite"
17,"DE",2035,"pow_combustion_st_ccs_lignite_1",0.0,100000.0,0.0,4174292.87122484,66950.24,4.63029713861888,0.0,0.0,0.0,40,"","v1","","","",2.98507462686567,1.0,0.9,"global_emission_factors.pri_lignite"
18,"DE",2040,"pow_combustion_st_ccs_lignite_1",0.0,100000.0,0.0,4117284.31911403,65151.64,3.84462138705792,0.0,0.0,0.0,40,"","v1","","","",2.94117647058824,1.0,0.9,"global_emission_factors.pri_lignite"
19,"DE",2045,"pow_combustion_st_ccs_lignite_1",0.0,100000.0,0.0,4053941.48343535,64622.64,3.74010307157774,0.0,0.0,0.0,40,"","v1","","","",2.89855072463768,1.0,0.9,"global_emission_factors.pri_lignite"
20,"DE",2050,"pow_combustion_st_ccs_lignite_1",0.0,100000.0,0.0,3990598.64775667,64093.64,3.63558475609756,0.0,0.0,0.0,40,"","v1","","","",2.85714285714286,1.0,0.9,"global_emission_factors.pri_lignite"
21,"DE",2060,"pow_combustion_st_ccs_lignite_1",0.0,100000.0,0.0,3990598.64775667,64093.64,3.63558475609756,0.0,0.0,0.0,40,"","v1","","","",2.85714285714286,1.0,0.9,"global_emission_factors.pri_lignite"
22,"DE",2070,"pow_combustion_st_ccs_lignite_1",0.0,100000.0,0.0,3990598.64775667,64093.64,3.63558475609756,0.0,0.0,0.0,40,"","v1","","","",2.85714285714286,1.0,0.9,"global_emission_factors.pri_lignite"
