"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_biomass_pellets_pp","conversion_factor_pri_biomass_pellets_sr","conversion_factor_sec_elec","conversion_factor_sec_heat_low","ef_pri_biomass_pellets_pp_emi_co2_f_pow","ef_pri_biomass_pellets_sr_emi_co2_f_pow"
1,"global",2020,"pow_combustion_st_chp_biomass_12",0.0,100000.0,0.0,131858.217032,3200751.88118,1.97787325548,0.46,1.0,0.0,3.6,180.0,25,"","v1","","","",3.24196398178016,3.24196398178016,1.0,2.17391304347826,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
2,"global",2021,"pow_combustion_st_chp_biomass_12",0.0,100000.0,0.0,131113.8561294,3183737.917692,1.976809882762,0.46,1.0,0.0,3.6,176.4,25,"","v1","","","",3.24101097503546,3.24101097503546,1.0,2.17391304347826,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
3,"global",2024,"pow_combustion_st_chp_biomass_12",0.0,100000.0,0.0,128880.7734216,3132696.027228,1.973619764608,0.46,1.0,0.0,3.6,165.6,25,"","v1","","","",3.2381553135862,3.2381553135862,1.0,2.17391304347826,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
4,"global",2027,"pow_combustion_st_chp_biomass_12",0.0,100000.0,0.0,126647.6907138,3081654.136764,1.970429646454,0.46,1.0,0.0,3.6,154.8,25,"","v1","","","",3.23530467996528,3.23530467996528,1.0,2.17391304347826,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
5,"global",2030,"pow_combustion_st_chp_biomass_12",0.0,100000.0,0.0,124414.608006,3030612.2463,1.9672395283,0.46,1.0,0.0,3.6,144.0,25,"","v1","","","",3.23245906090599,3.23245906090599,1.0,2.17391304347826,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
6,"global",2035,"pow_combustion_st_chp_biomass_12",0.0,100000.0,0.0,122022.0193905,2993394.20117,1.975214823685,0.4575,1.0,0.0,3.6,126.0,25,"","v1","","","",3.24375698421426,3.24375698421426,1.0,2.18579234972678,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
7,"global",2040,"pow_combustion_st_chp_biomass_12",0.0,100000.0,0.0,119629.430775,2956176.15604,1.98319011907,0.455,1.0,0.0,3.6,108.0,25,"","v1","","","",3.25513416035442,3.25513416035442,1.0,2.1978021978022,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
8,"global",2045,"pow_combustion_st_chp_biomass_12",0.0,100000.0,0.0,117236.8421595,2918958.11091,1.991165414455,0.4525,1.0,0.0,3.6,90.0,25,"","v1","","","",3.26659142617748,3.26659142617748,1.0,2.20994475138122,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
9,"global",2050,"pow_combustion_st_chp_biomass_12",0.0,100000.0,0.0,114844.253544,2881740.06578,1.99914070984,0.45,1.0,0.0,3.6,72.0,25,"","v1","","","",3.2781296303581,3.2781296303581,1.0,2.22222222222222,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
10,"global",2060,"pow_combustion_st_chp_biomass_12",0.0,100000.0,0.0,114844.253544,2881740.06578,1.99914070984,0.45,1.0,0.0,3.6,72.0,25,"","v1","","","",3.2781296303581,3.2781296303581,1.0,2.22222222222222,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
11,"global",2070,"pow_combustion_st_chp_biomass_12",0.0,100000.0,0.0,114844.253544,2881740.06578,1.99914070984,0.45,1.0,0.0,3.6,72.0,25,"","v1","","","",3.2781296303581,3.2781296303581,1.0,2.22222222222222,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
12,"global",2020,"pow_combustion_st_chp_biomass_15",0.0,100000.0,0.0,58485.49949,2286251.3437,1.1697099898,0.59,0.17,0.0,3.6,72.0,25,"","v1","","","",2.23713646532438,2.23713646532438,1.0,1.69491525423729,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
13,"global",2021,"pow_combustion_st_chp_biomass_15",0.0,100000.0,0.0,58166.4876746,2274554.243802,1.1697099898,0.59,0.17,0.0,3.6,72.0,25,"","v1","","","",2.23663609930664,2.23663609930664,1.0,1.69491525423729,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
14,"global",2024,"pow_combustion_st_chp_biomass_15",0.0,100000.0,0.0,57209.4522284,2239462.944108,1.1697099898,0.59,0.17,0.0,3.6,72.0,25,"","v1","","","",2.23513634331694,2.23513634331694,1.0,1.69491525423729,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
15,"global",2027,"pow_combustion_st_chp_biomass_15",0.0,100000.0,0.0,56252.4167822,2204371.644414,1.1697099898,0.59,0.17,0.0,3.6,72.0,25,"","v1","","","",2.23363859727496,2.23363859727496,1.0,1.69491525423729,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
16,"global",2030,"pow_combustion_st_chp_biomass_15",0.0,100000.0,0.0,55295.381336,2169280.34472,1.1697099898,0.59,0.17,0.0,3.6,72.0,25,"","v1","","","",2.23214285714286,2.23214285714286,1.0,1.69491525423729,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
17,"global",2035,"pow_combustion_st_chp_biomass_15",0.0,100000.0,0.0,54497.8517975,2132062.29959,1.1697099898,0.5725,0.165,0.0,3.6,63.0,25,"","v1","","","",2.23214285714286,2.23214285714286,1.0,1.74672489082969,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
18,"global",2040,"pow_combustion_st_chp_biomass_15",0.0,100000.0,0.0,53700.322259,2094844.25446,1.1697099898,0.555,0.16,0.0,3.6,54.0,25,"","v1","","","",2.23214285714286,2.23214285714286,1.0,1.8018018018018,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
