"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_biomass_wood_chips_pp","conversion_factor_pri_biomass_wood_chips_pr","conversion_factor_pri_biomass_wood_chips_sr","conversion_factor_sec_elec","conversion_factor_sec_heat_low","ef_pri_biomass_wood_chips_pp_emi_co2_f_pow","ef_pri_biomass_wood_chips_pr_emi_co2_f_pow","ef_pri_biomass_wood_chips_sr_emi_co2_f_pow"
1,"global",2020,"pow_combustion_st_chp_biomass_11",0.0,100000.0,0.0,158442.534982,3764339.42172,4.77454350382,0.37,1.0,7.2,3.6,216.0,25,"","v1","","","",3.36554156612111,3.36554156612111,3.36554156612111,1.0,2.7027027027027,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
2,"global",2021,"pow_combustion_st_chp_biomass_11",0.0,100000.0,0.0,157485.4995358,3745198.712796,4.772416758384,0.37,1.0,7.2,3.6,208.8,25,"","v1","","","",3.36426211639001,3.36426211639001,3.36426211639001,1.0,2.7027027027027,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
3,"global",2024,"pow_combustion_st_chp_biomass_11",0.0,100000.0,0.0,154614.3931972,3687776.586024,4.766036522076,0.37,1.0,7.2,3.6,187.2,25,"","v1","","","",3.36042959731972,3.36042959731972,3.36042959731972,1.0,2.7027027027027,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
4,"global",2027,"pow_combustion_st_chp_biomass_11",0.0,100000.0,0.0,151743.2868586,3630354.459252,4.759656285768,0.37,1.0,7.2,3.6,165.6,25,"","v1","","","",3.35660580021482,3.35660580021482,3.35660580021482,1.0,2.7027027027027,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
5,"global",2030,"pow_combustion_st_chp_biomass_11",0.0,100000.0,0.0,148872.18052,3572932.33248,4.75327604946,0.37,1.0,7.2,3.6,144.0,25,"","v1","","","",3.35279069533526,3.35279069533526,3.35279069533526,1.0,2.7027027027027,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
6,"global",2035,"pow_combustion_st_chp_biomass_11",0.0,100000.0,0.0,145947.9055455,3530397.42376,4.77454350382,0.3675,1.0,6.3,3.6,126.0,25,"","v1","","","",3.36806084738727,3.36806084738727,3.36806084738727,1.0,2.72108843537415,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
7,"global",2040,"pow_combustion_st_chp_biomass_11",0.0,100000.0,0.0,143023.630571,3487862.51504,4.79581095818,0.365,1.0,5.4,3.6,108.0,25,"","v1","","","",3.38347073044058,3.38347073044058,3.38347073044058,1.0,2.73972602739726,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
8,"global",2045,"pow_combustion_st_chp_biomass_11",0.0,100000.0,0.0,140099.3555965,3445327.60632,4.81707841254,0.3625,1.0,4.5,3.6,90.0,25,"","v1","","","",3.39902227124368,3.39902227124368,3.39902227124368,1.0,2.75862068965517,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
9,"global",2050,"pow_combustion_st_chp_biomass_11",0.0,100000.0,0.0,137175.080622,3402792.6976,4.8383458669,0.36,1.0,3.6,3.6,72.0,25,"","v1","","","",3.41471743213249,3.41471743213249,3.41471743213249,1.0,2.77777777777778,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
10,"global",2060,"pow_combustion_st_chp_biomass_11",0.0,100000.0,0.0,137175.080622,3402792.6976,4.8383458669,0.36,1.0,3.6,3.6,72.0,25,"","v1","","","",3.41471743213249,3.41471743213249,3.41471743213249,1.0,2.77777777777778,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
11,"global",2070,"pow_combustion_st_chp_biomass_11",0.0,100000.0,0.0,137175.080622,3402792.6976,4.8383458669,0.36,1.0,3.6,3.6,72.0,25,"","v1","","","",3.41471743213249,3.41471743213249,3.41471743213249,1.0,2.77777777777778,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
12,"global",2020,"pow_combustion_st_chp_biomass_14",0.0,100000.0,0.0,73372.717542,2658431.795,2.7647690668,0.45,0.14,7.2,28.8,72.0,25,"","v1","","","",2.32558139534884,2.32558139534884,2.32558139534884,1.0,2.22222222222222,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
