"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_waste_other_bio_sr","conversion_factor_sec_elec","conversion_factor_sec_heat_low","ef_pri_waste_other_bio_sr_emi_co2_f_pow"
1,"CH",2020,"pow_combustion_st_chp_biomass_09",1.64,0.0,0.0,32798.0,2010200.0,3.0682,0.84,0.15,0.0,0.0,0.0,0,"","v1","","","",2.17391304347826,1.0,1.19047619047619,"global_emission_factors.pri_waste_other_bio_sr"
2,"CH",2021,"pow_combustion_st_chp_biomass_09",1.64,0.0,0.0,32798.0,2010200.0,3.0682,0.84,0.15,0.0,0.0,0.0,0,"","v1","","","",2.17391304347826,1.0,1.19047619047619,"global_emission_factors.pri_waste_other_bio_sr"
3,"CH",2024,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
4,"CH",2027,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
5,"CH",2030,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
6,"CH",2035,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
7,"CH",2040,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
8,"CH",2045,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
9,"CH",2050,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
10,"CH",2060,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
11,"CH",2070,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
12,"DE",2020,"pow_combustion_ic_chp_syngas_010",0.38,0.0,0.0,55339.5025772173,1832099.86511638,0.862585672197621,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",3.01576298701299,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
13,"DE",2021,"pow_combustion_ic_chp_syngas_010",0.38,0.0,0.0,55339.5025772173,1832099.86511638,0.862585672197621,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",3.01576298701299,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
14,"DE",2024,"pow_combustion_ic_chp_syngas_010",0.38,0.0,0.0,55339.5025772173,1832099.86511638,0.862585672197621,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",3.01576298701299,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
15,"DE",2027,"pow_combustion_ic_chp_syngas_010",0.38,0.0,0.0,55339.5025772173,1832099.86511638,0.862585672197621,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",3.01576298701299,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
16,"DE",2030,"pow_combustion_ic_chp_syngas_010",0.38,0.0,0.0,55339.5025772173,1832099.86511638,0.862585672197621,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",3.01576298701299,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
17,"DE",2035,"pow_combustion_ic_chp_syngas_010",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
18,"DE",2040,"pow_combustion_ic_chp_syngas_010",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
19,"DE",2045,"pow_combustion_ic_chp_syngas_010",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
20,"DE",2050,"pow_combustion_ic_chp_syngas_010",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
21,"DE",2060,"pow_combustion_ic_chp_syngas_010",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
22,"DE",2070,"pow_combustion_ic_chp_syngas_010",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
23,"DE",2020,"pow_combustion_st_chp_biomass_09",243.125,0.0,0.0,96811.8064205655,3481067.13143183,4.75797453289932,0.517602879177378,0.141940071979434,0.0,0.0,0.0,0,"","v1","","","",2.29452412584175,1.0,1.93198307086176,"global_emission_factors.pri_waste_other_bio_sr"
24,"DE",2021,"pow_combustion_st_chp_biomass_09",243.125,0.0,0.0,96811.8064205655,3481067.13143183,4.75797453289932,0.517602879177378,0.141940071979434,0.0,0.0,0.0,0,"","v1","","","",2.29452412584175,1.0,1.93198307086176,"global_emission_factors.pri_waste_other_bio_sr"
25,"DE",2024,"pow_combustion_st_chp_biomass_09",172.747,0.0,0.0,93796.6146561156,3414582.182727,4.52999266138799,0.515185097280995,0.141879627432025,0.0,0.0,0.0,0,"","v1","","","",2.29547921601811,1.0,1.94104993579536,"global_emission_factors.pri_waste_other_bio_sr"
26,"DE",2027,"pow_combustion_st_chp_biomass_09",172.747,0.0,0.0,93796.6146561156,3414582.182727,4.52999266138799,0.515185097280995,0.141879627432025,0.0,0.0,0.0,0,"","v1","","","",2.29547921601811,1.0,1.94104993579536,"global_emission_factors.pri_waste_other_bio_sr"
27,"DE",2030,"pow_combustion_st_chp_biomass_09",65.232,0.0,0.0,85495.294518028,3223459.38164755,4.33105685069623,0.559389256806475,0.142984731420162,0.0,0.0,0.0,0,"","v1","","","",2.27814203184621,1.0,1.78766393496534,"global_emission_factors.pri_waste_other_bio_sr"
28,"DE",2035,"pow_combustion_st_chp_biomass_09",65.232,0.0,0.0,85495.294518028,3223459.38164755,4.33105685069623,0.559389256806475,0.142984731420162,0.0,0.0,0.0,0,"","v1","","","",2.27814203184621,1.0,1.78766393496534,"global_emission_factors.pri_waste_other_bio_sr"
29,"DE",2040,"pow_combustion_st_chp_biomass_09",19.47,0.0,0.0,32798.0,2010200.0,3.0682,0.84,0.15,0.0,0.0,0.0,0,"","v1","","","",2.17391304347826,1.0,1.19047619047619,"global_emission_factors.pri_waste_other_bio_sr"
30,"DE",2045,"pow_combustion_st_chp_biomass_09",19.47,0.0,0.0,32798.0,2010200.0,3.0682,0.84,0.15,0.0,0.0,0.0,0,"","v1","","","",2.17391304347826,1.0,1.19047619047619,"global_emission_factors.pri_waste_other_bio_sr"
31,"DE",2050,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
32,"DE",2060,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
33,"DE",2070,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
34,"ES",2020,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
35,"ES",2021,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
36,"ES",2024,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
37,"ES",2027,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
38,"ES",2030,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
39,"ES",2035,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
40,"ES",2040,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
41,"ES",2045,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
42,"ES",2050,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
43,"ES",2060,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
44,"ES",2070,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
45,"FI",2020,"pow_combustion_st_chp_biomass_09",293.405,0.0,0.0,32798.0,2010200.0,3.0682,0.84,0.15,0.0,0.0,0.0,0,"","v1","","","",2.17391304347826,1.0,1.19047619047619,"global_emission_factors.pri_waste_other_bio_sr"
46,"FI",2021,"pow_combustion_st_chp_biomass_09",293.405,0.0,0.0,32798.0,2010200.0,3.0682,0.84,0.15,0.0,0.0,0.0,0,"","v1","","","",2.17391304347826,1.0,1.19047619047619,"global_emission_factors.pri_waste_other_bio_sr"
47,"FI",2024,"pow_combustion_st_chp_biomass_09",260.0,0.0,0.0,32798.0,2010200.0,3.0682,0.84,0.15,0.0,0.0,0.0,0,"","v1","","","",2.17391304347826,1.0,1.19047619047619,"global_emission_factors.pri_waste_other_bio_sr"
48,"FI",2027,"pow_combustion_st_chp_biomass_09",260.0,0.0,0.0,32798.0,2010200.0,3.0682,0.84,0.15,0.0,0.0,0.0,0,"","v1","","","",2.17391304347826,1.0,1.19047619047619,"global_emission_factors.pri_waste_other_bio_sr"
49,"FI",2030,"pow_combustion_st_chp_biomass_09",110.0,0.0,0.0,32798.0,2010200.0,3.0682,0.84,0.15,0.0,0.0,0.0,0,"","v1","","","",2.17391304347826,1.0,1.19047619047619,"global_emission_factors.pri_waste_other_bio_sr"
50,"FI",2035,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
51,"FI",2040,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
52,"FI",2045,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
53,"FI",2050,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
54,"FI",2060,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
55,"FI",2070,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
56,"FR",2020,"pow_combustion_st_chp_biomass_09",12.0,0.0,0.0,32798.0,2010200.0,3.0682,0.84,0.15,0.0,0.0,0.0,0,"","v1","","","",2.17391304347826,1.0,1.19047619047619,"global_emission_factors.pri_waste_other_bio_sr"
57,"FR",2021,"pow_combustion_st_chp_biomass_09",12.0,0.0,0.0,32798.0,2010200.0,3.0682,0.84,0.15,0.0,0.0,0.0,0,"","v1","","","",2.17391304347826,1.0,1.19047619047619,"global_emission_factors.pri_waste_other_bio_sr"
58,"FR",2024,"pow_combustion_st_chp_biomass_09",12.0,0.0,0.0,32798.0,2010200.0,3.0682,0.84,0.15,0.0,0.0,0.0,0,"","v1","","","",2.17391304347826,1.0,1.19047619047619,"global_emission_factors.pri_waste_other_bio_sr"
59,"FR",2027,"pow_combustion_st_chp_biomass_09",12.0,0.0,0.0,32798.0,2010200.0,3.0682,0.84,0.15,0.0,0.0,0.0,0,"","v1","","","",2.17391304347826,1.0,1.19047619047619,"global_emission_factors.pri_waste_other_bio_sr"
60,"FR",2030,"pow_combustion_st_chp_biomass_09",12.0,0.0,0.0,32798.0,2010200.0,3.0682,0.84,0.15,0.0,0.0,0.0,0,"","v1","","","",2.17391304347826,1.0,1.19047619047619,"global_emission_factors.pri_waste_other_bio_sr"
61,"FR",2035,"pow_combustion_st_chp_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr"
