"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_biomass_wood_chips_pp","conversion_factor_pri_biomass_wood_chips_pr","conversion_factor_pri_biomass_wood_chips_sr","conversion_factor_pri_biomass_pellets_pp","conversion_factor_pri_biomass_pellets_sr","conversion_factor_pri_biomass_straw_bales_pr","conversion_factor_sec_elec","conversion_factor_sec_heat_low","emi_co2_neg_fuel_cc_pow","ef_pri_biomass_wood_chips_pp_emi_co2_f_pow","ef_pri_biomass_wood_chips_pr_emi_co2_f_pow","ef_pri_biomass_wood_chips_sr_emi_co2_f_pow","ef_pri_biomass_pellets_pp_emi_co2_f_pow","ef_pri_biomass_pellets_sr_emi_co2_f_pow","ef_pri_biomass_straw_bales_pr_emi_co2_f_pow"
1,"global",2020,"pow_combustion_st_chp_ccs_biomass_1_ag",0.0,100000.0,0.0,149348.934216,4320112.931932,3.30284321874,0.466,0.662,2.88,8.64,158.4,25,"","v1","","","",3.61367204623527,3.61367204623527,3.61367204623527,3.61367204623527,3.61367204623527,3.61367204623527,1.0,2.14592274678112,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
2,"global",2021,"pow_combustion_st_chp_ccs_biomass_1_ag",0.0,100000.0,0.0,146921.87418852,4235578.3289052,3.3019925205656,0.4654,0.662,2.88,8.496,154.8,25,"","v1","","","",3.59977342131747,3.59977342131747,3.59977342131747,3.59977342131747,3.59977342131747,3.59977342131747,1.0,2.14868929952729,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
3,"global",2024,"pow_combustion_st_chp_ccs_biomass_1_ag",0.0,100000.0,0.0,139640.69410608,3981974.5198248,3.2994404260424,0.4636,0.662,2.88,8.064,144.0,25,"","v1","","","",3.55866207007701,3.55866207007701,3.55866207007701,3.55866207007701,3.55866207007701,3.55866207007701,1.0,2.15703192407248,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
4,"global",2027,"pow_combustion_st_chp_ccs_biomass_1_ag",0.0,100000.0,0.0,133509.67004604,3797380.0720884,3.2968883315192,0.4618,0.662,2.88,7.632,133.2,25,"","v1","","","",3.5210954579638,3.5210954579638,3.5210954579638,3.5210954579638,3.5210954579638,3.5210954579638,1.0,2.1654395842356,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
5,"global",2030,"pow_combustion_st_chp_ccs_biomass_1_ag",0.0,100000.0,0.0,127953.7239972,3647290.305024,3.294336236996,0.46,0.662,2.88,7.2,122.4,25,"","v1","","","",3.48556699045347,3.48556699045347,3.48556699045347,3.48556699045347,3.48556699045347,3.48556699045347,1.0,2.17391304347826,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
6,"global",2035,"pow_combustion_st_chp_ccs_biomass_1_ag",0.0,100000.0,0.0,125174.2943617,3583050.504726,3.327064696112,0.454,0.6605,2.52,7.02,108.0,25,"","v1","","","",3.49552893717584,3.49552893717584,3.49552893717584,3.49552893717584,3.49552893717584,3.49552893717584,1.0,2.20264317180617,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
7,"global",2040,"pow_combustion_st_chp_ccs_biomass_1_ag",0.0,100000.0,0.0,122314.9927802,3516414.546048,3.359793155228,0.448,0.659,2.16,6.84,93.6,25,"","v1","","","",3.50567269284413,3.50567269284413,3.50567269284413,3.50567269284413,3.50567269284413,3.50567269284413,1.0,2.23214285714286,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
8,"global",2045,"pow_combustion_st_chp_ccs_biomass_1_ag",0.0,100000.0,0.0,120454.0905237,3462957.45846,3.372553627844,0.442,0.6575,1.8,6.66,79.2,25,"","v1","","","",3.51599855960848,3.51599855960848,3.51599855960848,3.51599855960848,3.51599855960848,3.51599855960848,1.0,2.26244343891403,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
9,"global",2050,"pow_combustion_st_chp_ccs_biomass_1_ag",0.0,100000.0,0.0,118593.1882672,3409500.370872,3.38531410046,0.436,0.656,1.44,6.48,64.8,25,"","v1","","","",3.52650691872445,3.52650691872445,3.52650691872445,3.52650691872445,3.52650691872445,3.52650691872445,1.0,2.29357798165138,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
10,"global",2060,"pow_combustion_st_chp_ccs_biomass_1_ag",0.0,100000.0,0.0,118593.1882672,3409500.370872,3.38531410046,0.436,0.656,1.44,6.48,64.8,25,"","v1","","","",3.52650691872445,3.52650691872445,3.52650691872445,3.52650691872445,3.52650691872445,3.52650691872445,1.0,2.29357798165138,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_biomass_straw_bales_pr"
