"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_biomass_pellets_pp","conversion_factor_pri_biomass_pellets_sr","conversion_factor_sec_elec","conversion_factor_sec_heat_low","emi_co2_neg_fuel_cc_pow","ef_pri_biomass_pellets_pp_emi_co2_f_pow","ef_pri_biomass_pellets_sr_emi_co2_f_pow"
1,"global",2020,"pow_combustion_st_chp_ccs_biomass_12",0.0,100000.0,0.0,165614.52056,4354092.25172,2.68112957898,0.46,1.0,0.0,3.6,180.0,25,"","v1","","","",4.21439296363706,4.21439296363706,1.0,2.17391304347826,0.9,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
2,"global",2021,"pow_combustion_st_chp_ccs_biomass_12",0.0,100000.0,0.0,163182.344481,4269565.681176,2.680066206262,0.46,1.0,0.0,3.6,176.4,25,"","v1","","","",4.19835472441857,4.19835472441857,1.0,2.17391304347826,0.9,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
3,"global",2024,"pow_combustion_st_chp_ccs_biomass_12",0.0,100000.0,0.0,155885.816244,4015985.969544,2.676876088108,0.46,1.0,0.0,3.6,165.6,25,"","v1","","","",4.15091329971654,4.15091329971654,1.0,2.17391304347826,0.9,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
4,"global",2027,"pow_combustion_st_chp_ccs_biomass_12",0.0,100000.0,0.0,149714.4981246,3829918.864968,2.673685969954,0.46,1.0,0.0,3.6,154.8,25,"","v1","","","",4.10759447854234,4.10759447854234,1.0,2.17391304347826,0.9,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
5,"global",2030,"pow_combustion_st_chp_ccs_biomass_12",0.0,100000.0,0.0,144105.785064,3677608.06392,2.6704958518,0.46,1.0,0.0,3.6,144.0,25,"","v1","","","",4.06664204370969,4.06664204370969,1.0,2.17391304347826,0.9,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
6,"global",2035,"pow_combustion_st_chp_ccs_biomass_12",0.0,100000.0,0.0,140814.59114625,3614994.6515525,2.69800604506,0.4575,1.0,0.0,3.6,126.0,25,"","v1","","","",4.07415877191236,4.07415877191236,1.0,2.18579234972678,0.9,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
7,"global",2040,"pow_combustion_st_chp_ccs_biomass_12",0.0,100000.0,0.0,137445.257637,3550037.05144,2.72551623832,0.455,1.0,0.0,3.6,108.0,25,"","v1","","","",4.08183490169494,4.08183490169494,1.0,2.1978021978022,0.9,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
8,"global",2045,"pow_combustion_st_chp_ccs_biomass_12",0.0,100000.0,0.0,135052.6690215,3497972.483925,2.733491533705,0.4525,1.0,0.0,3.6,90.0,25,"","v1","","","",4.0896695826726,4.0896695826726,1.0,2.20994475138122,0.9,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
9,"global",2050,"pow_combustion_st_chp_ccs_biomass_12",0.0,100000.0,0.0,132660.080406,3445907.91641,2.74146682909,0.45,1.0,0.0,3.6,72.0,25,"","v1","","","",4.09766203794763,4.09766203794763,1.0,2.22222222222222,0.9,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
10,"global",2060,"pow_combustion_st_chp_ccs_biomass_12",0.0,100000.0,0.0,132660.080406,3445907.91641,2.74146682909,0.45,1.0,0.0,3.6,72.0,25,"","v1","","","",4.09766203794763,4.09766203794763,1.0,2.22222222222222,0.9,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
11,"global",2070,"pow_combustion_st_chp_ccs_biomass_12",0.0,100000.0,0.0,132660.080406,3445907.91641,2.74146682909,0.45,1.0,0.0,3.6,72.0,25,"","v1","","","",4.09766203794763,4.09766203794763,1.0,2.22222222222222,0.9,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
12,"global",2020,"pow_combustion_st_chp_ccs_biomass_15",0.0,100000.0,0.0,92639.449406,3453177.96583,1.88125061305,0.59,0.17,0.0,3.6,72.0,25,"","v1","","","",2.90816684921403,2.90816684921403,1.0,1.69491525423729,0.9,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
13,"global",2021,"pow_combustion_st_chp_ccs_biomass_15",0.0,100000.0,0.0,90612.7400948,3373172.9661,1.88125061305,0.59,0.17,0.0,3.6,72.0,25,"","v1","","","",2.8973032818028,2.8973032818028,1.0,1.69491525423729,0.9,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
14,"global",2024,"pow_combustion_st_chp_ccs_biomass_15",0.0,100000.0,0.0,84532.6121612,3133157.96691,1.88125061305,0.59,0.17,0.0,3.6,72.0,25,"","v1","","","",2.86516744123648,2.86516744123648,1.0,1.69491525423729,0.9,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
15,"global",2027,"pow_combustion_st_chp_ccs_biomass_15",0.0,100000.0,0.0,79590.9492248,2961450.867552,1.88125061305,0.59,0.17,0.0,3.6,72.0,25,"","v1","","","",2.83586322674381,2.83586322674381,1.0,1.69491525423729,0.9,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
16,"global",2030,"pow_combustion_st_chp_ccs_biomass_15",0.0,100000.0,0.0,75218.518787,2823897.71811,1.88125061305,0.59,0.17,0.0,3.6,72.0,25,"","v1","","","",2.80817972304937,2.80817972304937,1.0,1.69491525423729,0.9,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
17,"global",2035,"pow_combustion_st_chp_ccs_biomass_15",0.0,100000.0,0.0,73511.798452125,2760985.15047375,1.9010156303625,0.5725,0.165,0.0,3.6,63.0,25,"","v1","","","",2.803571428392,2.803571428392,1.0,1.74672489082969,0.9,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
18,"global",2040,"pow_combustion_st_chp_ccs_biomass_15",0.0,100000.0,0.0,71726.018048,2695700.78076,1.920780647675,0.555,0.16,0.0,3.6,54.0,25,"","v1","","","",2.79903628268973,2.79903628268973,1.0,1.8018018018018,0.9,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
19,"global",2045,"pow_combustion_st_chp_ccs_biomass_15",0.0,100000.0,0.0,70928.4885095,2643461.3224725,1.920780647675,0.5375,0.155,0.0,3.6,45.0,25,"","v1","","","",2.79457255470708,2.79457255470708,1.0,1.86046511627907,0.9,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
20,"global",2050,"pow_combustion_st_chp_ccs_biomass_15",0.0,100000.0,0.0,70130.958971,2591221.864185,1.920780647675,0.52,0.15,0.0,3.6,36.0,25,"","v1","","","",2.79017857142857,2.79017857142857,1.0,1.92307692307692,0.9,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
21,"global",2060,"pow_combustion_st_chp_ccs_biomass_15",0.0,100000.0,0.0,70130.958971,2591221.864185,1.920780647675,0.52,0.15,0.0,3.6,36.0,25,"","v1","","","",2.79017857142857,2.79017857142857,1.0,1.92307692307692,0.9,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
22,"global",2070,"pow_combustion_st_chp_ccs_biomass_15",0.0,100000.0,0.0,70130.958971,2591221.864185,1.920780647675,0.52,0.15,0.0,3.6,36.0,25,"","v1","","","",2.79017857142857,2.79017857142857,1.0,1.92307692307692,0.9,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
23,"DE",2020,"pow_combustion_st_chp_ccs_biomass_12",0.0,100000.0,0.0,165614.52056,4354092.25172,2.68112957898,0.46,1.0,0.0,3.6,180.0,25,"","v1","","","",4.21439296363706,4.21439296363706,1.0,2.17391304347826,0.9,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
24,"DE",2021,"pow_combustion_st_chp_ccs_biomass_12",0.0,100000.0,0.0,163182.344481,4269565.681176,2.680066206262,0.46,1.0,0.0,3.6,176.4,25,"","v1","","","",4.19835472441857,4.19835472441857,1.0,2.17391304347826,0.9,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
25,"DE",2024,"pow_combustion_st_chp_ccs_biomass_12",0.0,100000.0,0.0,155885.816244,4015985.969544,2.676876088108,0.46,1.0,0.0,3.6,165.6,25,"","v1","","","",4.15091329971654,4.15091329971654,1.0,2.17391304347826,0.9,"global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_pellets_sr"
