"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_biomass_wood_chips_pp","conversion_factor_pri_biomass_wood_chips_pr","conversion_factor_pri_biomass_wood_chips_sr","conversion_factor_sec_elec","conversion_factor_sec_heat_low","emi_co2_neg_fuel_cc_pow","ef_pri_biomass_wood_chips_pp_emi_co2_f_pow","ef_pri_biomass_wood_chips_pr_emi_co2_f_pow","ef_pri_biomass_wood_chips_sr_emi_co2_f_pow"
1,"global",2020,"pow_combustion_st_chp_ccs_biomass_11",0.0,100000.0,0.0,192596.484898,4931266.04385,5.48608412707,0.37,1.0,7.2,3.6,216.0,25,"","v1","","","",4.37503771627364,4.37503771627364,4.37503771627364,1.0,2.7027027027027,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
2,"global",2021,"pow_combustion_st_chp_ccs_biomass_11",0.0,100000.0,0.0,189931.751956,4843817.435094,5.483957381634,0.37,1.0,7.2,3.6,208.8,25,"","v1","","","",4.35801231755281,4.35801231755281,4.35801231755281,1.0,2.7027027027027,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
3,"global",2024,"pow_combustion_st_chp_ccs_biomass_11",0.0,100000.0,0.0,181937.55313,4581471.608826,5.477577145326,0.37,1.0,7.2,3.6,187.2,25,"","v1","","","",4.30765375883945,4.30765375883945,4.30765375883945,1.0,2.7027027027027,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
4,"global",2027,"pow_combustion_st_chp_ccs_biomass_11",0.0,100000.0,0.0,175081.8193012,4387433.68239,5.471196909018,0.37,1.0,7.2,3.6,165.6,25,"","v1","","","",4.26160031757923,4.26160031757923,4.26160031757923,1.0,2.7027027027027,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
5,"global",2030,"pow_combustion_st_chp_ccs_biomass_11",0.0,100000.0,0.0,168795.317971,4227549.70587,5.46481667271,0.37,1.0,7.2,3.6,144.0,25,"","v1","","","",4.21802700312855,4.21802700312855,4.21802700312855,1.0,2.7027027027027,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
6,"global",2035,"pow_combustion_st_chp_ccs_biomass_11",0.0,100000.0,0.0,164961.852200125,4159320.27464375,5.5058491443825,0.3675,1.0,6.3,3.6,126.0,25,"","v1","","","",4.23028442404767,4.23028442404767,4.23028442404767,1.0,2.72108843537415,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
7,"global",2040,"pow_combustion_st_chp_ccs_biomass_11",0.0,100000.0,0.0,161049.32636,4088719.04134,5.546881616055,0.365,1.0,5.4,3.6,108.0,25,"","v1","","","",4.24276488649301,4.24276488649301,4.24276488649301,1.0,2.73972602739726,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
8,"global",2045,"pow_combustion_st_chp_ccs_biomass_11",0.0,100000.0,0.0,158125.0513855,4031162.7194625,5.568149070415,0.3625,1.0,4.5,3.6,90.0,25,"","v1","","","",4.25546882972096,4.25546882972096,4.25546882972096,1.0,2.75862068965517,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
9,"global",2050,"pow_combustion_st_chp_ccs_biomass_11",0.0,100000.0,0.0,155200.776411,3973606.397585,5.589416524775,0.36,1.0,3.6,3.6,72.0,25,"","v1","","","",4.26839679016561,4.26839679016561,4.26839679016561,1.0,2.77777777777778,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
10,"global",2060,"pow_combustion_st_chp_ccs_biomass_11",0.0,100000.0,0.0,155200.776411,3973606.397585,5.589416524775,0.36,1.0,3.6,3.6,72.0,25,"","v1","","","",4.26839679016561,4.26839679016561,4.26839679016561,1.0,2.77777777777778,0.9,"global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
