"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_biomass_straw_bales_pr","conversion_factor_sec_elec","conversion_factor_sec_heat_low","emi_co2_neg_fuel_cc_pow","ef_pri_biomass_straw_bales_pr_emi_co2_f_pow"
1,"global",2020,"pow_combustion_st_chp_ccs_biomass_13",0.0,100000.0,0.0,186946.298674,4988110.60326,2.9598327078,0.46,1.0,0.0,3.6,252.0,25,"","v1","","","",4.1128305626524,1.0,2.17391304347826,0.9,"global_emission_factors.pri_biomass_straw_bales_pr"
2,"global",2021,"pow_combustion_st_chp_ccs_biomass_13",0.0,100000.0,0.0,184245.0632278,4899201.894336,2.958769335082,0.46,1.0,0.0,3.6,244.8,25,"","v1","","","",4.09710806987002,1.0,2.17391304347826,0.9,"global_emission_factors.pri_biomass_straw_bales_pr"
3,"global",2024,"pow_combustion_st_chp_ccs_biomass_13",0.0,100000.0,0.0,176141.3568892,4632475.767564,2.955579216928,0.46,1.0,0.0,3.6,223.2,25,"","v1","","","",4.05060111812848,1.0,2.17391304347826,0.9,"global_emission_factors.pri_biomass_straw_bales_pr"
4,"global",2027,"pow_combustion_st_chp_ccs_biomass_13",0.0,100000.0,0.0,169200.4505506,4435517.640792,2.952389098774,0.46,1.0,0.0,3.6,201.6,25,"","v1","","","",4.00812211174237,1.0,2.17391304347826,0.9,"global_emission_factors.pri_biomass_straw_bales_pr"
5,"global",2030,"pow_combustion_st_chp_ccs_biomass_13",0.0,100000.0,0.0,162840.944212,4273443.51402,2.94919898062,0.46,1.0,0.0,3.6,180.0,25,"","v1","","","",3.96795681496681,1.0,2.17391304347826,0.9,"global_emission_factors.pri_biomass_straw_bales_pr"
6,"global",2035,"pow_combustion_st_chp_ccs_biomass_13",0.0,100000.0,0.0,159253.887417,4199347.99171,2.977361776005,0.4575,1.0,0.0,3.6,162.0,25,"","v1","","","",3.97607391166726,1.0,2.18579234972678,0.9,"global_emission_factors.pri_biomass_straw_bales_pr"
7,"global",2040,"pow_combustion_st_chp_ccs_biomass_13",0.0,100000.0,0.0,155586.080622,4122829.9694,3.00552457139,0.455,1.0,0.0,3.6,144.0,25,"","v1","","","",3.98435530496659,1.0,2.1978021978022,0.9,"global_emission_factors.pri_biomass_straw_bales_pr"
8,"global",2045,"pow_combustion_st_chp_ccs_biomass_13",0.0,100000.0,0.0,152927.648827,4059635.69709,3.013499866775,0.4525,1.0,0.0,3.6,126.0,25,"","v1","","","",3.99280035498793,1.0,2.20994475138122,0.9,"global_emission_factors.pri_biomass_straw_bales_pr"
9,"global",2050,"pow_combustion_st_chp_ccs_biomass_13",0.0,100000.0,0.0,150269.217032,3996441.42478,3.02147516216,0.45,1.0,0.0,3.6,108.0,25,"","v1","","","",4.00140849579052,1.0,2.22222222222222,0.9,"global_emission_factors.pri_biomass_straw_bales_pr"
10,"global",2060,"pow_combustion_st_chp_ccs_biomass_13",0.0,100000.0,0.0,150269.217032,3996441.42478,3.02147516216,0.45,1.0,0.0,3.6,108.0,25,"","v1","","","",4.00140849579052,1.0,2.22222222222222,0.9,"global_emission_factors.pri_biomass_straw_bales_pr"
11,"global",2070,"pow_combustion_st_chp_ccs_biomass_13",0.0,100000.0,0.0,150269.217032,3996441.42478,3.02147516216,0.45,1.0,0.0,3.6,108.0,25,"","v1","","","",4.00140849579052,1.0,2.22222222222222,0.9,"global_emission_factors.pri_biomass_straw_bales_pr"
12,"DE",2020,"pow_combustion_st_chp_ccs_biomass_13",0.0,100000.0,0.0,186946.298674,4988110.60326,2.9598327078,0.46,1.0,0.0,3.6,252.0,25,"","v1","","","",4.1128305626524,1.0,2.17391304347826,0.9,"global_emission_factors.pri_biomass_straw_bales_pr"
13,"DE",2021,"pow_combustion_st_chp_ccs_biomass_13",0.0,100000.0,0.0,184245.0632278,4899201.894336,2.958769335082,0.46,1.0,0.0,3.6,244.8,25,"","v1","","","",4.09710806987002,1.0,2.17391304347826,0.9,"global_emission_factors.pri_biomass_straw_bales_pr"
14,"DE",2024,"pow_combustion_st_chp_ccs_biomass_13",0.0,100000.0,0.0,176141.3568892,4632475.767564,2.955579216928,0.46,1.0,0.0,3.6,223.2,25,"","v1","","","",4.05060111812848,1.0,2.17391304347826,0.9,"global_emission_factors.pri_biomass_straw_bales_pr"
15,"DE",2027,"pow_combustion_st_chp_ccs_biomass_13",0.0,100000.0,0.0,169200.4505506,4435517.640792,2.952389098774,0.46,1.0,0.0,3.6,201.6,25,"","v1","","","",4.00812211174237,1.0,2.17391304347826,0.9,"global_emission_factors.pri_biomass_straw_bales_pr"
