"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_coal","conversion_factor_sec_elec","conversion_factor_sec_heat_low","ef_pri_coal_emi_co2_f_pow"
1,"global",2020,"pow_combustion_st_chp_coal_1",0.0,100000.0,0.0,35053.6076589879,2148446.92103474,3.27920845842145,0.84,0.15,5.4,2.88,126.0,25,"","v1","","","",2.06185567010309,1.0,1.19047619047619,"global_emission_factors.pri_coal"
2,"global",2024,"pow_combustion_st_chp_coal_1",0.0,100000.0,0.0,34761.925458896,2130354.73643656,3.25207018152417,0.908,0.15,5.4,2.88,126.0,25,"","v1","","","",2.00400801603206,1.0,1.10132158590308,"global_emission_factors.pri_coal"
3,"global",2027,"pow_combustion_st_chp_coal_1",0.0,100000.0,0.0,34543.163808827,2116785.59798792,3.23171647385121,0.959,0.15,5.4,2.88,126.0,25,"","v1","","","",1.96270853778214,1.0,1.04275286757039,"global_emission_factors.pri_coal"
4,"global",2030,"pow_combustion_st_chp_coal_1",0.0,100000.0,0.0,34324.402158758,2103216.45953928,3.21136276617825,1.01,0.15,5.4,2.88,126.0,25,"","v1","","","",1.92307692307692,1.0,0.99009900990099,"global_emission_factors.pri_coal"
5,"global",2035,"pow_combustion_st_chp_coal_1",0.0,100000.0,0.0,33971.0957164015,2080601.22879154,3.17743992005665,1.01,0.15,5.4,2.88,126.0,25,"","v1","","","",1.90930787589499,1.0,0.99009900990099,"global_emission_factors.pri_coal"
6,"global",2040,"pow_combustion_st_chp_coal_1",0.0,100000.0,0.0,33617.789274045,2057985.99804381,3.14351707393505,1.01,0.15,5.4,2.88,126.0,25,"","v1","","","",1.8957345971564,1.0,0.99009900990099,"global_emission_factors.pri_coal"
7,"global",2045,"pow_combustion_st_chp_coal_1",0.0,100000.0,0.0,33264.4828316886,2035370.76729607,3.10959422781345,1.01,0.15,5.4,2.88,126.0,25,"","v1","","","",1.88235294117647,1.0,0.99009900990099,"global_emission_factors.pri_coal"
8,"global",2050,"pow_combustion_st_chp_coal_1",0.0,100000.0,0.0,32911.1763893321,2012755.53654834,3.07567138169185,1.01,0.15,5.4,2.88,126.0,25,"","v1","","","",1.86915887850467,1.0,0.99009900990099,"global_emission_factors.pri_coal"
9,"global",2060,"pow_combustion_st_chp_coal_1",0.0,100000.0,0.0,32911.1763893321,2012755.53654834,3.07567138169185,1.01,0.15,5.4,2.88,126.0,25,"","v1","","","",1.86915887850467,1.0,0.99009900990099,"global_emission_factors.pri_coal"
10,"global",2070,"pow_combustion_st_chp_coal_1",0.0,100000.0,0.0,32911.1763893321,2012755.53654834,3.07567138169185,1.01,0.15,5.4,2.88,126.0,25,"","v1","","","",1.86915887850467,1.0,0.99009900990099,"global_emission_factors.pri_coal"
11,"AT",2020,"pow_combustion_cc_chp_coal_0",117.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.60910851378199,1.0,1.33333333333333,"global_emission_factors.pri_coal"
12,"AT",2021,"pow_combustion_cc_chp_coal_0",117.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.60910851378199,1.0,1.33333333333333,"global_emission_factors.pri_coal"
13,"AT",2024,"pow_combustion_cc_chp_coal_0",117.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.60910851378199,1.0,1.33333333333333,"global_emission_factors.pri_coal"
14,"AT",2027,"pow_combustion_cc_chp_coal_0",117.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.60910851378199,1.0,1.33333333333333,"global_emission_factors.pri_coal"
15,"AT",2030,"pow_combustion_cc_chp_coal_0",117.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.60910851378199,1.0,1.33333333333333,"global_emission_factors.pri_coal"
16,"AT",2035,"pow_combustion_cc_chp_coal_0",117.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.60910851378199,1.0,1.33333333333333,"global_emission_factors.pri_coal"
17,"AT",2040,"pow_combustion_cc_chp_coal_0",68.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.6104548717614,1.0,1.33333333333333,"global_emission_factors.pri_coal"
18,"AT",2045,"pow_combustion_cc_chp_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_coal"
19,"AT",2050,"pow_combustion_cc_chp_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_coal"
20,"AT",2060,"pow_combustion_cc_chp_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_coal"
21,"AT",2070,"pow_combustion_cc_chp_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_coal"
22,"BA",2020,"pow_combustion_cc_chp_coal_0",84.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.62348755942199,1.0,1.33333333333333,"global_emission_factors.pri_coal"
23,"BA",2021,"pow_combustion_cc_chp_coal_0",84.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.62348755942199,1.0,1.33333333333333,"global_emission_factors.pri_coal"
24,"BA",2024,"pow_combustion_cc_chp_coal_0",24.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.61180483549547,1.0,1.33333333333333,"global_emission_factors.pri_coal"
25,"BA",2027,"pow_combustion_cc_chp_coal_0",24.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.61180483549547,1.0,1.33333333333333,"global_emission_factors.pri_coal"
26,"BA",2030,"pow_combustion_cc_chp_coal_0",24.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.61180483549547,1.0,1.33333333333333,"global_emission_factors.pri_coal"
27,"BA",2035,"pow_combustion_cc_chp_coal_0",24.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.61180483549547,1.0,1.33333333333333,"global_emission_factors.pri_coal"
28,"BA",2040,"pow_combustion_cc_chp_coal_0",24.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.61180483549547,1.0,1.33333333333333,"global_emission_factors.pri_coal"
29,"BA",2045,"pow_combustion_cc_chp_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_coal"
30,"BA",2050,"pow_combustion_cc_chp_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_coal"
31,"BA",2060,"pow_combustion_cc_chp_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_coal"
32,"BA",2070,"pow_combustion_cc_chp_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_coal"
33,"BG",2020,"pow_combustion_cc_chp_coal_0",287.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.59620997849596,1.0,1.33333333333333,"global_emission_factors.pri_coal"
34,"BG",2021,"pow_combustion_cc_chp_coal_0",287.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.59620997849596,1.0,1.33333333333333,"global_emission_factors.pri_coal"
35,"BG",2024,"pow_combustion_cc_chp_coal_0",232.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.59117695534988,1.0,1.33333333333333,"global_emission_factors.pri_coal"
36,"BG",2027,"pow_combustion_cc_chp_coal_0",177.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.58008981423834,1.0,1.33333333333333,"global_emission_factors.pri_coal"
37,"BG",2030,"pow_combustion_cc_chp_coal_0",65.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.59277600748794,1.0,1.33333333333333,"global_emission_factors.pri_coal"
38,"BG",2035,"pow_combustion_cc_chp_coal_0",65.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.59277600748794,1.0,1.33333333333333,"global_emission_factors.pri_coal"
39,"BG",2040,"pow_combustion_cc_chp_coal_0",65.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.59277600748794,1.0,1.33333333333333,"global_emission_factors.pri_coal"
40,"BG",2045,"pow_combustion_cc_chp_coal_0",65.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.59277600748794,1.0,1.33333333333333,"global_emission_factors.pri_coal"
41,"BG",2050,"pow_combustion_cc_chp_coal_0",65.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.59277600748794,1.0,1.33333333333333,"global_emission_factors.pri_coal"
42,"BG",2060,"pow_combustion_cc_chp_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_coal"
