"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_sec_syngas","conversion_factor_pri_waste_other_bio_sr","conversion_factor_pri_waste_municipal_bio","conversion_factor_pri_waste_wood","conversion_factor_pri_sewage_sludge","conversion_factor_sec_elec","conversion_factor_sec_heat_low","ef_sec_syngas_emi_co2_f_pow","ef_pri_waste_other_bio_sr_emi_co2_f_pow","ef_pri_waste_municipal_bio_emi_co2_f_pow","ef_pri_waste_wood_emi_co2_f_pow","ef_pri_sewage_sludge_emi_co2_f_pow"
1,"DE",2020,"pow_combustion_st_chp_syngas_0_ag",630.2,0.0,0.0,32789.9860819461,2005120.5964933,1.60385239908741,0.837067597588067,0.149476356712155,0.0,0.0,0.0,0,"","v1","","","",2.43382162612464,2.43382162612464,2.43382162612464,2.43382162612464,2.43382162612464,1.0,1.1946466484683,"global_emission_factors.sec_syngas","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
2,"DE",2021,"pow_combustion_st_chp_syngas_0_ag",630.2,0.0,0.0,32789.9860819461,2005120.5964933,1.60385239908741,0.837067597588067,0.149476356712155,0.0,0.0,0.0,0,"","v1","","","",2.43382162612464,2.43382162612464,2.43382162612464,2.43382162612464,2.43382162612464,1.0,1.1946466484683,"global_emission_factors.sec_syngas","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
3,"DE",2024,"pow_combustion_st_chp_syngas_0_ag",628.0,0.0,0.0,32798.0,2010200.0,1.6,0.84,0.15,0.0,0.0,0.0,0,"","v1","","","",2.4330900243309,2.4330900243309,2.4330900243309,2.4330900243309,2.4330900243309,1.0,1.19047619047619,"global_emission_factors.sec_syngas","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
4,"DE",2027,"pow_combustion_st_chp_syngas_0_ag",628.0,0.0,0.0,32798.0,2010200.0,1.6,0.84,0.15,0.0,0.0,0.0,0,"","v1","","","",2.4330900243309,2.4330900243309,2.4330900243309,2.4330900243309,2.4330900243309,1.0,1.19047619047619,"global_emission_factors.sec_syngas","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
5,"DE",2030,"pow_combustion_st_chp_syngas_0_ag",628.0,0.0,0.0,32798.0,2010200.0,1.6,0.84,0.15,0.0,0.0,0.0,0,"","v1","","","",2.4330900243309,2.4330900243309,2.4330900243309,2.4330900243309,2.4330900243309,1.0,1.19047619047619,"global_emission_factors.sec_syngas","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
6,"DE",2035,"pow_combustion_st_chp_syngas_0_ag",628.0,0.0,0.0,32798.0,2010200.0,1.6,0.84,0.15,0.0,0.0,0.0,0,"","v1","","","",2.4330900243309,2.4330900243309,2.4330900243309,2.4330900243309,2.4330900243309,1.0,1.19047619047619,"global_emission_factors.sec_syngas","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
7,"DE",2040,"pow_combustion_st_chp_syngas_0_ag",628.0,0.0,0.0,32798.0,2010200.0,1.6,0.84,0.15,0.0,0.0,0.0,0,"","v1","","","",2.4330900243309,2.4330900243309,2.4330900243309,2.4330900243309,2.4330900243309,1.0,1.19047619047619,"global_emission_factors.sec_syngas","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
8,"DE",2045,"pow_combustion_st_chp_syngas_0_ag",628.0,0.0,0.0,32798.0,2010200.0,1.6,0.84,0.15,0.0,0.0,0.0,0,"","v1","","","",2.4330900243309,2.4330900243309,2.4330900243309,2.4330900243309,2.4330900243309,1.0,1.19047619047619,"global_emission_factors.sec_syngas","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
9,"DE",2050,"pow_combustion_st_chp_syngas_0_ag",628.0,0.0,0.0,32798.0,2010200.0,1.6,0.84,0.15,0.0,0.0,0.0,0,"","v1","","","",2.4330900243309,2.4330900243309,2.4330900243309,2.4330900243309,2.4330900243309,1.0,1.19047619047619,"global_emission_factors.sec_syngas","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
10,"DE",2060,"pow_combustion_st_chp_syngas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.sec_syngas","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
