"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_waste_other_bio_sr","conversion_factor_pri_waste_municipal_bio","conversion_factor_pri_waste_wood","conversion_factor_pri_waste_non_bio","conversion_factor_sec_elec","conversion_factor_sec_heat_low","ef_pri_waste_other_bio_sr_emi_co2_f_pow","ef_pri_waste_municipal_bio_emi_co2_f_pow","ef_pri_waste_wood_emi_co2_f_pow","ef_pri_waste_non_bio_emi_co2_f_pow"
1,"global",2020,"pow_combustion_st_chp_waste_1",0.0,100000.0,0.0,278603.652116,9591621.91636,26.88206231104,0.3,1.0,0.36,3.6,216.0,25,"","v1","","","",4.29867171044147,4.29867171044147,4.29867171044147,4.29867171044147,1.0,3.33333333333333,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_waste_non_bio"
2,"global",2021,"pow_combustion_st_chp_waste_1",0.0,100000.0,0.0,276795.9184954,9546960.262204,26.824640184268,0.3,1.0,0.36,3.6,208.8,25,"","v1","","","",4.28899230125882,4.28899230125882,4.28899230125882,4.28899230125882,1.0,3.33333333333333,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_waste_non_bio"
3,"global",2024,"pow_combustion_st_chp_waste_1",0.0,100000.0,0.0,271372.7176336,9412975.299736,26.652373803952,0.3,1.0,0.36,3.6,187.2,25,"","v1","","","",4.26021386273591,4.26021386273591,4.26021386273591,4.26021386273591,1.0,3.33333333333333,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_waste_non_bio"
4,"global",2027,"pow_combustion_st_chp_waste_1",0.0,100000.0,0.0,265949.5167718,9278990.337268,26.480107423636,0.3,1.0,0.36,3.6,165.6,25,"","v1","","","",4.23181904741753,4.23181904741753,4.23181904741753,4.23181904741753,1.0,3.33333333333333,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_waste_non_bio"
5,"global",2030,"pow_combustion_st_chp_waste_1",0.0,100000.0,0.0,260526.31591,9145005.3748,26.30784104332,0.3,1.0,0.36,3.6,144.0,25,"","v1","","","",4.20380023541281,4.20380023541281,4.20380023541281,4.20380023541281,1.0,3.33333333333333,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_waste_non_bio"
6,"global",2035,"pow_combustion_st_chp_waste_1",0.0,100000.0,0.0,250955.961448,8863211.60453,26.092508067925,0.3025,1.0,0.36,3.6,117.0,25,"","v1","","","",4.16761740438704,4.16761740438704,4.16761740438704,4.16761740438704,1.0,3.30578512396694,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_waste_non_bio"
7,"global",2040,"pow_combustion_st_chp_waste_1",0.0,100000.0,0.0,241385.606986,8581417.83426,25.87717509253,0.305,1.0,0.36,3.6,90.0,25,"","v1","","","",4.13205212170546,4.13205212170546,4.13205212170546,4.13205212170546,1.0,3.27868852459016,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_waste_non_bio"
8,"global",2045,"pow_combustion_st_chp_waste_1",0.0,100000.0,0.0,231815.252524,8299624.06399,25.661842117135,0.3075,1.0,0.36,3.6,63.0,25,"","v1","","","",4.09708871118905,4.09708871118905,4.09708871118905,4.09708871118905,1.0,3.2520325203252,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_waste_non_bio"
9,"global",2050,"pow_combustion_st_chp_waste_1",0.0,100000.0,0.0,222244.898062,8017830.29372,25.44650914174,0.31,1.0,0.36,3.6,36.0,25,"","v1","","","",4.06271202278369,4.06271202278369,4.06271202278369,4.06271202278369,1.0,3.2258064516129,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_waste_non_bio"
10,"global",2060,"pow_combustion_st_chp_waste_1",0.0,100000.0,0.0,222244.898062,8017830.29372,25.44650914174,0.31,1.0,0.36,3.6,36.0,25,"","v1","","","",4.06271202278369,4.06271202278369,4.06271202278369,4.06271202278369,1.0,3.2258064516129,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_waste_non_bio"
